<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRND.US,D,20241216,000000,30.28,30.2801,30.2356,30.2356,350,0
WRND.US,D,20241218,000000,30.36,30.36,29.4,29.4,106,0
WRND.US,D,20241219,000000,29.58,29.58,29.398,29.398,242,0
WRND.US,D,20241220,000000,29.53,29.5874,29.53,29.5874,100,0
WRND.US,D,20241223,000000,29.6,29.8285,29.6,29.8285,100,0
WRND.US,D,20250106,000000,29.69,30,29.69,30,146,0
WRND.US,D,20250121,000000,30.13,30.3046,30.13,30.3046,900,0
WRND.US,D,20250127,000000,30.51,30.5132,30.51,30.5132,349,0
WRND.US,D,20250213,000000,31.3717,31.4144,31.3717,31.4144,100,0
WRND.US,D,20250218,000000,31.43,31.6959,31.43,31.6959,107,0
WRND.US,D,20250303,000000,30.9328,30.9328,30.6627,30.6627,233,0
WRND.US,D,20250314,000000,30.74,30.74,30.73,30.73,5177,0
WRND.US,D,20250318,000000,30.87,31.01,30.87,31.01,104,0
WRND.US,D,20250324,000000,30.87,30.98,30.87,30.98,169,0
WRND.US,D,20250408,000000,25.77,25.8128,25.77,25.8128,206,0
WRND.US,D,20250416,000000,27.46,27.4728,27.46,27.4728,906,0
WRND.US,D,20250502,000000,29.88,30.0197,29.88,30.0197,902,0
WRND.US,D,20250513,000000,30.7,30.8796,30.7,30.8796,2940,0
WRND.US,D,20250515,000000,30.69,30.7613,30.69,30.7613,1005,0
WRND.US,D,20250519,000000,30.79,31.07,30.79,31.07,4834,0
WRND.US,D,20250605,000000,31.49,31.49,31.3603,31.3603,912,0
WRND.US,D,20250610,000000,31.94,32.0954,31.94,32.0954,902,0
WRND.US,D,20250612,000000,32.09,32.1466,32.09,32.1466,1105,0
WRND.US,D,20250620,000000,31.38,31.38,31.3212,31.3212,3600,0
WRND.US,D,20250819,000000,34.285,34.285,34.1683,34.1683,437,0
WRND.US,D,20250827,000000,34.4,34.5433,34.33,34.5433,9913,0
WRND.US,D,20250828,000000,34.53,34.6408,34.48,34.6408,1833,0
WRND.US,D,20250829,000000,34.18,34.2094,34.18,34.2094,908,0
WRND.US,D,20250902,000000,33.77,33.8309,33.6599,33.8309,1301,0
WRND.US,D,20250904,000000,34.3,34.4978,34.3,34.4978,2513,0
WRND.US,D,20250905,000000,33.84,35.5395,33.83,34.6218,3100,0
WRND.US,D,20250908,000000,35.015,35.015,34.9589,34.9589,103,0
WRND.US,D,20250909,000000,34.89,35.0616,34.8899,35.0616,708,0
WRND.US,D,20250910,000000,35.6,35.6,35.3633,35.3633,207,0
WRND.US,D,20250911,000000,35.575,35.575,35.5517,35.5517,205,0
