<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBGK.US,D,20240614,000000,25.81,25.81,25.81,25.81,102,0
IBGK.US,D,20240617,000000,25.5498,25.5498,25.5498,25.5498,2,0
IBGK.US,D,20240618,000000,25.74,25.7901,25.74,25.7901,3101,0
IBGK.US,D,20240620,000000,25.6151,25.6151,25.6151,25.6151,15,0
IBGK.US,D,20240621,000000,25.69,25.69,25.6159,25.6159,5710,0
IBGK.US,D,20240624,000000,25.7005,25.7005,25.7005,25.7005,5,0
IBGK.US,D,20240625,000000,25.76,25.76,25.76,25.76,15,0
IBGK.US,D,20240626,000000,25.4,25.4,25.4,25.4,6,0
IBGK.US,D,20240627,000000,25.4716,25.4716,25.4716,25.4716,1,0
IBGK.US,D,20240628,000000,25.0734,25.0734,25.0734,25.0734,10,0
IBGK.US,D,20240701,000000,24.62,24.62,24.62,24.62,78,0
IBGK.US,D,20240702,000000,24.7978,24.7978,24.7978,24.7978,3,0
IBGK.US,D,20240703,000000,25.03,25.1197,25.03,25.1197,601,0
IBGK.US,D,20240705,000000,25.3184,25.3184,25.3184,25.3184,1,0
IBGK.US,D,20240708,000000,25.3703,25.3703,25.3703,25.3703,1,0
IBGK.US,D,20240709,000000,25.26,25.26,25.26,25.26,2,0
IBGK.US,D,20240710,000000,25.3403,25.3403,25.3403,25.3403,4,0
IBGK.US,D,20240711,000000,25.5971,25.5971,25.5971,25.5971,1,0
IBGK.US,D,20240712,000000,25.6811,25.6811,25.6811,25.6811,5,0
IBGK.US,D,20240715,000000,25.4175,25.4175,25.4175,25.4175,1,0
IBGK.US,D,20240716,000000,25.7581,25.7581,25.7581,25.7581,1,0
IBGK.US,D,20240717,000000,25.77,25.7809,25.7697,25.7809,2330,0
IBGK.US,D,20240718,000000,25.69,25.69,25.6026,25.6026,112,0
IBGK.US,D,20240719,000000,25.4526,25.4526,25.4526,25.4526,1,0
IBGK.US,D,20240722,000000,25.368,25.368,25.3624,25.3624,100,0
IBGK.US,D,20240723,000000,25.3403,25.3403,25.3403,25.3403,11,0
IBGK.US,D,20240724,000000,25.0822,25.0822,25.0822,25.0822,10,0
IBGK.US,D,20240725,000000,25.2714,25.2714,25.2714,25.2714,6,0
IBGK.US,D,20240726,000000,25.43,25.4616,25.43,25.4616,101,0
IBGK.US,D,20240729,000000,25.5875,25.5875,25.5875,25.5875,10,0
IBGK.US,D,20240730,000000,25.63,25.6772,25.63,25.6772,5504,0
IBGK.US,D,20240731,000000,25.9278,25.9278,25.9278,25.9278,2,0
IBGK.US,D,20240801,000000,26.0473,26.0473,26.0473,26.0473,4,0
IBGK.US,D,20240802,000000,26.8163,26.82,26.8163,26.82,201,0
IBGK.US,D,20240805,000000,27.15,27.18,26.951,27.0225,11311,0
IBGK.US,D,20240806,000000,26.4759,26.4759,26.4759,26.4759,2,0
IBGK.US,D,20240807,000000,26.32,26.32,26.2,26.2084,8607,0
IBGK.US,D,20240808,000000,26.06,26.06,26.0492,26.0492,102,0
IBGK.US,D,20240809,000000,26.3281,26.3281,26.3281,26.3281,4,0
IBGK.US,D,20240812,000000,26.26,26.4293,26.26,26.4293,916,0
IBGK.US,D,20240813,000000,26.5943,26.5943,26.5943,26.5943,4,0
IBGK.US,D,20240814,000000,26.82,26.82,26.7614,26.768,1032,0
IBGK.US,D,20240815,000000,26.38,26.5397,26.38,26.5397,189,0
IBGK.US,D,20240816,000000,26.67,26.67,26.6616,26.6616,200,0
IBGK.US,D,20240819,000000,26.81,26.82,26.805,26.805,402,0
IBGK.US,D,20240820,000000,27.0178,27.0178,27.0178,27.0178,95,0
IBGK.US,D,20240821,000000,26.99,27.0241,26.97,27.0241,12402,0
IBGK.US,D,20240822,000000,26.81,26.81,26.7279,26.7279,18200,0
IBGK.US,D,20240823,000000,26.8927,26.8927,26.8927,26.8927,95,0
IBGK.US,D,20240826,000000,26.8401,26.8401,26.8401,26.8401,1,0
IBGK.US,D,20240827,000000,26.7955,26.7955,26.7955,26.7955,95,0
IBGK.US,D,20240828,000000,26.7627,26.7627,26.7627,26.7627,5,0
IBGK.US,D,20240829,000000,26.6676,26.6676,26.6676,26.6676,1,0
IBGK.US,D,20240830,000000,26.42,26.4204,26.42,26.4204,2100,0
IBGK.US,D,20240903,000000,26.74,26.74,26.6854,26.6854,7824,0
IBGK.US,D,20240904,000000,26.74,26.9844,26.74,26.9844,9800,0
IBGK.US,D,20240905,000000,27.1599,27.1599,27.1599,27.1599,14,0
IBGK.US,D,20240906,000000,27.1471,27.1471,27.14,27.14,521,0
IBGK.US,D,20240909,000000,27.2648,27.2648,27.2648,27.2648,3,0
IBGK.US,D,20240910,000000,27.4582,27.4582,27.4582,27.4582,1,0
IBGK.US,D,20240911,000000,27.41,27.4338,27.41,27.4338,236,0
IBGK.US,D,20240912,000000,27.26,27.313,27.25,27.313,365,0
IBGK.US,D,20240913,000000,27.3336,27.3853,27.3336,27.3632,282,0
IBGK.US,D,20240916,000000,27.43,27.6158,27.4172,27.6158,709,0
IBGK.US,D,20240917,000000,27.515,27.515,27.4707,27.4707,1284,0
IBGK.US,D,20240918,000000,27.34,27.34,27.1516,27.1516,303,0
IBGK.US,D,20240919,000000,26.96,27.0366,26.96,27.0366,202,0
IBGK.US,D,20240920,000000,26.94,27,26.94,26.96,573,0
IBGK.US,D,20240923,000000,26.8,26.92,26.8,26.92,225,0
IBGK.US,D,20240924,000000,26.86,26.9,26.86,26.9,104,0
IBGK.US,D,20240925,000000,26.6868,26.6868,26.6868,26.6868,100,0
IBGK.US,D,20240926,000000,26.76,26.76,26.67,26.739,407,0
IBGK.US,D,20240927,000000,26.9,26.9,26.9,26.9,2,0
IBGK.US,D,20241001,000000,27.03,27.0792,26.8795,26.8795,3729,0
IBGK.US,D,20241002,000000,26.6635,26.6635,26.6635,26.6635,1,0
IBGK.US,D,20241003,000000,26.56,26.56,26.4366,26.4366,3432,0
IBGK.US,D,20241004,000000,26.09,26.09,26.09,26.09,62,0
IBGK.US,D,20241007,000000,25.94,25.94,25.94,25.94,23,0
IBGK.US,D,20241008,000000,25.8204,25.93,25.8204,25.93,323,0
IBGK.US,D,20241009,000000,25.7853,25.7853,25.7853,25.7853,8,0
