<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNIN.US,D,20250516,000000,25.325,25.47,25.325,25.4646,56332,0
RNIN.US,D,20250519,000000,25.3699,25.5,25.33,25.4363,158991,0
RNIN.US,D,20250520,000000,25.44,25.44,25.29,25.3524,45023,0
RNIN.US,D,20250521,000000,25.09,25.1,24.7503,24.7503,40585,0
RNIN.US,D,20250522,000000,24.63,24.81,24.59,24.7064,91987,0
RNIN.US,D,20250523,000000,24.51,24.66,24.51,24.6226,30069,0
RNIN.US,D,20250527,000000,25.09,25.11,25.07,25.11,210,0
RNIN.US,D,20250528,000000,25.1,25.1,24.8121,24.8121,1538,0
RNIN.US,D,20250529,000000,24.83,24.8969,24.795,24.8969,17252,0
RNIN.US,D,20250530,000000,24.86,24.9062,24.86,24.9062,186,0
RNIN.US,D,20250602,000000,24.7,24.84,24.66,24.8296,2577,0
RNIN.US,D,20250603,000000,25.05,25.11,25.05,25.0852,1531,0
RNIN.US,D,20250604,000000,25.09,25.09,25.0199,25.0199,2866,0
RNIN.US,D,20250605,000000,25,25,24.9437,24.9437,518,0
RNIN.US,D,20250606,000000,25.18,25.1888,25.18,25.1888,1035,0
RNIN.US,D,20250609,000000,25.1399,25.26,25.1,25.1879,14266,0
RNIN.US,D,20250610,000000,25.32,25.32,25.2894,25.2894,2000,0
RNIN.US,D,20250611,000000,25.38,25.38,25.18,25.197,7935,0
RNIN.US,D,20250612,000000,25.224,25.27,25.19,25.2606,8528,0
RNIN.US,D,20250613,000000,25.057,25.11,24.86,24.8842,9603,0
RNIN.US,D,20250616,000000,25.2,25.23,25.1075,25.1075,7235,0
RNIN.US,D,20250617,000000,25.0799,25.0799,24.9,24.9091,11531,0
RNIN.US,D,20250618,000000,25.02,25.1,24.9645,24.9645,4314,0
RNIN.US,D,20250620,000000,25.0738,25.1,24.99,25.03,6126,0
RNIN.US,D,20250623,000000,25.15,25.2762,24.92,25.2762,5475,0
RNIN.US,D,20250624,000000,25.42,25.56,25.34,25.5056,9938,0
RNIN.US,D,20250625,000000,25.3938,25.3938,25.2917,25.2917,7441,0
RNIN.US,D,20250626,000000,25.48,25.6,25.48,25.55,11520,0
RNIN.US,D,20250627,000000,25.67,25.74,25.4505,25.6228,18881,0
RNIN.US,D,20250630,000000,25.65,25.69,25.64,25.6879,1282,0
RNIN.US,D,20250701,000000,25.75,26.3,25.75,26.0738,16623,0
RNIN.US,D,20250702,000000,25.99,26.29,25.99,26.2806,3637,0
RNIN.US,D,20250703,000000,26.45,26.45,26.38,26.4184,13957,0
RNIN.US,D,20250707,000000,26.4,26.4,26.085,26.1369,5395,0
RNIN.US,D,20250708,000000,26.21,26.43,26.195,26.3213,8846,0
RNIN.US,D,20250709,000000,26.32,26.3825,26.26,26.3825,1155,0
RNIN.US,D,20250710,000000,26.5299,26.67,26.5299,26.5705,2470,0
RNIN.US,D,20250711,000000,26.36,26.41,26.33,26.3328,24073,0
RNIN.US,D,20250714,000000,26.29,26.36,26.26,26.3375,1932,0
RNIN.US,D,20250715,000000,26.25,26.25,25.8588,25.8588,9122,0
RNIN.US,D,20250716,000000,25.95,25.98,25.76,25.9741,3790,0
RNIN.US,D,20250717,000000,26.15,26.31,26.15,26.2844,6254,0
RNIN.US,D,20250718,000000,26.22,26.25,26.2,26.2312,3210,0
RNIN.US,D,20250721,000000,26.29,26.29,26.0336,26.0336,2253,0
RNIN.US,D,20250722,000000,26.3,26.52,26.3,26.4872,16503,0
RNIN.US,D,20250723,000000,26.7899,26.83,26.775,26.8265,3962,0
RNIN.US,D,20250724,000000,26.81,26.8395,26.61,26.6254,17559,0
RNIN.US,D,20250725,000000,26.54,26.7,26.51,26.6772,36004,0
RNIN.US,D,20250728,000000,26.6748,26.75,26.64,26.67,9481,0
RNIN.US,D,20250729,000000,26.63,26.63,26.47,26.5411,1981,0
RNIN.US,D,20250730,000000,26.504,26.58,26.1794,26.3168,22782,0
RNIN.US,D,20250731,000000,26.24,26.27,25.993,25.993,11369,0
RNIN.US,D,20250801,000000,25.3505,25.67,25.3505,25.5875,44871,0
RNIN.US,D,20250804,000000,25.83,26.01,25.83,25.9855,3776,0
RNIN.US,D,20250805,000000,26.1,26.16,26.01,26.1442,8718,0
RNIN.US,D,20250806,000000,26.21,26.26,26.134,26.134,2518,0
RNIN.US,D,20250807,000000,26.14,26.145,25.98,26.0373,6487,0
RNIN.US,D,20250808,000000,26.2,26.2,26.07,26.0766,4537,0
RNIN.US,D,20250811,000000,26.19,26.19,25.8788,25.8834,36484,0
RNIN.US,D,20250812,000000,26.24,26.3919,26.24,26.3919,1995,0
RNIN.US,D,20250813,000000,26.6,26.9341,26.6,26.9341,2767,0
RNIN.US,D,20250814,000000,26.62,26.7,26.52,26.6849,46551,0
RNIN.US,D,20250815,000000,26.56,26.67,26.56,26.5653,8924,0
RNIN.US,D,20250818,000000,26.57,26.6,26.57,26.5907,2444,0
RNIN.US,D,20250819,000000,26.83,26.83,26.61,26.6203,500,0
RNIN.US,D,20250820,000000,26.52,26.56,26.45,26.5006,49375,0
RNIN.US,D,20250821,000000,26.47,26.52,26.43,26.4858,1110,0
RNIN.US,D,20250822,000000,26.714,27.33,26.714,27.3067,11686,0
RNIN.US,D,20250825,000000,27.23,27.24,27.1644,27.1644,1957,0
RNIN.US,D,20250826,000000,27.19,27.19,27.17,27.1734,300,0
RNIN.US,D,20250827,000000,27.29,27.35,27.29,27.3329,850,0
RNIN.US,D,20250828,000000,27.27,27.35,27.2,27.3297,30125,0
RNIN.US,D,20250829,000000,27.28,27.2837,27.225,27.2837,29035,0
RNIN.US,D,20250902,000000,27.1,27.15,26.947,27.1317,34410,0
RNIN.US,D,20250903,000000,27.09,27.09,27.0021,27.0021,503,0
RNIN.US,D,20250904,000000,27.08,27.336,27.04,27.336,1510,0
RNIN.US,D,20250905,000000,27.51,27.51,27.3084,27.4231,8750,0
RNIN.US,D,20250908,000000,27.27,27.4394,27.25,27.4394,3664,0
RNIN.US,D,20250909,000000,27.36,27.36,27.25,27.2828,1782,0
RNIN.US,D,20250910,000000,27.42,27.42,27.17,27.2709,16007,0
RNIN.US,D,20250911,000000,27.49,27.68,27.49,27.6565,2323,0
RNIN.US,D,20250912,000000,27.6,27.6,27.3624,27.3624,9345,0
RNIN.US,D,20250915,000000,27.39,27.48,27.3517,27.3517,807,0
RNIN.US,D,20250916,000000,27.27,27.3824,27.26,27.3824,600,0
RNIN.US,D,20250917,000000,27.56,27.61,27.3734,27.3734,600,0
RNIN.US,D,20250918,000000,27.61,27.68,27.6,27.6278,1968,0
RNIN.US,D,20250919,000000,27.56,27.58,27.42,27.4391,16306,0
RNIN.US,D,20250922,000000,27.39,27.49,27.39,27.4656,1496,0
RNIN.US,D,20250923,000000,27.73,27.73,27.4,27.4002,2662,0
RNIN.US,D,20250924,000000,27.5,27.54,27.3781,27.3781,3642,0
RNIN.US,D,20250925,000000,27.08,27.19,27.03,27.135,57306,0
RNIN.US,D,20250926,000000,27.35,27.42,27.348,27.4053,6068,0
RNIN.US,D,20250929,000000,27.27,27.38,27.24,27.3418,1961,0
RNIN.US,D,20250930,000000,27.365,27.365,27.09,27.314,26233,0
RNIN.US,D,20251001,000000,27.37,27.49,27.34,27.4636,3957,0
RNIN.US,D,20251002,000000,27.48,27.5,27.33,27.48,4482,0
RNIN.US,D,20251003,000000,27.68,27.7896,27.6775,27.6775,1851,0
RNIN.US,D,20251006,000000,27.62,27.74,27.62,27.6464,6105,0
RNIN.US,D,20251007,000000,27.54,27.54,27.36,27.4278,16943,0
RNIN.US,D,20251008,000000,27.55,27.57,27.53,27.57,10632,0
RNIN.US,D,20251009,000000,27.45,27.45,27.2216,27.2216,9742,0
RNIN.US,D,20251010,000000,26.65,26.65,26.4359,26.4359,16806,0
RNIN.US,D,20251013,000000,26.81,26.94,26.81,26.9176,1934,0
RNIN.US,D,20251014,000000,26.94,27.29,26.94,27.1668,10916,0
RNIN.US,D,20251015,000000,27.37,27.47,27.06,27.1817,1084,0
RNIN.US,D,20251016,000000,27.18,27.2,26.79,26.8503,4918,0
RNIN.US,D,20251017,000000,26.82,26.89,26.72,26.8477,2303,0
RNIN.US,D,20251020,000000,27.09,27.22,27.09,27.173,6371,0
RNIN.US,D,20251021,000000,27.27,27.39,27.27,27.3463,1585,0
RNIN.US,D,20251022,000000,27.27,27.3,27.01,27.1494,6950,0
RNIN.US,D,20251023,000000,27.23,27.42,27.23,27.4091,765,0
RNIN.US,D,20251024,000000,27.65,27.65,27.4206,27.4206,2022,0
RNIN.US,D,20251027,000000,27.58,27.58,27.4799,27.5284,6404,0
RNIN.US,D,20251028,000000,27.29,27.47,27.29,27.3266,1519,0
RNIN.US,D,20251029,000000,27.27,27.36,27.1052,27.1052,981,0
RNIN.US,D,20251030,000000,27.15,27.15,26.9287,26.9287,6138,0
RNIN.US,D,20251031,000000,26.96,27.12,26.92,27.0543,1423,0
RNIN.US,D,20251103,000000,26.86,27.03,26.7,27.0079,6651,0
RNIN.US,D,20251104,000000,26.8299,26.85,26.7281,26.7281,6022,0
RNIN.US,D,20251105,000000,26.92,27.12,26.9005,27.003,4247,0
RNIN.US,D,20251106,000000,27.01,27.01,26.76,26.7827,712,0
