<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OOQB.US,D,20250219,000000,15.41,15.41,15.3296,15.4091,1622,0
OOQB.US,D,20250220,000000,15.63,15.7022,15.4,15.7022,1749,0
OOQB.US,D,20250221,000000,15.8,15.8,14.7658,14.7658,780,0
OOQB.US,D,20250224,000000,14.511,14.511,14.511,14.511,354,0
OOQB.US,D,20250225,000000,13.06,13.3459,13.06,13.3459,346,0
OOQB.US,D,20250226,000000,12.689,12.7423,12.5,12.7423,512,0
OOQB.US,D,20250227,000000,12.65,12.65,12.214,12.214,215,0
OOQB.US,D,20250228,000000,11.8263,12.4581,11.8263,12.4581,169,0
OOQB.US,D,20250303,000000,13.41,13.41,12.4463,12.4463,293,0
OOQB.US,D,20250304,000000,11.95,12.5396,11.8,12.5396,560,0
OOQB.US,D,20250305,000000,13.159,13.2201,13.159,13.2201,593,0
OOQB.US,D,20250306,000000,12.98,12.98,12.5293,12.6777,3109,0
OOQB.US,D,20250307,000000,12.45,12.4756,12.43,12.4756,442,0
OOQB.US,D,20250310,000000,11.65,11.65,10.481,10.7943,7127,0
OOQB.US,D,20250311,000000,11.14,11.3876,11.08,11.3876,3519,0
OOQB.US,D,20250312,000000,11.59,11.59,11.079,11.4968,2832,0
OOQB.US,D,20250314,000000,11.719,11.7938,11.7,11.7938,2580,0
OOQB.US,D,20250317,000000,11.91,11.9199,11.8289,11.8289,1023,0
OOQB.US,D,20250318,000000,11.1,11.2919,11.1,11.2919,2774,0
OOQB.US,D,20250319,000000,11.55,11.9065,11.55,11.9065,252,0
OOQB.US,D,20250320,000000,11.87,11.87,11.6767,11.6767,239,0
OOQB.US,D,20250321,000000,11.55,11.6859,11.55,11.6859,304,0
OOQB.US,D,20250324,000000,12.53,12.5692,12.51,12.5692,649,0
OOQB.US,D,20250325,000000,12.21,13.43,12.21,12.82,1383,0
OOQB.US,D,20250326,000000,12.16,12.16,12.15,12.1522,1415,0
OOQB.US,D,20250327,000000,11.89,12.25,11.89,12.14,2030,0
OOQB.US,D,20250328,000000,11.79,11.79,11.28,11.3136,3242,0
OOQB.US,D,20250331,000000,10.98,11.1355,10.769,11.1355,1063,0
OOQB.US,D,20250401,000000,11.04,11.5697,11.04,11.5697,310,0
OOQB.US,D,20250402,000000,11.79,11.969,11.79,11.969,348,0
OOQB.US,D,20250403,000000,10.6046,10.69,10.581,10.5915,1168,0
OOQB.US,D,20250404,000000,10.2699,10.2699,10.1953,10.1953,453,0
OOQB.US,D,20250407,000000,8.75,9.649,8.75,9.3492,2722,0
OOQB.US,D,20250408,000000,10,10,8.9377,8.9377,318,0
OOQB.US,D,20250409,000000,9.49,10.687,9.49,10.687,3542,0
OOQB.US,D,20250410,000000,10.26,10.26,9.91,9.91,188,0
OOQB.US,D,20250411,000000,10.42,10.622,10.18,10.6106,873,0
OOQB.US,D,20250414,000000,11.03,11.03,10.659,10.7945,1070,0
OOQB.US,D,20250415,000000,10.82,10.9,10.7007,10.7007,4471,0
OOQB.US,D,20250416,000000,10.49,10.59,10.4427,10.4427,316,0
OOQB.US,D,20250417,000000,10.45,10.5,10.45,10.4928,456,0
OOQB.US,D,20250422,000000,11.24,11.2587,11.221,11.2587,365,0
OOQB.US,D,20250423,000000,11.59,11.78,11.59,11.7155,867,0
OOQB.US,D,20250424,000000,11.871,11.9833,11.85,11.9833,5289,0
OOQB.US,D,20250425,000000,12.1459,12.3399,12.1459,12.3399,688,0
OOQB.US,D,20250428,000000,11.9908,12.2448,11.9908,12.2448,1251,0
OOQB.US,D,20250429,000000,12.201,12.3773,12.2,12.3773,1072,0
OOQB.US,D,20250430,000000,12.14,12.2338,12.14,12.2338,270,0
OOQB.US,D,20250501,000000,12.72,12.73,12.6673,12.6673,319,0
OOQB.US,D,20250502,000000,12.89,12.95,12.89,12.9032,1052,0
OOQB.US,D,20250505,000000,12.4,12.585,12.4,12.585,1525,0
OOQB.US,D,20250506,000000,12.29,12.51,12.29,12.4664,1632,0
OOQB.US,D,20250507,000000,12.78,12.78,12.47,12.65,1309,0
OOQB.US,D,20250508,000000,13.36,13.48,13.36,13.4133,1096,0
OOQB.US,D,20250509,000000,13.62,13.6467,13.59,13.6467,842,0
OOQB.US,D,20250512,000000,14.28,14.28,13.919,13.9508,1058,0
OOQB.US,D,20250513,000000,14.405,14.5662,14.405,14.5662,274,0
OOQB.US,D,20250514,000000,14.4556,14.46,14.433,14.433,916,0
OOQB.US,D,20250515,000000,14.21,14.5902,14.16,14.429,1159,0
OOQB.US,D,20250516,000000,14.56,14.6025,14.56,14.6025,159,0
OOQB.US,D,20250519,000000,14.57,14.7919,14.57,14.7919,256,0
OOQB.US,D,20250520,000000,14.64,14.9391,14.64,14.9391,1301,0
OOQB.US,D,20250521,000000,14.82,15.3,14.82,14.9702,1633,0
OOQB.US,D,20250522,000000,15.31,15.47,15.2716,15.2716,6666,0
OOQB.US,D,20250523,000000,14.869,14.91,14.83,14.8451,4485,0
OOQB.US,D,20250527,000000,15.26,15.35,15.25,15.2816,660,0
OOQB.US,D,20250529,000000,14.82,14.82,14.6591,14.6591,474,0
OOQB.US,D,20250530,000000,14.6,14.6,14.429,14.5036,859,0
OOQB.US,D,20250602,000000,14.431,14.5553,14.43,14.5553,3854,0
OOQB.US,D,20250604,000000,14.83,14.83,14.74,14.74,324,0
OOQB.US,D,20250605,000000,14.81,14.81,14.2601,14.2601,335,0
OOQB.US,D,20250606,000000,14.755,14.755,14.7096,14.7096,27446,0
OOQB.US,D,20250609,000000,15.3,15.3,15.2809,15.2809,5977,0
OOQB.US,D,20250610,000000,15.3593,15.56,15.3593,15.4791,222,0
OOQB.US,D,20250611,000000,15.319,15.3312,15.28,15.3312,1044,0
OOQB.US,D,20250612,000000,15.089,15.089,15.08,15.08,116,0
OOQB.US,D,20250613,000000,14.671,14.68,14.661,14.68,590,0
OOQB.US,D,20250616,000000,15.2072,15.3199,15.2072,15.3199,1336,0
OOQB.US,D,20250617,000000,14.842,14.866,14.6355,14.6355,653,0
OOQB.US,D,20250620,000000,14.79,14.79,14.165457,14.335,876,0
OOQB.US,D,20250623,000000,14.02,14.45,13.94,14.45,1466,0
OOQB.US,D,20250624,000000,14.6,15.08,14.6,15.0538,2926,0
OOQB.US,D,20250625,000000,15.17,15.39,15.17,15.3727,323,0
OOQB.US,D,20250626,000000,15.429,15.4797,15.429,15.4797,995,0
OOQB.US,D,20250627,000000,15.4,15.4,15.3835,15.39,572,0
OOQB.US,D,20250630,000000,15.65,15.65,15.51,15.6319,614,0
OOQB.US,D,20250701,000000,15.47,15.48,15.1438,15.1438,314,0
OOQB.US,D,20250702,000000,15.42,15.8792,15.42,15.8792,1012,0
OOQB.US,D,20250703,000000,15.99,16.12,15.96,15.96,715,0
OOQB.US,D,20250707,000000,15.81,15.81,15.6556,15.6556,1419,0
OOQB.US,D,20250708,000000,15.754,15.83,15.7085,15.78,2585,0
OOQB.US,D,20250709,000000,15.99,16.3075,15.79,16.3075,2627,0
OOQB.US,D,20250710,000000,16.51,16.511,16.51,16.511,515,0
OOQB.US,D,20250711,000000,17.23,17.23,17.06,17.118,787,0
OOQB.US,D,20250714,000000,17.59,17.59,17.4118,17.4118,885,0
OOQB.US,D,20250715,000000,17.14,17.1446,16.92,16.92,3170,0
OOQB.US,D,20250716,000000,17.34,17.356,17.34,17.356,120,0
OOQB.US,D,20250717,000000,17.5199,17.6,17.4507,17.4507,1514,0
OOQB.US,D,20250718,000000,17.299,17.299,17.1851,17.1851,345,0
OOQB.US,D,20250722,000000,17.36,17.4619,17.36,17.4619,462,0
OOQB.US,D,20250723,000000,17.3751,17.4,17.37,17.3751,701,0
OOQB.US,D,20250724,000000,17.479,17.59,17.375,17.5175,2487,0
OOQB.US,D,20250725,000000,17.05,17.29,17.02,17.2369,1935,0
OOQB.US,D,20250728,000000,17.57,17.599,17.393,17.4384,4370,0
OOQB.US,D,20250729,000000,17.669,17.669,17.28,17.2854,1611,0
OOQB.US,D,20250730,000000,17.38,17.48,17.07,17.2319,8967,0
OOQB.US,D,20250731,000000,17.575,17.62,17.1116,17.1116,5696,0
OOQB.US,D,20250801,000000,16.591,16.7,16.269,16.269,5297,0
OOQB.US,D,20250804,000000,16.641,16.7659,16.62,16.7659,7017,0
OOQB.US,D,20250805,000000,16.74,16.74,16.43,16.5016,1398,0
OOQB.US,D,20250806,000000,16.6,17.02,16.6,16.9275,3909,0
OOQB.US,D,20250807,000000,17.14,17.293,17.05,17.293,632,0
