<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAPN.US,D,20250514,000000,25.33,25.4,25.1859,25.1859,13739,0
JAPN.US,D,20250515,000000,25.48,25.66,25.43,25.6192,22579,0
JAPN.US,D,20250516,000000,25.98,26.05,25.9402,26.0002,11587,0
JAPN.US,D,20250519,000000,25.876,25.91,25.873,25.9075,4199,0
JAPN.US,D,20250520,000000,25.971,26.08,25.971,26.0358,71931,0
JAPN.US,D,20250521,000000,25.65,25.9699,25.49,25.6875,18552,0
JAPN.US,D,20250522,000000,25.74,25.87,25.71,25.8139,10210,0
JAPN.US,D,20250523,000000,26.06,26.11,25.86,25.9929,12735,0
JAPN.US,D,20250527,000000,27.26,27.35,26.4,26.91,10831,0
JAPN.US,D,20250528,000000,26.51,26.51,26,26.1303,11349,0
JAPN.US,D,20250529,000000,26.03,26.19,26.01,26.1866,10621,0
JAPN.US,D,20250530,000000,26.35,26.57,26.31,26.4624,8547,0
JAPN.US,D,20250602,000000,26.83,27.12,26.72,27.0952,14848,0
JAPN.US,D,20250603,000000,26.92,26.92,26.78,26.8233,6709,0
JAPN.US,D,20250604,000000,26.87,27.11,26.87,27.073,8045,0
JAPN.US,D,20250605,000000,26.97,27.16,26.94,27.0722,5683,0
JAPN.US,D,20250606,000000,27.16,27.16,26.91,27.0188,13154,0
JAPN.US,D,20250609,000000,27.11,27.4,27.045,27.1821,17406,0
JAPN.US,D,20250610,000000,27.4099,27.4099,27.02,27.2024,11442,0
JAPN.US,D,20250611,000000,27.135,27.6,27.11,27.2609,8444,0
JAPN.US,D,20250612,000000,27.48,27.7299,27.4022,27.485,8043,0
JAPN.US,D,20250613,000000,27.35,27.46,27.3,27.3356,12899,0
JAPN.US,D,20250616,000000,28.2,28.2,27.385,27.385,5205,0
JAPN.US,D,20250617,000000,27.565,27.565,27.01,27.0675,17051,0
JAPN.US,D,20250618,000000,27.6,27.87,27.3101,27.4691,11986,0
JAPN.US,D,20250620,000000,27.8702,27.9028,27.355,27.355,2190,0
JAPN.US,D,20250623,000000,27.13,27.5,27.13,27.4592,5014,0
JAPN.US,D,20250624,000000,27.65,27.81,27.65,27.76,33014,0
JAPN.US,D,20250625,000000,27.8,27.8,27.5937,27.7418,19654,0
