<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WCT.US,D,20241002,000000,3.7,4.58,3.7,4.11,2276334,0
WCT.US,D,20241003,000000,3.96,4.45,3.64,3.98,1873747,0
WCT.US,D,20241004,000000,3.97,4.13,3.45,3.82,808358,0
WCT.US,D,20241007,000000,3.82,5.2,3.82,4.64,1349166,0
WCT.US,D,20241008,000000,4.86,5.94,4.85,5.18,3606552,0
WCT.US,D,20241009,000000,5.18,6.1,5.07,5.59,1854987,0
WCT.US,D,20241010,000000,5.78,6.1,5.7,5.99,1664813,0
WCT.US,D,20241011,000000,6.07,6.2,5.8205,5.9,791900,0
WCT.US,D,20241014,000000,6.15,6.2,5.96,5.96,897795,0
WCT.US,D,20241015,000000,6.1,7.3,6.0723,7.23,4220604,0
WCT.US,D,20241016,000000,7.05,7.05,5.95,6.67,837185,0
WCT.US,D,20241017,000000,6.65,7.36,6.5,7,2401346,0
WCT.US,D,20241018,000000,7,7.84,7,7.7,1965369,0
WCT.US,D,20241021,000000,7.9,8.05,7.19,7.76,1675342,0
WCT.US,D,20241022,000000,7.78,8.24,7.55,7.95,1773137,0
WCT.US,D,20241023,000000,7.95,9.34,7.52,8.13,1251358,0
WCT.US,D,20241024,000000,8.48,8.9244,6.74,7.97,847394,0
WCT.US,D,20241025,000000,7.92,8.522,7.86,8.46,1592857,0
WCT.US,D,20241028,000000,8.34,8.45,7.61,7.87,739371,0
WCT.US,D,20241029,000000,7.99,8.59,7.8677,8.37,719743,0
WCT.US,D,20241030,000000,8.48,8.9438,4.6,8.13,4247765,0
WCT.US,D,20241031,000000,8.18,8.68,7.8,8.65,3200059,0
WCT.US,D,20241101,000000,8.3,8.6,7.83,8.35,829887,0
WCT.US,D,20241104,000000,8.43,8.9,8.05,8.76,1347325,0
WCT.US,D,20241105,000000,8.75,8.9,7.59,7.62,924985,0
WCT.US,D,20241106,000000,6.34,7.5999,6.16,7.46,1005269,0
WCT.US,D,20241107,000000,7.21,8.49,7.11,7.75,255452,0
WCT.US,D,20241108,000000,8,9,7.6,8.98,1090088,0
WCT.US,D,20241111,000000,8.99,9.36,8.81,8.99,648061,0
WCT.US,D,20241112,000000,8.99,9.15,8.35,8.45,435182,0
WCT.US,D,20241113,000000,8.4,8.82,7.5106,7.9,466323,0
WCT.US,D,20241114,000000,7.85,7.98,3.91,4.15,1270076,0
WCT.US,D,20241115,000000,3.55,4.34,2.43,4,1318337,0
WCT.US,D,20241118,000000,3.76,4.39,3.35,3.49,519846,0
WCT.US,D,20241119,000000,3.5,3.5,2.41,3.19,538090,0
