<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPSG.US,D,20251212,000000,15.423,15.44,15.31,15.3639,3105,0
UPSG.US,D,20251215,000000,15.3,15.3,15.1467,15.1467,289,0
UPSG.US,D,20251217,000000,15.61,15.61,15.4331,15.4331,194,0
UPSG.US,D,20251218,000000,15.6,15.82,15.6,15.8069,3644,0
UPSG.US,D,20251219,000000,15.28,15.6378,15.28,15.6378,14199,0
UPSG.US,D,20251222,000000,15.39,15.39,15.2,15.2475,3369,0
UPSG.US,D,20251223,000000,15.17,15.17,15.11,15.1118,605,0
UPSG.US,D,20251224,000000,15.3,15.37,15.2465,15.2465,1180,0
UPSG.US,D,20251226,000000,15.23,15.23,15.1819,15.1819,10113,0
UPSG.US,D,20251229,000000,15.22,15.22,14.83,14.9332,1393,0
UPSG.US,D,20251231,000000,14.81,14.8386,14.81,14.8386,1300,0
UPSG.US,D,20260102,000000,14.68,15.2322,14.68,15.2322,439,0
UPSG.US,D,20260105,000000,15.37,15.57,15.36,15.5261,2197,0
UPSG.US,D,20260106,000000,15.8574,16.5252,15.8574,16.5252,2127,0
UPSG.US,D,20260107,000000,16.77,16.77,16.52,16.6271,769,0
UPSG.US,D,20260108,000000,17.2,17.33,17.1644,17.1644,1452,0
UPSG.US,D,20260109,000000,17.9,17.9,17.4,17.5397,536,0
UPSG.US,D,20260112,000000,17.44,17.5255,17.44,17.5255,561,0
UPSG.US,D,20260113,000000,17.33,17.33,16.8961,17.0216,2446,0
UPSG.US,D,20260114,000000,17.09,17.2018,17.08,17.2018,1352,0
UPSG.US,D,20260115,000000,17.56,17.6398,17.53,17.6398,9882,0
UPSG.US,D,20260116,000000,17.17,17.17,17.0949,17.0949,588,0
UPSG.US,D,20260120,000000,16.55,16.9458,16.55,16.9458,446,0
UPSG.US,D,20260121,000000,17.45,17.65,17.45,17.4935,20680,0
UPSG.US,D,20260122,000000,17.85,18.01,17.79,17.8199,5626,0
UPSG.US,D,20260123,000000,17.466,17.56,17.22,17.3518,11521,0
