<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YMAT.US,D,20250730,000000,4.49,4.88,4,4.08,1111700,0
YMAT.US,D,20250731,000000,4.3,4.52,4.02,4.52,4080841,0
YMAT.US,D,20250801,000000,4.1,4.5,3.8,4.49,945933,0
YMAT.US,D,20250804,000000,4.39,4.48,4.3,4.36,304105,0
YMAT.US,D,20250805,000000,4.31,4.3626,4.2017,4.3,41737,0
YMAT.US,D,20250806,000000,4.3,4.48,3.85,4.3702,328047,0
YMAT.US,D,20250807,000000,4.39,4.5,4.25,4.48,724311,0
YMAT.US,D,20250808,000000,4.48,4.72,4.42,4.59,823358,0
YMAT.US,D,20250811,000000,4.62,5.1923,4.57,5.07,551010,0
YMAT.US,D,20250812,000000,5.2,5.2,4.82,5.08,410493,0
YMAT.US,D,20250813,000000,5.03,5.16,4.85,5.02,568892,0
YMAT.US,D,20250814,000000,4.95,5.04,4.89,4.95,112468,0
YMAT.US,D,20250815,000000,4.95,5.04,4.88,4.93,166365,0
YMAT.US,D,20250818,000000,4.92,5.14,4.8013,5.03,217720,0
YMAT.US,D,20250819,000000,4.89,5.42,4.8,5.38,1052252,0
YMAT.US,D,20250820,000000,5.38,6.45,5.05,5.74,653520,0
YMAT.US,D,20250821,000000,5.62,5.8,5.5,5.54,1850740,0
YMAT.US,D,20250822,000000,5.59,5.75,5.5,5.59,617921,0
YMAT.US,D,20250825,000000,5.52,5.98,5.35,5.74,854779,0
YMAT.US,D,20250826,000000,5.52,5.74,1.5,2.03,6032114,0
YMAT.US,D,20250827,000000,1.76,1.9301,1.62,1.62,1045276,0
YMAT.US,D,20250828,000000,1.6,1.7799,1.6,1.63,297117,0
YMAT.US,D,20250829,000000,1.62,1.7354,1.53,1.55,205028,0
YMAT.US,D,20250902,000000,1.5,1.56,1.2,1.4,287771,0
YMAT.US,D,20250903,000000,1.36,1.4,1.28,1.3,192179,0
YMAT.US,D,20250904,000000,1.33,1.39,1.3,1.3,58266,0
YMAT.US,D,20250905,000000,1.3,1.3,1.15,1.24,169742,0
YMAT.US,D,20250908,000000,1.22,1.28,1.22,1.24,73927,0
YMAT.US,D,20250909,000000,1.18,1.53,1.18,1.36,644231,0
YMAT.US,D,20250910,000000,1.39,1.4533,1.35,1.41,196087,0
YMAT.US,D,20250911,000000,1.35,1.55,1.3401,1.48,143261,0
YMAT.US,D,20250912,000000,1.49,1.54,1.42,1.42,89018,0
YMAT.US,D,20250915,000000,1.4,1.5099,1.35,1.39,91384,0
YMAT.US,D,20250916,000000,1.39,1.4483,1.33,1.36,199934,0
YMAT.US,D,20250917,000000,1.34,1.36,1.05,1.244,75412,0
YMAT.US,D,20250918,000000,1.38,1.38,1.26,1.27,9366,0
YMAT.US,D,20250919,000000,1.3,2.19,1.1849,1.6,9707817,0
YMAT.US,D,20250922,000000,1.44,1.6671,1.38,1.57,634182,0
YMAT.US,D,20250923,000000,1.49,1.57,1.26,1.36,557855,0
YMAT.US,D,20250924,000000,1.33,1.37,1.27,1.28,88822,0
YMAT.US,D,20250925,000000,1.28,1.28,1.1286,1.2,426635,0
YMAT.US,D,20250926,000000,1.24,1.2495,1.19,1.22,75981,0
YMAT.US,D,20250929,000000,1.2,1.270163,1.17,1.24,70858,0
YMAT.US,D,20250930,000000,1.23,1.25,1.2,1.2,50933,0
YMAT.US,D,20251001,000000,1.21,1.28,1.13,1.2,148773,0
YMAT.US,D,20251002,000000,1.16,1.32,1.16,1.27,120103,0
YMAT.US,D,20251003,000000,1.23,1.28,1.2275,1.25,23044,0
YMAT.US,D,20251006,000000,1.25,1.28,1.2005,1.21,105876,0
YMAT.US,D,20251007,000000,1.26,1.26,1.205,1.23,34180,0
YMAT.US,D,20251008,000000,1.22,1.24,1.2153,1.23,20056,0
YMAT.US,D,20251009,000000,1.23,1.23,1.18,1.19,40704,0
YMAT.US,D,20251010,000000,1.19,1.19,1.12,1.15,65682,0
YMAT.US,D,20251013,000000,1.12,1.15,1.1,1.12,56763,0
YMAT.US,D,20251014,000000,1.08,1.14,1.08,1.12,36672,0
YMAT.US,D,20251015,000000,1.14,1.1499,1.08,1.11,26829,0
YMAT.US,D,20251016,000000,1.14,1.14,1.05,1.07,21433,0
YMAT.US,D,20251017,000000,1.07,1.1,0.93,1.05,105270,0
YMAT.US,D,20251020,000000,1.05,1.05,0.95,0.96,72515,0
YMAT.US,D,20251021,000000,0.969,1.02,0.95,1.01,19259,0
YMAT.US,D,20251022,000000,0.96,1,0.8101,0.8408,43375,0
YMAT.US,D,20251023,000000,0.85,0.9,0.85,0.896,51958,0
YMAT.US,D,20251024,000000,0.801,0.8862,0.801,0.8823,32636,0
YMAT.US,D,20251027,000000,0.88,0.88,0.8052,0.8581,133348,0
YMAT.US,D,20251028,000000,1.12,1.35,1.02,1.05,24437052,0
YMAT.US,D,20251029,000000,0.9552,1.14,0.9552,1.05,643764,0
YMAT.US,D,20251030,000000,0.95,1.01,0.93,0.94,233669,0
YMAT.US,D,20251031,000000,0.94,0.97,0.93845,0.9684,198103,0
YMAT.US,D,20251103,000000,0.9287,0.96,0.9116,0.9462,124126,0
YMAT.US,D,20251104,000000,0.86,0.9024,0.84,0.8402,175979,0
YMAT.US,D,20251105,000000,0.815,0.8551,0.8,0.831101,2036937,0
YMAT.US,D,20251106,000000,0.98,0.9876,0.872,0.905,9066873,0
YMAT.US,D,20251107,000000,0.8698,0.8971,0.8,0.8121,282023,0
YMAT.US,D,20251110,000000,0.8,0.867,0.8,0.8312,143440,0
YMAT.US,D,20251111,000000,0.82,0.8524,0.7905,0.8524,258236,0
YMAT.US,D,20251112,000000,0.8401,0.8949,0.8281,0.887,1172299,0
YMAT.US,D,20251113,000000,0.8455,0.87,0.8204,0.831,83640,0
YMAT.US,D,20251114,000000,0.815,0.83,0.787,0.8064,106396,0
YMAT.US,D,20251117,000000,0.812,0.8421,0.779,0.815,65704,0
YMAT.US,D,20251118,000000,0.7944,0.8308,0.79,0.8224,560135,0
YMAT.US,D,20251119,000000,0.88,0.9706,0.82,0.8259,763823,0
YMAT.US,D,20251120,000000,0.8349,0.9027,0.826,0.826,91214,0
YMAT.US,D,20251121,000000,0.8,0.8401,0.7901,0.820051,43989,0
YMAT.US,D,20251124,000000,0.782,0.807891,0.7812,0.7841,42081,0
YMAT.US,D,20251125,000000,0.8,0.829999,0.751,0.7518,49593,0
YMAT.US,D,20251126,000000,0.764,0.783199,0.7534,0.77,26058,0
YMAT.US,D,20251128,000000,0.768,0.7688,0.7199,0.7325,19971,0
YMAT.US,D,20251201,000000,0.7325,0.7325,0.65,0.7104,16808,0
YMAT.US,D,20251202,000000,0.7318,0.7318,0.6832,0.6924,18834,0
YMAT.US,D,20251203,000000,0.6811,0.777,0.65,0.777,116382,0
YMAT.US,D,20251204,000000,0.7587,0.776,0.711,0.7543,19374,0
