<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRM.US,D,20250220,000000,12,36.05,12,31,34165,0
VRM.US,D,20250221,000000,27.2,28.5,23.1019,24.643,33002,0
VRM.US,D,20250224,000000,22.36,26.424,22.36,25.7294,9346,0
VRM.US,D,20250225,000000,24.5673,27.5,24.5673,26.51,5486,0
VRM.US,D,20250226,000000,25.54,27.2262,25.54,26.99,5222,0
VRM.US,D,20250227,000000,26.625,27.0496,25.52,26.68,10491,0
VRM.US,D,20250228,000000,27.1089,27.7,26.2606,26.58,18175,0
VRM.US,D,20250303,000000,27.38,27.38,25.75,25.93,4983,0
VRM.US,D,20250304,000000,25.04,25.48,24,25.23,12062,0
VRM.US,D,20250305,000000,25.1,25.99,25.1,25.8875,2821,0
VRM.US,D,20250306,000000,25.6555,26.97,25.6555,26.52,2667,0
VRM.US,D,20250307,000000,26,27,26,26.36,3926,0
VRM.US,D,20250310,000000,26,26.51,25.19,25.19,8195,0
VRM.US,D,20250311,000000,24.88,25.36,23.9072,24.36,11266,0
VRM.US,D,20250312,000000,23.53,24.4909,23.53,24.4909,2261,0
VRM.US,D,20250313,000000,23.62,26.23,22.5,26,11784,0
VRM.US,D,20250314,000000,25.931,25.931,25.19,25.3184,2687,0
VRM.US,D,20250317,000000,24.73,26.37,24.73,26.37,2235,0
VRM.US,D,20250318,000000,26.7,27,26.3577,27,1815,0
VRM.US,D,20250319,000000,26,27.945,25.7,27.945,3838,0
VRM.US,D,20250320,000000,27.9,27.9,27.4877,27.9,3748,0
VRM.US,D,20250321,000000,26.1432,27.89,26.1432,26.75,1843,0
VRM.US,D,20250324,000000,28.94,28.9599,27,27,12731,0
VRM.US,D,20250325,000000,25.9,28.39,25.3655,28.39,9497,0
VRM.US,D,20250326,000000,27.1063,28.51,27.1063,28.51,3055,0
VRM.US,D,20250327,000000,28.7055,28.9,27.89,28.9,7138,0
VRM.US,D,20250328,000000,28.4,28.7,28.3043,28.57,3000,0
VRM.US,D,20250331,000000,27.18,29.4,26.94,29.4,6523,0
VRM.US,D,20250401,000000,29.7576,30.38,29.5,29.5,4354,0
VRM.US,D,20250402,000000,29.9,33.1443,29.9,31.65,17249,0
VRM.US,D,20250403,000000,31.94,31.96,29.253,30.48,5729,0
VRM.US,D,20250404,000000,30.5478,30.5478,27.99,28.04,8112,0
VRM.US,D,20250407,000000,25.41,29.37,22.14,29.37,22604,0
