<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VWAV.US,D,20250716,000000,3.09,3.69,2.5181,3.52,516953,0
VWAV.US,D,20250717,000000,3.1,3.78,2.816,3.04,1654888,0
VWAV.US,D,20250718,000000,3.03,3.2489,2.82,2.9,184012,0
VWAV.US,D,20250721,000000,2.8,2.8476,2.38,2.435,261121,0
VWAV.US,D,20250722,000000,2.5,2.5,2.15,2.39,318859,0
VWAV.US,D,20250723,000000,2.25,2.435,2.17,2.38,399240,0
VWAV.US,D,20250724,000000,2.3,2.37,2.2101,2.3,138683,0
VWAV.US,D,20250725,000000,2.08,2.45,2.0607,2.35,227789,0
VWAV.US,D,20250728,000000,4.1,12.59,3.28,11,254749756,0
VWAV.US,D,20250729,000000,7.15,8.1,6.85,7.73,7992894,0
VWAV.US,D,20250730,000000,6.87,11.86,6.5,8.28,32309062,0
VWAV.US,D,20250731,000000,9.35,10.27,7.8,8.09,3943847,0
VWAV.US,D,20250801,000000,7.83,8.5586,7.57,7.84,898601,0
VWAV.US,D,20250804,000000,7.89,8.29,7.154,7.25,613418,0
VWAV.US,D,20250805,000000,7.35,7.7485,6.6,7.2,763497,0
VWAV.US,D,20250806,000000,7.11,7.6,7.11,7.17,326626,0
VWAV.US,D,20250807,000000,7.2,7.6775,6.8,7.27,445701,0
VWAV.US,D,20250808,000000,7.32,7.3488,6.9,6.9,132649,0
VWAV.US,D,20250811,000000,6.88,6.99,6.55,6.55,186514,0
VWAV.US,D,20250812,000000,6.52,7.39,6.5,7.25,243373,0
VWAV.US,D,20250813,000000,7.35,7.85,6.9,7.05,269465,0
VWAV.US,D,20250814,000000,7.08,7.42,7,7.2,123084,0
VWAV.US,D,20250815,000000,7.58,7.58,7,7.32,165201,0
VWAV.US,D,20250818,000000,7.27,7.54,7.11,7.44,47215,0
VWAV.US,D,20250819,000000,7.52,9.28,7.52,8.81,1549404,0
VWAV.US,D,20250820,000000,8.99,9.2376,8.25,9.15,369443,0
VWAV.US,D,20250821,000000,9.43,11,8.51,9.07,1087496,0
VWAV.US,D,20250822,000000,9.18,9.3,8.26,8.47,332622,0
VWAV.US,D,20250825,000000,8.67,10.039,8.65,9.76,513512,0
VWAV.US,D,20250826,000000,9.85,9.9599,9.11,9.38,458320,0
VWAV.US,D,20250827,000000,9.59,9.95,9.05,9.27,270151,0
VWAV.US,D,20250828,000000,9.3,9.5,8.7501,9.02,170761,0
VWAV.US,D,20250829,000000,9.05,9.75,8.96,9.58,217381,0
VWAV.US,D,20250902,000000,9,9.41,8.56,9.09,186192,0
VWAV.US,D,20250903,000000,9.43,10.49,9.3242,9.55,536491,0
VWAV.US,D,20250904,000000,9.64,10.9199,9.6,10.71,331224,0
VWAV.US,D,20250905,000000,11,11.11,9.8726,10.05,288824,0
VWAV.US,D,20250908,000000,10.05,11.49,9.65,11.44,403008,0
VWAV.US,D,20250909,000000,11.23,11.3785,10.5644,10.84,254924,0
VWAV.US,D,20250910,000000,10.86,11.47,10.56,10.77,225519,0
VWAV.US,D,20250911,000000,10.58,10.62,9.8875,10.31,203482,0
VWAV.US,D,20250912,000000,10.31,11.05,9.85,10.92,224174,0
VWAV.US,D,20250915,000000,11.4,11.7399,11,11.09,364422,0
VWAV.US,D,20250916,000000,11,11.39,11,11.14,90636,0
