<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YBTY.US,D,20251217,000000,25.2316,25.4174,24.6854,24.6854,8265,0
YBTY.US,D,20251218,000000,25.1954,25.1954,24.6634,24.6634,66952,0
YBTY.US,D,20251219,000000,24.93,25.32,24.8727,25.2728,36511,0
YBTY.US,D,20251222,000000,25.11,25.218,25.096,25.155,27826,0
YBTY.US,D,20251223,000000,24.97,24.97,24.6769,24.9202,30666,0
YBTY.US,D,20251224,000000,24.66,24.68,24.4601,24.6445,9777,0
YBTY.US,D,20251226,000000,24.67,24.67,24.075,24.1572,18923,0
YBTY.US,D,20251229,000000,23.37,23.5745,23.1552,23.1552,12953,0
YBTY.US,D,20251230,000000,22.9779,23.28,22.8951,22.8951,10173,0
YBTY.US,D,20251231,000000,22.8201,22.8201,22.36,22.4181,11414,0
YBTY.US,D,20260102,000000,22.96,23.24,22.51,23.0695,22150,0
YBTY.US,D,20260105,000000,22.89,23.15,22.89,23.0181,29413,0
YBTY.US,D,20260106,000000,23.08,23.08,22.6,22.9019,16568,0
YBTY.US,D,20260107,000000,22.91,22.91,22.74,22.74,7961,0
YBTY.US,D,20260108,000000,22.59,22.86,22.5214,22.8,9005,0
YBTY.US,D,20260109,000000,22.78,23.25,22.675,22.975,58516,0
YBTY.US,D,20260112,000000,22.41,22.88,22.365,22.81,14466,0
YBTY.US,D,20260113,000000,22.71,22.79,22.41,22.665,26651,0
YBTY.US,D,20260114,000000,22.57,22.91,22.45,22.76,26622,0
YBTY.US,D,20260115,000000,22.75,22.7849,22.2407,22.2407,13668,0
YBTY.US,D,20260116,000000,22.29,22.73,22.27,22.6553,22355,0
YBTY.US,D,20260120,000000,21.67,21.94,21.4301,21.6463,20646,0
YBTY.US,D,20260121,000000,21.64,21.88,21.2105,21.6199,16461,0
YBTY.US,D,20260122,000000,21.76,21.81,21.67,21.761,16529,0
YBTY.US,D,20260123,000000,21.91,21.91,21.48,21.5194,54649,0
