<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCPQU.US,5,20251223,163000,10.01,10.015,10.01,10.015,1041137,0
SCPQU.US,5,20251223,163500,10.015,10.015,10.01,10.015,128566,0
SCPQU.US,5,20251223,164000,10.01,10.01,10.01,10.01,7050,0
SCPQU.US,5,20251223,164500,10.01,10.01,10.01,10.01,12200,0
SCPQU.US,5,20251223,165000,10.01,10.01,10.01,10.01,7300,0
SCPQU.US,5,20251223,165500,10.01,10.01,10.01,10.01,8988,0
SCPQU.US,5,20251223,170000,10.01,10.01,10.01,10.01,109916,0
SCPQU.US,5,20251223,170500,10.01,10.01,10.01,10.01,5505,0
SCPQU.US,5,20251223,171000,10.01,10.01,10.01,10.01,278961,0
SCPQU.US,5,20251223,171500,10.01,10.01,10.01,10.01,117096,0
SCPQU.US,5,20251223,172000,10.01,10.01,10,10.005,12000,0
SCPQU.US,5,20251223,172500,10.01,10.01,10,10.005,26300,0
SCPQU.US,5,20251223,173000,10.005,10.005,10.005,10.005,2315,0
SCPQU.US,5,20251223,173500,10.005,10.005,10,10.005,1400,0
SCPQU.US,5,20251223,174000,10.005,10.005,10,10.005,1710,0
SCPQU.US,5,20251223,174500,10.005,10.005,10,10,1500,0
SCPQU.US,5,20251223,175000,10,10.005,10,10,1992,0
SCPQU.US,5,20251223,175500,10,10,10,10,2900,0
SCPQU.US,5,20251223,180000,10,10,10,10,1998,0
SCPQU.US,5,20251223,180500,10,10,10,10,1600,0
SCPQU.US,5,20251223,181000,10,10,10,10,2008,0
SCPQU.US,5,20251223,181500,10,10,10,10,1600,0
SCPQU.US,5,20251223,182000,10,10,10,10,2192,0
SCPQU.US,5,20251223,182500,10,10,10,10,1800,0
SCPQU.US,5,20251223,183000,10,10,10,10,1900,0
SCPQU.US,5,20251223,183500,10,10,10,10,1700,0
SCPQU.US,5,20251223,184000,10,10,10,10,1900,0
SCPQU.US,5,20251223,184500,10,10,10,10,101596,0
SCPQU.US,5,20251223,185000,10,10,10,10,1610,0
SCPQU.US,5,20251223,185500,10,10,10,10,3500,0
SCPQU.US,5,20251223,190000,10,10.005,10,10,5592,0
SCPQU.US,5,20251223,190500,10,10,10,10,2500,0
SCPQU.US,5,20251223,191000,10,10,10,10,1592,0
SCPQU.US,5,20251223,191500,10,10,10,10,75000,0
SCPQU.US,5,20251223,192000,10,10,10,10,1510,0
SCPQU.US,5,20251223,192500,10,10,10,10,4500,0
SCPQU.US,5,20251223,193000,10,10,10,10,3592,0
SCPQU.US,5,20251223,193500,10,10,10,10,1600,0
SCPQU.US,5,20251223,194000,10,10,10,10,1610,0
SCPQU.US,5,20251223,194500,10,10,10,10,1500,0
SCPQU.US,5,20251223,195000,10,10,10,10,1592,0
SCPQU.US,5,20251223,195500,10,10,10,10,1500,0
SCPQU.US,5,20251223,200000,10,10,10,10,1698,0
SCPQU.US,5,20251223,200500,10,10,10,10,2700,0
SCPQU.US,5,20251223,201000,10,10,10,10,1892,0
SCPQU.US,5,20251223,201500,10,10,10,10,1800,0
SCPQU.US,5,20251223,202000,10,10,10,10,1700,0
SCPQU.US,5,20251223,202500,10,10,10,10,1702,0
SCPQU.US,5,20251223,203000,10,10,10,10,1818,0
SCPQU.US,5,20251223,203500,10,10,10,10,1700,0
SCPQU.US,5,20251223,204000,10,10,10,10,1900,0
SCPQU.US,5,20251223,204500,10,10,10,10,2000,0
SCPQU.US,5,20251223,205000,10,10,10,10,2010,0
SCPQU.US,5,20251223,205500,10,10,10,10,1800,0
SCPQU.US,5,20251223,210000,10,10,10,10,1992,0
SCPQU.US,5,20251223,210500,10,10,10,10,2900,0
SCPQU.US,5,20251223,211000,10,10,10,10,1998,0
SCPQU.US,5,20251223,211500,10,10,10,10,2000,0
SCPQU.US,5,20251223,212000,10,10,10,10,2116,0
SCPQU.US,5,20251223,212500,10,10,10,10,16800,0
SCPQU.US,5,20251223,213000,10,10,10,10,12100,0
SCPQU.US,5,20251223,213500,10,10,10,10,17236,0
SCPQU.US,5,20251223,214000,10,10,10,10,7492,0
SCPQU.US,5,20251223,214500,10,10,10,10,13617,0
SCPQU.US,5,20251223,215000,10,10.01,10,10,60187,0
SCPQU.US,5,20251223,215500,10,10.01,10,10,510373,0
SCPQU.US,5,20251224,153000,10.01,10.01,10.01,10.01,500,0
SCPQU.US,5,20251224,153500,10.015,10.04,10.015,10.025,61325,0
SCPQU.US,5,20251224,154000,10.03,10.04,10.03,10.04,2400,0
SCPQU.US,5,20251224,155500,10.02,10.04,10.01,10.03,50700,0
SCPQU.US,5,20251224,160000,10.03,10.03,10.025,10.03,10931,0
SCPQU.US,5,20251224,161000,10.03,10.03,10.03,10.03,1000,0
SCPQU.US,5,20251224,162000,10.03,10.03,10.03,10.03,100,0
SCPQU.US,5,20251224,162500,10.02,10.02,10.02,10.02,1900,0
SCPQU.US,5,20251224,184500,10.025,10.025,10.025,10.025,1596,0
SCPQU.US,5,20251224,185500,10.02,10.02,10.02,10.02,2098,0
SCPQU.US,5,20251226,153500,10.1,10.1,10.09,10.1,6200,0
SCPQU.US,5,20251226,154000,10.1,10.1,10.1,10.1,6800,0
SCPQU.US,5,20251226,154500,10.15,10.15,10.14,10.15,4600,0
SCPQU.US,5,20251226,155000,10.15,10.15,10.14,10.15,5900,0
SCPQU.US,5,20251226,155500,10.15,10.15,10.15,10.15,1900,0
SCPQU.US,5,20251226,162000,10.14,10.14,10.14,10.14,1800,0
SCPQU.US,5,20251226,162500,10.14,10.14,10.05,10.09,52700,0
SCPQU.US,5,20251226,163000,10.09,10.09,10.09,10.09,1100,0
SCPQU.US,5,20251226,163500,10.09,10.09,10.09,10.09,1300,0
SCPQU.US,5,20251226,164000,10.09,10.09,10.09,10.09,1400,0
SCPQU.US,5,20251226,164500,10.09,10.09,10.09,10.09,1900,0
SCPQU.US,5,20251226,165000,10.09,10.09,10.09,10.09,1400,0
SCPQU.US,5,20251226,165500,10.09,10.09,10.09,10.09,1600,0
SCPQU.US,5,20251226,170000,10.09,10.09,10.09,10.09,1400,0
SCPQU.US,5,20251226,170500,10.09,10.09,10.09,10.09,1600,0
SCPQU.US,5,20251226,171000,10.09,10.09,10.09,10.09,1400,0
SCPQU.US,5,20251226,171500,10.09,10.09,10.09,10.09,1700,0
SCPQU.US,5,20251226,172000,10.09,10.09,10.09,10.09,1600,0
SCPQU.US,5,20251226,172500,10.09,10.09,10.09,10.09,1500,0
SCPQU.US,5,20251226,173000,10.09,10.09,10.09,10.09,1600,0
SCPQU.US,5,20251226,173500,10.09,10.09,10.09,10.09,1600,0
SCPQU.US,5,20251226,174000,10.09,10.09,10.08,10.08,4387,0
SCPQU.US,5,20251226,201500,10.05,10.05,10.05,10.05,700,0
SCPQU.US,5,20251230,160500,10.0612,10.0612,10.0612,10.0612,699,0
SCPQU.US,5,20251230,191500,10,10,10,10,867,0
SCPQU.US,5,20251230,214000,10,10,10,10,167,0
SCPQU.US,5,20251230,214500,10.01,10.01,10.01,10.01,700,0
SCPQU.US,5,20251231,215000,10.06,10.06,9.99,10,54380,0
SCPQU.US,5,20260102,162000,10,10,10,10,100,0
SCPQU.US,5,20260102,162500,10,10,10,10,4003,0
SCPQU.US,5,20260102,192500,9.995,9.995,9.995,9.995,600,0
SCPQU.US,5,20260105,153000,10.01,10.02,10.01,10.01,1870,0
SCPQU.US,5,20260105,154500,10,10,10,10,125,0
SCPQU.US,5,20260105,155000,9.99,9.99,9.99,9.99,200,0
SCPQU.US,5,20260105,160500,9.99,9.99,9.99,9.99,100,0
SCPQU.US,5,20260105,161000,9.99,9.99,9.99,9.99,299,0
SCPQU.US,5,20260105,165000,9.99,9.99,9.99,9.99,100,0
SCPQU.US,5,20260105,191500,9.995,9.995,9.995,9.995,149,0
SCPQU.US,5,20260106,153000,10,10,10,10,200,0
SCPQU.US,5,20260106,153500,10,10,10,10,10100,0
SCPQU.US,5,20260106,160000,10,10,10,10,1270,0
SCPQU.US,5,20260106,191500,10,10,10,10,227,0
SCPQU.US,5,20260106,214000,10,10,10,10,4800,0
SCPQU.US,5,20260107,153500,10.0602,10.0602,10.0602,10.0602,200,0
SCPQU.US,5,20260107,163500,10,10,10,10,607,0
SCPQU.US,5,20260107,193500,10,10,10,10,304,0
SCPQU.US,5,20260107,194000,10.01,10.01,10.01,10.01,3031,0
SCPQU.US,5,20260108,162000,9.99,9.99,9.99,9.99,685,0
SCPQU.US,5,20260108,182500,10,10,10,10,49400,0
SCPQU.US,5,20260108,183000,10,10,10,10,61500,0
SCPQU.US,5,20260108,185000,9.995,9.995,9.995,9.995,109,0
SCPQU.US,5,20260108,191000,9.995,9.995,9.995,9.995,333,0
SCPQU.US,5,20260108,192000,9.995,9.995,9.99,9.99,2578,0
SCPQU.US,5,20260108,192500,10,10,10,10,1910,0
SCPQU.US,5,20260108,201500,10,10,10,10,3060,0
SCPQU.US,5,20260108,202500,9.995,10,9.99,10,5144,0
SCPQU.US,5,20260108,205000,10,10,10,10,3681,0
SCPQU.US,5,20260108,210500,9.995,9.995,9.995,9.995,101,0
