<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIOG.US,5,20251219,173500,15.99,16,15.99,16,2000,0
NIOG.US,5,20251219,195000,15.87,15.87,15.87,15.87,288,0
NIOG.US,5,20251219,200000,15.87,15.87,15.863,15.87,594,0
NIOG.US,5,20251219,215500,15.87,15.87,15.86,15.86,400,0
NIOG.US,5,20251222,155000,16,16,16,16,314,0
NIOG.US,5,20251222,160000,15.85,15.85,15.85,15.85,594,0
NIOG.US,5,20251222,171000,16.01,16.01,16.01,16.01,100,0
NIOG.US,5,20251222,172500,15.87,15.87,15.87,15.87,184,0
NIOG.US,5,20251222,191500,15.87,15.87,15.87,15.87,100,0
NIOG.US,5,20251224,172500,15.06,15.06,15.06,15.06,960,0
NIOG.US,5,20251226,174000,16.3101,16.3101,16.3101,16.3101,321,0
NIOG.US,5,20251226,195500,16.68,16.68,16.68,16.68,200,0
NIOG.US,5,20251226,201000,16.625,16.625,16.625,16.625,200,0
NIOG.US,5,20251226,213500,16.612,16.612,16.612,16.612,150,0
NIOG.US,5,20251226,214000,16.69,16.69,16.69,16.69,135,0
NIOG.US,5,20251229,160500,17.54,17.54,17.54,17.54,104,0
NIOG.US,5,20251229,161000,17.59,17.6,17.59,17.6,1670,0
NIOG.US,5,20251229,162000,17.79,17.79,17.7899,17.7899,380,0
NIOG.US,5,20251229,165000,17.47,17.47,17.47,17.47,100,0
NIOG.US,5,20251229,181500,17.3972,17.3972,17.3972,17.3972,250,0
NIOG.US,5,20251229,184500,17.4,17.4,17.4,17.4,406,0
NIOG.US,5,20251229,185000,17.4082,17.4082,17.4082,17.4082,100,0
NIOG.US,5,20251229,185500,17.4599,17.4599,17.4599,17.4599,100,0
NIOG.US,5,20251229,190000,17.53,17.53,17.4888,17.4888,2000,0
NIOG.US,5,20251229,191500,17.47,17.47,17.47,17.47,100,0
NIOG.US,5,20251229,192500,17.47,17.47,17.47,17.47,224,0
NIOG.US,5,20251229,201500,17.46,17.46,17.46,17.46,200,0
NIOG.US,5,20251229,215500,17.945,17.945,17.945,17.945,600,0
NIOG.US,5,20251230,153000,19.12,19.12,19.12,19.12,100,0
NIOG.US,5,20251230,153500,19.655,19.655,19.655,19.655,100,0
NIOG.US,5,20251230,154000,19.8,20.06,19.8,20.06,300,0
NIOG.US,5,20251230,154500,20.47,20.47,20.4,20.4,250,0
NIOG.US,5,20251230,155000,20.07,20.27,20.07,20.27,296,0
NIOG.US,5,20251230,155500,21.04,21.04,20.2404,20.2404,2240,0
NIOG.US,5,20251230,160000,20.13,20.13,19.93,19.93,643,0
NIOG.US,5,20251230,161000,20.13,20.13,20.13,20.13,100,0
NIOG.US,5,20251230,163000,20.87,20.87,20.79,20.79,300,0
NIOG.US,5,20251230,164000,20.47,20.47,20.47,20.47,2566,0
NIOG.US,5,20251230,164500,20.39,20.39,20.39,20.39,100,0
NIOG.US,5,20251230,170000,20.27,20.27,20.22,20.22,900,0
NIOG.US,5,20251230,170500,19.9,19.9,19.9,19.9,100,0
NIOG.US,5,20251230,175000,19.66,19.66,19.66,19.66,100,0
NIOG.US,5,20251230,184000,19.5899,19.59,19.5899,19.59,1000,0
NIOG.US,5,20251230,184500,19.65,19.65,19.59,19.59,2777,0
NIOG.US,5,20251230,185000,19.59,19.59,19.59,19.59,289,0
NIOG.US,5,20251230,191500,19.65,19.65,19.65,19.65,300,0
NIOG.US,5,20251230,193000,19.62,19.62,19.56,19.56,520,0
NIOG.US,5,20251230,193500,19.46,19.46,19.31,19.46,700,0
NIOG.US,5,20251230,211000,19.4,19.4,19.4,19.4,500,0
NIOG.US,5,20251230,212500,19.35,19.35,19.35,19.35,100,0
NIOG.US,5,20251230,213500,19.31,19.31,19.31,19.31,260,0
NIOG.US,5,20251231,153000,18.61,18.61,16.77,16.77,1010,0
NIOG.US,5,20251231,153500,16.62,16.63,16.62,16.63,1900,0
NIOG.US,5,20251231,154000,16.15,16.15,16.15,16.15,200,0
NIOG.US,5,20251231,154500,15.93,15.94,15.93,15.94,700,0
NIOG.US,5,20251231,155000,15.95,15.95,15.87,15.94,1954,0
NIOG.US,5,20251231,155500,15.94,15.94,15.94,15.94,481,0
NIOG.US,5,20251231,160500,15.93,15.94,15.87,15.87,2168,0
NIOG.US,5,20251231,161000,15.86,15.86,15.82,15.82,300,0
NIOG.US,5,20251231,161500,15.8,15.8,15.8,15.8,403,0
NIOG.US,5,20251231,163000,15.58,15.58,15.58,15.58,200,0
NIOG.US,5,20251231,164000,15.51,15.51,15.51,15.51,100,0
NIOG.US,5,20251231,165500,15.59,15.59,15.52,15.52,372,0
NIOG.US,5,20251231,172000,15.45,15.45,15.45,15.45,200,0
NIOG.US,5,20251231,173500,15.59,15.59,15.59,15.59,350,0
NIOG.US,5,20251231,174000,15.65,15.66,15.65,15.66,800,0
