<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGYY.US,5,20251125,161500,24.51,24.51,24.51,24.51,300,0
RGYY.US,5,20251125,175500,24.49,24.49,24.49,24.49,100,0
RGYY.US,5,20251125,183000,24.53,24.53,24.5299,24.5299,400,0
RGYY.US,5,20251125,184500,24.5485,24.5485,24.5485,24.5485,100,0
RGYY.US,5,20251125,194500,24.48,24.48,24.48,24.48,120,0
RGYY.US,5,20251126,153000,25.015,25.015,25.015,25.015,400,0
RGYY.US,5,20251126,154000,24.77,24.8485,24.77,24.8485,400,0
RGYY.US,5,20251126,154500,24.85,24.85,24.85,24.85,200,0
RGYY.US,5,20251126,155000,24.59,24.59,24.5526,24.5526,200,0
RGYY.US,5,20251126,155500,24.59,24.59,24.516,24.516,1300,0
RGYY.US,5,20251126,160000,24.5603,24.5603,24.5603,24.5603,500,0
RGYY.US,5,20251126,160500,24.5995,24.6,24.5837,24.5837,350,0
RGYY.US,5,20251126,161500,24.579,24.579,24.5016,24.5016,600,0
RGYY.US,5,20251126,162500,24.5999,24.6,24.59,24.59,600,0
RGYY.US,5,20251126,165500,24.62,24.62,24.6199,24.6199,600,0
RGYY.US,5,20251126,170000,24.66,24.68,24.66,24.68,475,0
RGYY.US,5,20251126,170500,24.7,24.7,24.5768,24.5768,5300,0
RGYY.US,5,20251126,172500,24.68,24.68,24.62,24.64,400,0
RGYY.US,5,20251126,173500,24.6996,24.6996,24.6996,24.6996,100,0
RGYY.US,5,20251126,181000,24.5,24.5,24.5,24.5,400,0
RGYY.US,5,20251126,181500,24.5,24.505,24.49,24.49,3205,0
RGYY.US,5,20251126,182000,24.48,24.48,24.48,24.48,100,0
RGYY.US,5,20251126,190500,24.66,24.66,24.66,24.66,100,0
RGYY.US,5,20251126,191500,24.7588,24.7588,24.7588,24.7588,200,0
RGYY.US,5,20251126,193000,24.7592,24.7592,24.7592,24.7592,117,0
RGYY.US,5,20251126,193500,24.7,24.7,24.7,24.7,100,0
RGYY.US,5,20251126,195500,24.68,24.6801,24.68,24.6801,200,0
RGYY.US,5,20251126,202000,24.78,24.78,24.78,24.78,100,0
RGYY.US,5,20251126,211500,24.72,24.72,24.72,24.72,100,0
RGYY.US,5,20251126,215000,24.71,24.71,24.71,24.71,100,0
RGYY.US,5,20251126,215500,24.7,24.7,24.66,24.66,200,0
RGYY.US,5,20251128,154000,23.82,23.98,23.82,23.98,475,0
RGYY.US,5,20251128,174000,24.0606,24.0606,24.0606,24.0606,208,0
RGYY.US,5,20251128,183000,24.03,24.03,24.03,24.03,200,0
RGYY.US,5,20251128,183500,24.02,24.02,24.02,24.02,200,0
RGYY.US,5,20251201,154500,23.079,23.079,23.079,23.079,295,0
RGYY.US,5,20251201,160500,22.92,22.96,22.85,22.9599,1000,0
RGYY.US,5,20251201,162000,22.69,22.69,22.67,22.67,200,0
RGYY.US,5,20251201,163500,22.5619,22.5722,22.5619,22.5722,454,0
RGYY.US,5,20251201,164000,22.4994,22.4994,22.4994,22.4994,300,0
RGYY.US,5,20251201,170000,22.66,22.665,22.66,22.665,200,0
RGYY.US,5,20251201,170500,22.67,22.67,22.66,22.66,200,0
RGYY.US,5,20251201,175000,22.557,22.557,22.557,22.557,170,0
RGYY.US,5,20251201,190000,22.5565,22.5565,22.5565,22.5565,100,0
RGYY.US,5,20251201,212500,22.56,22.56,22.53,22.53,400,0
RGYY.US,5,20251202,161000,22.8,22.8,22.8,22.8,100,0
RGYY.US,5,20251202,161500,22.8,22.8,22.7999,22.8,5459,0
RGYY.US,5,20251202,162500,22.9,22.9,22.9,22.9,306,0
RGYY.US,5,20251202,163000,22.88,22.88,22.8799,22.8799,1170,0
RGYY.US,5,20251202,163500,22.82,22.82,22.8199,22.8199,560,0
RGYY.US,5,20251202,165000,22.83,22.83,22.83,22.83,540,0
RGYY.US,5,20251202,171500,22.58,22.58,22.58,22.58,140,0
RGYY.US,5,20251202,173000,22.56,22.56,22.5599,22.5599,520,0
RGYY.US,5,20251202,174500,22.69,22.69,22.69,22.69,175,0
RGYY.US,5,20251202,183000,22.884,22.95,22.884,22.9499,400,0
RGYY.US,5,20251202,183500,22.9099,22.9099,22.9099,22.9099,100,0
RGYY.US,5,20251202,184500,22.93,22.93,22.8892,22.8892,200,0
RGYY.US,5,20251202,185500,22.88,22.88,22.88,22.88,100,0
RGYY.US,5,20251202,190500,22.773,22.773,22.773,22.773,356,0
RGYY.US,5,20251202,211500,22.91,22.93,22.91,22.92,1866,0
RGYY.US,5,20251202,212500,22.92,22.92,22.92,22.92,100,0
RGYY.US,5,20251203,153000,22.8,22.8,22.8,22.8,154,0
RGYY.US,5,20251203,155500,22.72,22.72,22.72,22.72,250,0
RGYY.US,5,20251203,163000,22.729,22.729,22.63,22.6619,3500,0
RGYY.US,5,20251203,163500,22.71,22.71,22.71,22.71,110,0
RGYY.US,5,20251203,185000,22.75,22.75,22.75,22.75,200,0
RGYY.US,5,20251203,204000,23.1,23.1,23.1,23.1,100,0
RGYY.US,5,20251203,205500,23.24,23.24,23.24,23.24,100,0
RGYY.US,5,20251203,212500,23.267,23.267,23.267,23.267,100,0
RGYY.US,5,20251203,213000,23.3,23.3,23.3,23.3,100,0
RGYY.US,5,20251204,154000,23.57,23.59,23.57,23.59,200,0
RGYY.US,5,20251204,155000,23.4524,23.4524,23.4524,23.4524,600,0
RGYY.US,5,20251204,175500,23.89,23.89,23.89,23.89,100,0
RGYY.US,5,20251204,180500,23.9,23.9,23.8999,23.8999,342,0
RGYY.US,5,20251204,181500,23.8175,23.9,23.8175,23.9,1675,0
RGYY.US,5,20251204,183000,23.78,23.78,23.78,23.78,200,0
RGYY.US,5,20251204,191500,23.7418,23.82,23.7418,23.8199,840,0
RGYY.US,5,20251204,195500,23.7936,23.7936,23.7936,23.7936,2518,0
RGYY.US,5,20251204,204500,23.7483,23.7483,23.7483,23.7483,150,0
RGYY.US,5,20251204,211000,23.8,23.8,23.8,23.8,100,0
RGYY.US,5,20251204,213500,23.725,23.725,23.725,23.725,100,0
RGYY.US,5,20251205,153000,23.22,23.22,23.2199,23.2199,800,0
RGYY.US,5,20251205,154000,23.1042,23.1042,23.1042,23.1042,202,0
RGYY.US,5,20251205,160500,23.1499,23.1499,23.1499,23.1499,100,0
RGYY.US,5,20251205,162000,23.14,23.14,23.1399,23.1399,200,0
RGYY.US,5,20251205,163500,23.066,23.066,23.066,23.066,229,0
RGYY.US,5,20251205,173500,23.11,23.11,23.11,23.11,100,0
RGYY.US,5,20251205,181500,23.14,23.14,23.14,23.14,252,0
RGYY.US,5,20251205,191000,23.1,23.1,23.083,23.083,500,0
RGYY.US,5,20251208,153000,22.93,22.93,22.93,22.93,245,0
RGYY.US,5,20251208,171000,23.105,23.105,23.105,23.105,100,0
RGYY.US,5,20251208,172000,23.1454,23.1454,23.1454,23.1454,100,0
RGYY.US,5,20251208,182500,23.17,23.17,23.17,23.17,599,0
RGYY.US,5,20251208,184500,23.16,23.16,23.04,23.0401,4747,0
RGYY.US,5,20251208,185500,23.08,23.08,23.04,23.04,1969,0
RGYY.US,5,20251209,154000,21.6697,21.6697,21.6697,21.6697,100,0
RGYY.US,5,20251209,155000,21.66,21.66,21.66,21.66,100,0
RGYY.US,5,20251209,162000,21.64,21.64,21.64,21.64,907,0
RGYY.US,5,20251209,165500,21.6355,21.6355,21.6355,21.6355,100,0
RGYY.US,5,20251209,170000,21.64,21.64,21.64,21.64,1000,0
RGYY.US,5,20251209,170500,21.64,21.64,21.64,21.64,100,0
RGYY.US,5,20251209,172500,21.64,21.64,21.64,21.64,100,0
RGYY.US,5,20251209,173000,21.64,21.64,21.64,21.64,1000,0
RGYY.US,5,20251209,175500,21.64,21.64,21.64,21.64,100,0
RGYY.US,5,20251209,185000,21.64,21.64,21.64,21.64,200,0
RGYY.US,5,20251209,191500,21.64,21.64,21.64,21.64,100,0
RGYY.US,5,20251209,192000,21.64,21.64,21.6301,21.6301,600,0
RGYY.US,5,20251209,192500,21.64,21.64,21.64,21.64,788,0
RGYY.US,5,20251209,194000,21.64,21.67,21.64,21.64,3400,0
RGYY.US,5,20251209,194500,21.64,21.64,21.64,21.64,100,0
RGYY.US,5,20251209,203500,21.68,21.68,21.68,21.68,982,0
RGYY.US,5,20251209,204500,21.68,21.68,21.68,21.68,1000,0
RGYY.US,5,20251209,210000,21.6795,21.6795,21.6795,21.6795,125,0
RGYY.US,5,20251209,211500,21.655,21.68,21.655,21.68,231,0
RGYY.US,5,20251209,215500,21.68,21.68,21.63,21.63,1511,0
RGYY.US,5,20251210,153000,22.4401,22.4402,22.42,22.42,1010,0
RGYY.US,5,20251210,155500,22.53,22.53,22.53,22.53,1000,0
RGYY.US,5,20251210,160500,22.53,22.53,22.53,22.53,1300,0
RGYY.US,5,20251210,161500,22.41,22.41,22.41,22.41,1200,0
RGYY.US,5,20251210,163000,22.5,22.5,22.5,22.5,1500,0
RGYY.US,5,20251210,164000,22.48,22.48,22.47,22.47,1999,0
RGYY.US,5,20251210,174000,22.31,22.31,22.31,22.31,3000,0
RGYY.US,5,20251210,184000,22.43,22.43,22.43,22.43,1000,0
RGYY.US,5,20251210,184500,22.42,22.42,22.42,22.42,500,0
RGYY.US,5,20251210,204000,22.73,22.73,22.73,22.73,3000,0
RGYY.US,5,20251210,205000,22.61,22.61,22.61,22.61,100,0
RGYY.US,5,20251210,211500,22.53,22.53,22.53,22.53,200,0
RGYY.US,5,20251210,213500,22.46,22.46,22.46,22.46,100,0
RGYY.US,5,20251211,160000,21.8916,21.8916,21.8916,21.8916,179,0
RGYY.US,5,20251211,164000,22.11,22.11,22.11,22.11,1900,0
RGYY.US,5,20251211,164500,21.9484,21.9998,21.9484,21.9998,338,0
RGYY.US,5,20251211,191500,22.3,22.3,22.3,22.3,130,0
RGYY.US,5,20251211,193500,22.22,22.22,22.22,22.22,100,0
RGYY.US,5,20251211,200000,22.36,22.38,22.3345,22.3345,4472,0
RGYY.US,5,20251211,204000,22.44,22.45,22.44,22.45,200,0
RGYY.US,5,20251211,205500,22.345,22.345,22.345,22.345,200,0
RGYY.US,5,20251211,210500,22.42,22.42,22.42,22.42,200,0
RGYY.US,5,20251211,211500,22.5,22.5,22.5,22.5,100,0
RGYY.US,5,20251211,215500,22.55,22.56,22.52,22.56,3944,0
RGYY.US,5,20251212,153500,22.02,22.02,21.85,22.02,400,0
RGYY.US,5,20251212,154000,21.87,22.02,21.87,22.02,827,0
RGYY.US,5,20251212,155000,21.7118,21.7118,21.7118,21.7118,160,0
RGYY.US,5,20251212,162500,21.8,21.8,21.8,21.8,111,0
RGYY.US,5,20251212,165000,21.685,21.685,21.685,21.685,225,0
RGYY.US,5,20251212,165500,21.6275,21.6275,21.6275,21.6275,100,0
RGYY.US,5,20251212,171500,21.5,21.5,21.5,21.5,200,0
RGYY.US,5,20251212,172500,21.45,21.45,21.45,21.45,100,0
RGYY.US,5,20251212,173000,21.33,21.33,21.32,21.32,500,0
RGYY.US,5,20251215,153500,21.32,21.32,21.32,21.32,100,0
RGYY.US,5,20251215,154000,21.38,21.38,21.38,21.38,100,0
RGYY.US,5,20251215,155000,21.21,21.21,21.21,21.21,198,0
RGYY.US,5,20251215,162000,21.03,21.0797,21.01,21.0797,3837,0
RGYY.US,5,20251215,162500,21.0413,21.0413,21.0413,21.0413,118,0
RGYY.US,5,20251215,163500,21.1399,21.1399,21.1399,21.1399,118,0
RGYY.US,5,20251215,165500,20.97,20.97,20.96,20.96,1282,0
RGYY.US,5,20251215,170000,21,21,21,21,100,0
RGYY.US,5,20251215,170500,20.99,20.99,20.99,20.99,200,0
RGYY.US,5,20251215,171000,20.97,20.97,20.97,20.97,297,0
RGYY.US,5,20251215,183500,21.1099,21.1099,21.1099,21.1099,150,0
RGYY.US,5,20251215,184000,21.0655,21.0655,21.0655,21.0655,100,0
RGYY.US,5,20251215,191000,21.04,21.04,21.04,21.04,242,0
RGYY.US,5,20251215,192000,21.03,21.03,21.03,21.03,300,0
RGYY.US,5,20251215,201500,21.02,21.02,21.02,21.02,100,0
RGYY.US,5,20251215,205500,21,21.0001,21,21.0001,200,0
RGYY.US,5,20251215,211000,21.026,21.026,21.026,21.026,140,0
RGYY.US,5,20251215,213500,20.97,20.97,20.97,20.97,270,0
RGYY.US,5,20251215,215000,21.0299,21.0299,21.0299,21.0299,100,0
RGYY.US,5,20251216,153000,20.96,20.96,20.96,20.96,312,0
RGYY.US,5,20251216,170000,20.955,20.955,20.955,20.955,238,0
RGYY.US,5,20251216,172500,20.9962,20.9962,20.99,20.99,200,0
RGYY.US,5,20251216,173000,20.9149,20.9149,20.9149,20.9149,123,0
RGYY.US,5,20251216,185500,20.8,20.8,20.8,20.8,100,0
RGYY.US,5,20251216,192000,20.85,20.85,20.85,20.85,499,0
RGYY.US,5,20251216,204000,20.8502,20.8502,20.84,20.85,4456,0
RGYY.US,5,20251217,154000,21.1956,21.1956,21.1956,21.1956,108,0
RGYY.US,5,20251217,155000,21.31,21.31,21.31,21.31,486,0
RGYY.US,5,20251217,185500,21.0262,21.0262,21.0262,21.0262,100,0
RGYY.US,5,20251217,194000,20.8398,20.8398,20.8398,20.8398,100,0
RGYY.US,5,20251218,153500,21.0716,21.0716,21.0716,21.0716,142,0
RGYY.US,5,20251218,154000,20.973,20.973,20.97,20.97,333,0
RGYY.US,5,20251218,154500,20.9705,20.9705,20.9705,20.9705,823,0
RGYY.US,5,20251218,155000,21,21,21,21,100,0
RGYY.US,5,20251218,160000,20.83,20.83,20.83,20.83,100,0
RGYY.US,5,20251218,161000,20.73,20.73,20.73,20.73,200,0
RGYY.US,5,20251218,170000,20.73,20.84,20.73,20.7596,1140,0
RGYY.US,5,20251218,174500,20.77,20.879,20.77,20.879,540,0
RGYY.US,5,20251218,183000,20.77,20.78,20.77,20.7799,2020,0
RGYY.US,5,20251218,184500,20.88,20.88,20.8799,20.8799,400,0
RGYY.US,5,20251218,185500,20.8399,20.84,20.8399,20.84,400,0
RGYY.US,5,20251218,190000,20.7553,20.7553,20.7553,20.7553,1538,0
RGYY.US,5,20251218,192500,20.88,20.88,20.8799,20.8799,200,0
RGYY.US,5,20251218,200000,20.65,20.65,20.65,20.65,100,0
RGYY.US,5,20251218,201500,20.7575,20.7575,20.7575,20.7575,170,0
RGYY.US,5,20251218,210000,20.74,20.74,20.74,20.74,265,0
RGYY.US,5,20251218,212000,20.789,20.79,20.695,20.695,2655,0
RGYY.US,5,20251218,213000,20.85,20.85,20.74,20.74,800,0
RGYY.US,5,20251219,153000,20.3,20.3,20.3,20.3,227,0
RGYY.US,5,20251219,153500,20.4951,20.4951,20.4951,20.4951,229,0
RGYY.US,5,20251219,171500,20.6,20.6,20.6,20.6,487,0
RGYY.US,5,20251219,172000,20.6,20.6,20.6,20.6,1238,0
RGYY.US,5,20251219,174000,20.6756,20.6756,20.66,20.6756,458,0
RGYY.US,5,20251219,175000,20.49,20.51,20.49,20.51,371,0
RGYY.US,5,20251219,180500,20.5843,20.5843,20.506,20.506,846,0
RGYY.US,5,20251219,181500,20.66,20.67,20.66,20.67,500,0
RGYY.US,5,20251219,204500,20.6401,20.7117,20.6401,20.7117,1355,0
RGYY.US,5,20251219,205000,20.755,20.755,20.755,20.755,400,0
RGYY.US,5,20251219,215000,20.81,20.81,20.81,20.81,100,0
RGYY.US,5,20251222,155000,21.32,21.32,21.32,21.32,190,0
RGYY.US,5,20251222,162500,21.42,21.42,21.42,21.42,100,0
RGYY.US,5,20251223,153000,21.12,21.3,21.12,21.3,358,0
RGYY.US,5,20251223,160500,21.1,21.1,21.1,21.1,800,0
RGYY.US,5,20251223,165000,21.11,21.11,21.1099,21.1099,752,0
RGYY.US,5,20251223,184500,21.024,21.024,21.024,21.024,100,0
RGYY.US,5,20251223,185500,20.999,20.999,20.973,20.973,504,0
RGYY.US,5,20251223,190000,21.01,21.01,21.01,21.01,100,0
RGYY.US,5,20251223,190500,20.9093,20.9093,20.9093,20.9093,112,0
RGYY.US,5,20251223,194500,21.06,21.06,21.06,21.06,100,0
RGYY.US,5,20251223,204000,21,21.01,20.99,21.01,2365,0
RGYY.US,5,20251223,205000,20.97,20.99,20.97,20.99,771,0
RGYY.US,5,20251223,205500,20.99,20.99,20.99,20.99,343,0
RGYY.US,5,20251223,210000,21.01,21.01,21.01,21.01,100,0
RGYY.US,5,20251223,215000,21.0348,21.0348,21.0348,21.0348,130,0
RGYY.US,5,20251224,153000,20.93,20.93,20.93,20.93,108,0
RGYY.US,5,20251224,171500,20.695,20.695,20.695,20.695,238,0
RGYY.US,5,20251224,173500,20.7496,20.7496,20.7496,20.7496,125,0
RGYY.US,5,20251224,175500,20.7442,20.7442,20.7442,20.7442,137,0
RGYY.US,5,20251224,180000,20.75,20.78,20.7499,20.7499,4800,0
RGYY.US,5,20251226,153000,20.28,20.28,20.28,20.28,575,0
RGYY.US,5,20251226,154500,19.83,19.83,19.8299,19.8299,200,0
