<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LACG.US,5,20251212,155500,16.1276,16.1276,16.1276,16.1276,300,0
LACG.US,5,20251212,162000,15.9,15.9,15.9,15.9,100,0
LACG.US,5,20251212,170000,14.95,14.95,14.95,14.95,250,0
LACG.US,5,20251212,183000,14.555,14.555,14.555,14.555,140,0
LACG.US,5,20251212,201000,15.02,15.02,15.02,15.02,100,0
LACG.US,5,20251215,161500,13.53,13.53,13.53,13.53,100,0
LACG.US,5,20251215,162000,13.201,13.201,13.201,13.201,260,0
LACG.US,5,20251215,183000,13.26,13.2652,13.26,13.2652,250,0
LACG.US,5,20251216,153500,13.685,13.685,13.685,13.685,276,0
LACG.US,5,20251216,154500,13.81,13.81,13.81,13.81,276,0
LACG.US,5,20251216,161000,13.5,13.5,13.5,13.5,100,0
LACG.US,5,20251216,180000,13.38,13.38,13.38,13.38,300,0
LACG.US,5,20251216,190500,12.9999,12.9999,12.99,12.99,200,0
LACG.US,5,20251216,193000,13.06,13.06,13.06,13.06,518,0
LACG.US,5,20251216,200000,13.12,13.12,13.07,13.07,200,0
LACG.US,5,20251216,201000,13,13,13,13,111,0
LACG.US,5,20251217,160500,13.34,13.34,13.33,13.33,464,0
LACG.US,5,20251217,182000,12.82,12.82,12.82,12.82,500,0
LACG.US,5,20251217,190500,12.66,12.66,12.66,12.66,400,0
LACG.US,5,20251219,165000,12.99,12.99,12.99,12.99,100,0
LACG.US,5,20251219,171500,12.88,12.88,12.88,12.88,100,0
LACG.US,5,20251219,174500,12.97,12.97,12.97,12.97,500,0
LACG.US,5,20251219,193500,12.7,12.7,12.7,12.7,400,0
LACG.US,5,20251219,202000,12.41,12.41,12.41,12.41,100,0
LACG.US,5,20251222,175500,13.9022,13.9022,13.9022,13.9022,175,0
LACG.US,5,20251222,202500,13.59,13.59,13.59,13.59,100,0
LACG.US,5,20251222,205500,13.6,13.6,13.6,13.6,100,0
LACG.US,5,20251222,212000,13.5,13.5,13.5,13.5,100,0
LACG.US,5,20251223,153500,13.37,13.37,13.37,13.37,235,0
LACG.US,5,20251223,154000,13.51,13.51,13.51,13.51,100,0
LACG.US,5,20251223,155000,13.99,13.99,13.77,13.77,654,0
LACG.US,5,20251223,160000,13.0345,13.0345,13.0345,13.0345,382,0
LACG.US,5,20251223,160500,12.8001,12.8001,12.8001,12.8001,148,0
LACG.US,5,20251223,161000,12.98,13.0085,12.97,12.99,1833,0
LACG.US,5,20251223,164000,13.06,13.06,13.06,13.06,100,0
LACG.US,5,20251223,164500,12.88,12.88,12.8,12.83,1138,0
LACG.US,5,20251223,175000,12.95,12.95,12.95,12.95,149,0
LACG.US,5,20251223,181000,12.97,12.97,12.97,12.97,100,0
LACG.US,5,20251223,184500,12.9,12.9,12.9,12.9,482,0
LACG.US,5,20251223,192500,12.95,12.95,12.94,12.94,491,0
LACG.US,5,20251223,195000,12.8,12.8,12.8,12.8,100,0
LACG.US,5,20251223,202000,12.79,12.79,12.79,12.79,100,0
LACG.US,5,20251223,214000,12.86,12.86,12.86,12.86,100,0
LACG.US,5,20251224,161500,12.47,12.47,12.47,12.47,100,0
LACG.US,5,20251226,154000,12.4299,12.4299,12.4299,12.4299,3403,0
LACG.US,5,20251226,154500,12.54,12.5899,12.38,12.38,4195,0
LACG.US,5,20251226,164500,12.69,12.7,12.69,12.7,795,0
LACG.US,5,20251226,182000,12.65,12.65,12.65,12.65,622,0
LACG.US,5,20251226,212500,12.58,12.58,12.58,12.58,300,0
LACG.US,5,20251229,161500,11.3,11.3,11.3,11.3,300,0
LACG.US,5,20251229,171500,11.45,11.45,11.44,11.44,992,0
LACG.US,5,20251230,153000,11.35,11.35,11.35,11.35,998,0
LACG.US,5,20251231,184500,10.7,10.7,10.7,10.7,100,0
LACG.US,5,20251231,204000,10.47,10.47,10.47,10.47,100,0
LACG.US,5,20251231,204500,10.5,10.5,10.5,10.5,959,0
LACG.US,5,20251231,205500,10.47,10.47,10.47,10.47,100,0
LACG.US,5,20260105,200000,14.88,14.88,14.88,14.88,360,0
LACG.US,5,20260105,200500,14.7401,14.7401,14.7401,14.7401,500,0
LACG.US,5,20260105,202000,14.927,14.927,14.927,14.927,384,0
LACG.US,5,20260105,202500,14.9749,15.03,14.9749,15.03,500,0
LACG.US,5,20260105,203500,15.05,15.05,15.05,15.05,236,0
LACG.US,5,20260105,204000,15.13,15.13,15.09,15.09,1788,0
LACG.US,5,20260105,204500,15.05,15.05,15.0159,15.0159,564,0
LACG.US,5,20260105,205500,15.13,15.13,15.13,15.13,100,0
LACG.US,5,20260105,211000,14.99,14.99,14.99,14.99,100,0
LACG.US,5,20260105,212000,14.97,14.97,14.97,14.97,160,0
LACG.US,5,20260105,213500,14.94,14.94,14.94,14.94,100,0
LACG.US,5,20260106,153000,15.97,15.97,15.715,15.715,2574,0
LACG.US,5,20260106,153500,15.74,16.03,15.74,16.03,599,0
LACG.US,5,20260106,154000,16,16.19,16,16.14,1725,0
LACG.US,5,20260106,155000,15.29,15.29,15.29,15.29,334,0
LACG.US,5,20260106,155500,15.23,15.23,15.15,15.15,300,0
LACG.US,5,20260106,161000,15.6,15.6,15.6,15.6,200,0
LACG.US,5,20260106,161500,16.0299,16.0299,16.0299,16.0299,125,0
LACG.US,5,20260106,162000,15.91,15.91,15.91,15.91,200,0
LACG.US,5,20260106,163000,16.16,16.2512,16.15,16.2512,1719,0
LACG.US,5,20260106,170000,16.42,16.42,16.42,16.42,100,0
LACG.US,5,20260106,174500,15.97,15.97,15.8101,15.8101,277,0
LACG.US,5,20260106,192000,15.63,15.63,15.63,15.63,100,0
LACG.US,5,20260106,203500,16.08,16.08,16.08,16.08,100,0
LACG.US,5,20260106,212000,16.38,16.38,16.38,16.38,135,0
LACG.US,5,20260106,215500,16.33,16.33,16.25,16.25,263,0
LACG.US,5,20260107,153000,16.25,16.61,16.25,16.61,2500,0
LACG.US,5,20260107,155000,16.31,16.31,16.31,16.31,100,0
LACG.US,5,20260107,155500,16.55,16.55,16.55,16.55,764,0
LACG.US,5,20260107,160000,16.19,16.19,16.19,16.19,122,0
LACG.US,5,20260107,161500,16.3464,16.3464,16.3464,16.3464,100,0
LACG.US,5,20260107,164000,17,17,17,17,210,0
LACG.US,5,20260107,164500,17.09,17.09,17.09,17.09,124,0
LACG.US,5,20260107,170000,16.9882,16.9882,16.9882,16.9882,154,0
LACG.US,5,20260107,171000,17.2985,17.2985,17.05,17.18,1010,0
LACG.US,5,20260107,171500,16.9701,16.9701,16.9701,16.9701,200,0
LACG.US,5,20260107,172000,17.01,17.01,17.01,17.01,100,0
LACG.US,5,20260107,172500,17,17,17,17,100,0
LACG.US,5,20260107,174500,17.31,17.31,17.23,17.23,500,0
LACG.US,5,20260107,182500,16.89,16.89,16.89,16.89,100,0
LACG.US,5,20260107,185000,16.56,16.7539,16.56,16.7539,547,0
LACG.US,5,20260107,191000,16.7,16.7,16.69,16.69,200,0
LACG.US,5,20260107,201500,17.12,17.12,17.09,17.09,448,0
LACG.US,5,20260107,203000,17.2,17.2,17.2,17.2,100,0
LACG.US,5,20260108,153000,16.6,16.6,16.47,16.47,672,0
LACG.US,5,20260108,154500,16.62,16.62,16.62,16.62,200,0
LACG.US,5,20260108,162000,16.99,16.99,16.99,16.99,709,0
LACG.US,5,20260108,162500,17.19,17.2,17.19,17.2,2800,0
LACG.US,5,20260108,163500,17.18,17.18,17.102,17.102,200,0
LACG.US,5,20260108,180500,16.47,16.47,16.47,16.47,159,0
LACG.US,5,20260108,182500,16.29,16.29,16.29,16.29,100,0
LACG.US,5,20260108,194500,16.08,16.08,16.08,16.08,287,0
LACG.US,5,20260108,200000,16.1003,16.1003,16.1003,16.1003,195,0
LACG.US,5,20260108,201000,16.255,16.255,16.255,16.255,290,0
LACG.US,5,20260108,202500,16.05,16.05,16.05,16.05,118,0
LACG.US,5,20260108,204000,16.2238,16.2238,16.2238,16.2238,124,0
LACG.US,5,20260108,215000,16.7,16.7,16.7,16.7,100,0
LACG.US,5,20260109,155500,16.5,16.5,16.5,16.5,200,0
LACG.US,5,20260109,161000,15.9,15.9,15.9,15.9,699,0
LACG.US,5,20260109,162000,15.98,15.98,15.98,15.98,400,0
LACG.US,5,20260109,162500,16,16,16,16,100,0
LACG.US,5,20260109,174000,16,16,16,16,124,0
LACG.US,5,20260109,175000,16.06,16.06,16.06,16.06,188,0
LACG.US,5,20260109,215000,15.63,15.63,15.63,15.63,100,0
LACG.US,5,20260112,153500,18,18,18,18,370,0
LACG.US,5,20260112,154000,18.1605,18.29,18.12,18.12,6702,0
LACG.US,5,20260112,154500,18.36,18.36,18.29,18.3,3533,0
LACG.US,5,20260112,155000,19,19.05,18.7165,18.7165,1071,0
LACG.US,5,20260112,155500,18.16,18.58,18.16,18.58,327,0
LACG.US,5,20260112,160000,18.6399,18.6399,18.375,18.375,569,0
LACG.US,5,20260112,161500,17.71,17.71,17.71,17.71,700,0
LACG.US,5,20260112,162000,18.08,18.08,18.08,18.08,200,0
LACG.US,5,20260112,162500,18.3999,18.4,18.3999,18.4,400,0
LACG.US,5,20260112,163500,18.01,18.01,18.01,18.01,400,0
LACG.US,5,20260112,165000,18.45,18.45,18.23,18.23,224,0
LACG.US,5,20260112,173500,18.13,18.13,17.94,17.9401,1382,0
LACG.US,5,20260112,174500,18.12,18.26,18.12,18.26,1089,0
LACG.US,5,20260112,181000,18.26,18.26,18.26,18.26,1524,0
LACG.US,5,20260112,183500,18.3999,18.3999,18.3999,18.3999,1000,0
LACG.US,5,20260112,193000,18.29,18.29,18.29,18.29,281,0
LACG.US,5,20260112,195000,18.11,18.11,18.11,18.11,355,0
LACG.US,5,20260112,195500,18.0918,18.0918,18.0918,18.0918,138,0
LACG.US,5,20260112,200000,18.35,18.35,18.35,18.35,290,0
LACG.US,5,20260112,201500,18.085,18.085,18.06,18.06,200,0
LACG.US,5,20260112,210500,17.76,17.87,17.76,17.87,850,0
LACG.US,5,20260112,211000,17.74,17.74,17.74,17.74,100,0
LACG.US,5,20260113,153000,19.102,19.13,18.88,18.88,1000,0
LACG.US,5,20260113,154000,18.49,18.49,18.49,18.49,100,0
LACG.US,5,20260113,154500,18.62,18.62,18.62,18.62,110,0
LACG.US,5,20260113,155000,18.06,18.06,18.05,18.05,956,0
LACG.US,5,20260113,160000,17.31,17.31,17.31,17.31,240,0
LACG.US,5,20260113,160500,17.42,17.42,17.42,17.42,105,0
LACG.US,5,20260113,161000,17.25,17.25,17.25,17.25,300,0
LACG.US,5,20260113,162500,17.5,17.5,17.5,17.5,200,0
LACG.US,5,20260113,163500,17.82,17.82,17.81,17.81,500,0
LACG.US,5,20260113,170500,17.62,17.62,17.62,17.62,1500,0
LACG.US,5,20260113,171000,17.75,17.75,17.75,17.75,125,0
LACG.US,5,20260113,181000,17.96,17.96,17.96,17.96,100,0
LACG.US,5,20260113,182000,18.73,18.73,18.73,18.73,100,0
LACG.US,5,20260113,194000,18.36,18.36,18.3348,18.3348,591,0
LACG.US,5,20260113,203000,18.62,18.62,18.62,18.62,100,0
LACG.US,5,20260113,203500,18.48,18.49,18.48,18.49,266,0
LACG.US,5,20260114,153000,18.189,18.189,17.44,17.44,980,0
LACG.US,5,20260114,153500,17.195,17.195,17.195,17.195,220,0
LACG.US,5,20260114,154000,17.59,18.73,17.59,18.64,503,0
LACG.US,5,20260114,154500,18.6,18.6,18.6,18.6,100,0
LACG.US,5,20260114,155500,18.68,18.68,18.68,18.68,109,0
LACG.US,5,20260114,160000,18.22,18.22,18.135,18.135,400,0
LACG.US,5,20260114,160500,17.6,17.6,17.6,17.6,1164,0
LACG.US,5,20260114,161000,17.57,17.57,17.57,17.57,100,0
LACG.US,5,20260114,164500,18.1,18.16,18.1,18.16,1036,0
LACG.US,5,20260114,170500,18.11,18.11,18.1,18.1,400,0
LACG.US,5,20260114,172500,18.35,18.35,18.35,18.35,109,0
LACG.US,5,20260114,173000,18.45,18.45,18.45,18.45,104,0
LACG.US,5,20260114,175000,18.55,18.55,18.55,18.55,100,0
LACG.US,5,20260114,182500,18.6701,18.6701,18.6701,18.6701,180,0
LACG.US,5,20260114,185500,18.68,18.68,18.68,18.68,400,0
LACG.US,5,20260114,190000,18.23,18.23,18.23,18.23,400,0
LACG.US,5,20260114,192500,18.52,18.5749,18.52,18.5749,218,0
LACG.US,5,20260114,200500,18.882,18.882,18.79,18.79,964,0
LACG.US,5,20260114,201500,18.98,18.98,18.98,18.98,100,0
LACG.US,5,20260114,202000,19.0498,19.0498,19.0498,19.0498,200,0
LACG.US,5,20260114,210000,19.43,19.43,19.43,19.43,100,0
LACG.US,5,20260115,153500,18.5,18.5,18.46,18.46,220,0
LACG.US,5,20260115,154000,18.3866,18.3866,18.3866,18.3866,108,0
LACG.US,5,20260115,155500,18.68,18.69,18.68,18.69,200,0
LACG.US,5,20260115,160000,18.55,18.55,18.55,18.55,100,0
LACG.US,5,20260115,160500,18.63,18.63,18.5,18.55,1366,0
LACG.US,5,20260115,161000,18.6634,18.6634,18.6634,18.6634,226,0
LACG.US,5,20260115,163000,18.55,18.55,18.55,18.55,100,0
LACG.US,5,20260115,165500,18.29,18.29,18.29,18.29,100,0
LACG.US,5,20260115,170500,18.42,18.43,18.42,18.43,300,0
LACG.US,5,20260115,171000,18.73,18.73,18.73,18.73,142,0
LACG.US,5,20260115,172000,18.8184,18.8184,18.75,18.75,700,0
LACG.US,5,20260115,173000,18.88,18.88,18.88,18.88,414,0
LACG.US,5,20260115,182500,17.9001,17.9001,17.9001,17.9001,250,0
LACG.US,5,20260115,184500,18.065,18.065,17.96,17.96,500,0
LACG.US,5,20260115,185000,18.04,18.0401,18.04,18.0401,398,0
LACG.US,5,20260115,201500,18.94,18.94,18.94,18.94,100,0
LACG.US,5,20260115,203500,18.6,18.6,18.4,18.4,888,0
LACG.US,5,20260115,205500,18.55,18.55,18.55,18.55,100,0
LACG.US,5,20260115,214500,18.55,18.55,18.55,18.55,100,0
LACG.US,5,20260115,215500,18.61,18.61,18.61,18.61,100,0
LACG.US,5,20260116,153000,16.5,16.51,16.5,16.51,423,0
LACG.US,5,20260116,153500,15.98,15.98,15.98,15.98,100,0
LACG.US,5,20260116,154000,16.342,16.342,16.342,16.342,183,0
LACG.US,5,20260116,155500,16.79,16.79,16.79,16.79,120,0
LACG.US,5,20260116,161000,16.94,16.94,16.94,16.94,100,0
LACG.US,5,20260116,174000,17.7,17.7,17.7,17.7,100,0
LACG.US,5,20260116,185000,18.05,18.05,18.05,18.05,400,0
LACG.US,5,20260116,190000,18.11,18.11,18.11,18.11,100,0
LACG.US,5,20260116,194000,18.59,18.59,18.59,18.59,440,0
LACG.US,5,20260116,201500,18.7116,18.7116,18.7116,18.7116,500,0
LACG.US,5,20260116,202500,18.77,18.77,18.77,18.77,100,0
LACG.US,5,20260116,204000,18.65,18.6501,18.65,18.6501,216,0
LACG.US,5,20260116,213500,18.59,18.59,18.59,18.59,100,0
LACG.US,5,20260116,215000,18.86,18.86,18.86,18.86,161,0
LACG.US,5,20260120,153000,19.21,19.21,18.08,18.08,553,0
LACG.US,5,20260120,153500,19.73,19.73,19.73,19.73,2500,0
LACG.US,5,20260120,154000,19.1428,19.53,19.0585,19.52,5347,0
LACG.US,5,20260120,154500,19.59,19.59,18.44,18.44,5400,0
LACG.US,5,20260120,155500,18.44,18.44,18.44,18.44,100,0
LACG.US,5,20260120,160000,17.68,17.6852,17.67,17.6852,3369,0
LACG.US,5,20260120,160500,17.9,17.9,17.9,17.9,300,0
LACG.US,5,20260120,163000,18.4834,18.4834,18.4834,18.4834,400,0
LACG.US,5,20260120,164000,18.9,18.9,18.9,18.9,100,0
LACG.US,5,20260120,164500,18.95,18.95,18.95,18.95,300,0
LACG.US,5,20260120,165000,18.94,18.94,18.94,18.94,200,0
LACG.US,5,20260120,170000,18.9,18.9,18.8485,18.8485,272,0
