<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NETG.US,D,20251117,000000,14.54,14.54,13.87,13.87,1041,0
NETG.US,D,20251118,000000,13.01,13.425,12.88,13.0194,1055,0
NETG.US,D,20251119,000000,12.58,13.02,12.58,12.9619,389,0
NETG.US,D,20251120,000000,12.95,12.95,12.3271,12.3271,25289,0
NETG.US,D,20251121,000000,11.92,11.92,11.7045,11.7045,6774,0
NETG.US,D,20251124,000000,11.98,12.6993,11.98,12.6993,11775,0
NETG.US,D,20251125,000000,12.27,13.0643,11.82,13.0643,2472,0
NETG.US,D,20251126,000000,13.1,13.26,13.0178,13.0178,735,0
NETG.US,D,20251128,000000,13.42,13.42,13.3681,13.3681,142,0
NETG.US,D,20251201,000000,13.045,13.28,13.0041,13.0041,3837,0
NETG.US,D,20251202,000000,13.8,14.25,13.5135,13.5135,1844,0
NETG.US,D,20251203,000000,13.35,13.8889,13.35,13.8889,1097,0
NETG.US,D,20251204,000000,13.87,13.96,13.8,13.8776,714,0
NETG.US,D,20251205,000000,13.76,13.84,13.311,13.4006,1216,0
NETG.US,D,20251208,000000,14.14,14.14,14.0876,14.0876,684,0
NETG.US,D,20251209,000000,14.239,14.55,14.239,14.5476,2945,0
NETG.US,D,20251210,000000,14.368,15.1092,14.07,15.1092,10013,0
NETG.US,D,20251211,000000,14.2,14.71,14.11,14.2918,7091,0
NETG.US,D,20251212,000000,13.8477,13.8477,13.53,13.5791,1178,0
NETG.US,D,20251215,000000,13.12,13.1769,12.8087,12.8087,11660,0
NETG.US,D,20251216,000000,12.8912,12.9181,12.8912,12.9181,226,0
NETG.US,D,20251217,000000,12.96,12.96,12.1068,12.1068,7052,0
NETG.US,D,20251218,000000,12.481,12.51,12.37,12.3843,2614,0
NETG.US,D,20251219,000000,12.605,12.79,12.5996,12.5996,1345,0
NETG.US,D,20251222,000000,13.4413,13.595,13.3,13.4069,3881,0
NETG.US,D,20251223,000000,13.4057,13.4525,13.39,13.4525,512,0
NETG.US,D,20251224,000000,13.53,13.53,13.5017,13.5017,204,0
NETG.US,D,20251229,000000,13.26,13.26,13.21,13.2201,1628,0
NETG.US,D,20251230,000000,13.24,13.24,13.1309,13.1309,427,0
NETG.US,D,20251231,000000,13.16,13.16,12.7949,12.7949,615,0
NETG.US,D,20260102,000000,12.4,12.6,12.4,12.565,1779,0
NETG.US,D,20260105,000000,12.5,13.35,12.5,12.8494,2227,0
NETG.US,D,20260106,000000,12.22,12.8326,12.0996,12.8326,962,0
NETG.US,D,20260107,000000,13.15,13.4617,13.01,13.4617,1638,0
NETG.US,D,20260108,000000,12.15,12.15,11.3461,11.3461,1862,0
NETG.US,D,20260109,000000,10.9568,10.9568,10.8178,10.8178,6140,0
NETG.US,D,20260112,000000,10.92,11.35,10.92,11.2882,1512,0
NETG.US,D,20260114,000000,11.35,11.4574,11.2618,11.4574,1345,0
NETG.US,D,20260115,000000,11.24,11.34,10.98,11.0044,4669,0
NETG.US,D,20260116,000000,10.621,11.25,10.621,10.9891,992,0
NETG.US,D,20260120,000000,10.12,10.52,10.01,10.1253,8146,0
NETG.US,D,20260121,000000,9.85,9.8707,9.2996,9.2996,3498,0
NETG.US,D,20260122,000000,9.77,9.77,9.23,9.6398,10780,0
NETG.US,D,20260123,000000,9.94,10.15,9.6433,9.6433,2155,0
