<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAAQ.US,D,20250603,000000,10.07,10.07,10.05,10.06,245254,0
RAAQ.US,D,20250604,000000,10.0686,10.11,10.06,10.09,1094769,0
RAAQ.US,D,20250605,000000,10.1,10.1,10.1,10.1,14948,0
RAAQ.US,D,20250606,000000,10.11,10.11,10.1,10.11,179968,0
RAAQ.US,D,20250609,000000,10.1,10.13,10.1,10.12,190356,0
RAAQ.US,D,20250610,000000,10.1199,10.135,10.1199,10.13,105768,0
RAAQ.US,D,20250611,000000,10.135,10.14,10.13,10.14,21318,0
RAAQ.US,D,20250612,000000,10.11,10.14,10.11,10.14,831,0
RAAQ.US,D,20250613,000000,10.14,10.18,10.13,10.18,122037,0
RAAQ.US,D,20250616,000000,10.17,10.18,10.16,10.16,27318,0
RAAQ.US,D,20250617,000000,10.13,10.13,10.13,10.13,295,0
RAAQ.US,D,20250618,000000,10.11,10.2,10.11,10.19,129575,0
RAAQ.US,D,20250620,000000,10.2,10.27,10.2,10.26,840319,0
RAAQ.US,D,20250623,000000,10.25,10.25,10.25,10.25,12881,0
RAAQ.US,D,20250624,000000,10.29,10.29,10.2827,10.2827,1004,0
RAAQ.US,D,20250625,000000,10.24,10.27,10.19,10.2,163302,0
RAAQ.US,D,20250626,000000,10.17,10.17,10.16,10.17,47112,0
RAAQ.US,D,20250627,000000,10.18,10.18,10.17,10.17,13306,0
RAAQ.US,D,20250630,000000,10.1765,10.1765,10.15,10.15,31684,0
RAAQ.US,D,20250701,000000,10.17,10.17,10.14,10.15,73162,0
RAAQ.US,D,20250702,000000,10.14,10.15,10.14,10.15,12149,0
RAAQ.US,D,20250707,000000,10.14,10.15,10.14,10.14,30323,0
RAAQ.US,D,20250708,000000,10.15,10.16,10.1,10.16,41925,0
RAAQ.US,D,20250709,000000,10.16,10.16,10.15,10.15,125526,0
RAAQ.US,D,20250710,000000,10.15,10.17,10.15,10.17,57104,0
RAAQ.US,D,20250711,000000,10.19,10.2,10.17,10.17,87824,0
RAAQ.US,D,20250714,000000,10.17,10.17,10.15,10.15,9921,0
RAAQ.US,D,20250715,000000,10.17,10.17,10.16,10.17,44741,0
RAAQ.US,D,20250716,000000,10.165,10.18,10.165,10.18,117642,0
RAAQ.US,D,20250717,000000,10.17,10.17,10.15,10.15,10937,0
RAAQ.US,D,20250718,000000,10.1756,10.19,10.16,10.16,39084,0
RAAQ.US,D,20250721,000000,10.1643,10.17,10.16,10.17,29617,0
RAAQ.US,D,20250722,000000,10.17,10.17,10.17,10.17,11300,0
RAAQ.US,D,20250723,000000,10.164,10.18,10.164,10.17,14088,0
RAAQ.US,D,20250724,000000,10.16,10.16,10.16,10.16,8520,0
RAAQ.US,D,20250729,000000,10.16,10.16,10.16,10.16,30517,0
RAAQ.US,D,20250730,000000,10.15,10.16,10.15,10.16,16137,0
RAAQ.US,D,20250731,000000,10.15,10.16,10.15,10.15,23487,0
RAAQ.US,D,20250805,000000,10.18,10.18,10.18,10.18,2409,0
RAAQ.US,D,20250806,000000,10.17,10.17,10.17,10.17,22484,0
RAAQ.US,D,20250807,000000,10.18,10.18,10.16,10.17,33080,0
RAAQ.US,D,20250808,000000,10.15,10.16,10.15,10.15,190120,0
RAAQ.US,D,20250811,000000,10.14,10.14,10.14,10.14,9227,0
RAAQ.US,D,20250813,000000,10.13,10.13,10.12,10.12,19300,0
RAAQ.US,D,20250815,000000,10.11,10.11,9.62,9.62,31350,0
RAAQ.US,D,20250818,000000,10.02,10.18,10.02,10.18,33372,0
RAAQ.US,D,20250820,000000,10.1199,10.15,9.9875,10.12,23710,0
RAAQ.US,D,20250821,000000,10.13,10.13,10.11,10.11,422543,0
RAAQ.US,D,20250822,000000,10.13,10.13,10.13,10.13,15277,0
