<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDWD.US,D,20251208,000000,9.87,9.88,9.8599,9.86,30768,0
TDWD.US,D,20251209,000000,9.85,9.85,9.83,9.85,5251,0
TDWD.US,D,20251210,000000,9.85,9.86,9.85,9.86,79325,0
TDWD.US,D,20251211,000000,9.85,9.86,9.84,9.85,368023,0
TDWD.US,D,20251212,000000,9.855,9.86,9.84,9.85,529535,0
TDWD.US,D,20251215,000000,9.855,9.86,9.85,9.86,303809,0
TDWD.US,D,20251216,000000,9.8502,9.86,9.8502,9.86,194854,0
TDWD.US,D,20251217,000000,9.86,9.86,9.86,9.86,15958,0
TDWD.US,D,20251218,000000,9.86,9.86,9.86,9.86,292601,0
TDWD.US,D,20251219,000000,9.86,9.86,9.86,9.86,629,0
TDWD.US,D,20251222,000000,9.86,9.86,9.86,9.86,328,0
TDWD.US,D,20251223,000000,9.855,9.86,9.84,9.85,85006,0
TDWD.US,D,20251224,000000,9.85,9.85,9.85,9.85,2895,0
TDWD.US,D,20251226,000000,9.8566,9.8566,9.85,9.85,913,0
TDWD.US,D,20251229,000000,9.86,9.86,9.85,9.86,11637,0
TDWD.US,D,20251230,000000,9.857,9.86,9.85,9.86,26692,0
TDWD.US,D,20251231,000000,9.86,9.86,9.84,9.85,226571,0
TDWD.US,D,20260102,000000,9.85,9.87,9.85,9.87,11325,0
TDWD.US,D,20260105,000000,9.86,9.87,9.85,9.85,320793,0
TDWD.US,D,20260106,000000,9.86,9.86,9.86,9.86,149378,0
TDWD.US,D,20260107,000000,9.87,9.88,9.87,9.88,2410,0
TDWD.US,D,20260108,000000,9.87,9.88,9.87,9.87,16289,0
TDWD.US,D,20260109,000000,9.88,9.88,9.87,9.87,101419,0
TDWD.US,D,20260112,000000,9.875,9.885,9.875,9.88,32332,0
TDWD.US,D,20260113,000000,9.9,9.91,9.9,9.91,18607,0
TDWD.US,D,20260114,000000,9.9,9.91,9.89,9.89,300107,0
TDWD.US,D,20260115,000000,9.9,9.9,9.89,9.89,543,0
TDWD.US,D,20260116,000000,9.9033,9.9033,9.89,9.89,5557,0
TDWD.US,D,20260120,000000,9.8987,9.91,9.8987,9.9,1373,0
TDWD.US,D,20260121,000000,9.91,9.91,9.91,9.91,247,0
TDWD.US,D,20260122,000000,9.9,9.9,9.9,9.9,1014,0
TDWD.US,D,20260123,000000,9.91,9.91,9.91,9.91,912,0
