<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPCVU.US,D,20251219,000000,9.96,9.99,9.96,9.99,441286,0
LPCVU.US,D,20251222,000000,9.95,10,9.95,9.97,604893,0
LPCVU.US,D,20251223,000000,9.96,10.01,9.96,10,42981,0
LPCVU.US,D,20251224,000000,10,10,10,10,105,0
LPCVU.US,D,20251226,000000,10,10,10,10,101,0
LPCVU.US,D,20251230,000000,9.97,10,9.97,10,2316,0
LPCVU.US,D,20251231,000000,9.98,9.98,9.96,9.98,10589,0
LPCVU.US,D,20260102,000000,9.98,9.98,9.98,9.98,1172,0
LPCVU.US,D,20260105,000000,10.01,10.035,9.995,10.005,115290,0
LPCVU.US,D,20260106,000000,9.98,10.01,9.98,9.995,4859,0
LPCVU.US,D,20260107,000000,10.02,10.02,10,10.005,10148,0
LPCVU.US,D,20260108,000000,10.01,10.05,9.99,9.99,206567,0
LPCVU.US,D,20260109,000000,10.04,10.04,9.99,9.99,6000,0
LPCVU.US,D,20260112,000000,10.0303,10.08,9.99,10,1929,0
LPCVU.US,D,20260113,000000,10,10.07,10,10.04,4140,0
LPCVU.US,D,20260114,000000,10.01,10.07,10,10.03,10469,0
LPCVU.US,D,20260115,000000,10,10.01,10,10.01,1618,0
LPCVU.US,D,20260116,000000,10.01,10.01,10.01,10.01,1162,0
LPCVU.US,D,20260120,000000,10.01,10.01,10,10,1081,0
LPCVU.US,D,20260121,000000,10,10.01,10,10.01,151383,0
LPCVU.US,D,20260122,000000,10,10.01,10,10.01,48769,0
LPCVU.US,D,20260123,000000,10,10.02,10,10.02,643,0
