<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBPH.US,D,20251125,000000,25.08,25.08,25.075,25.075,200,0
PBPH.US,D,20251211,000000,24.74,24.7633,24.74,24.7633,2504,0
PBPH.US,D,20251212,000000,24.75,24.8028,24.75,24.8028,103,0
PBPH.US,D,20251215,000000,25.1092,25.22,25.1092,25.1841,1280,0
PBPH.US,D,20251217,000000,24.89,24.89,24.8151,24.8151,100,0
PBPH.US,D,20251219,000000,25.1821,25.1821,25.0894,25.0894,542,0
PBPH.US,D,20251224,000000,25.49,25.49,25.4641,25.4641,403,0
PBPH.US,D,20251226,000000,25.47,25.47,25.4634,25.4634,273,0
PBPH.US,D,20251230,000000,25.38,25.38,25.3247,25.3247,550,0
PBPH.US,D,20251231,000000,25.31,25.31,25.2428,25.2428,128,0
PBPH.US,D,20260102,000000,25.24,25.32,25.22,25.312,70766,0
PBPH.US,D,20260105,000000,24.9,25.11,24.9,25.0774,55348,0
PBPH.US,D,20260106,000000,25.45,25.55,25.44,25.53,84078,0
PBPH.US,D,20260107,000000,26.02,27.08,25.88,26.0242,79518,0
PBPH.US,D,20260108,000000,26.06,26.06,25.6,25.7626,87281,0
PBPH.US,D,20260109,000000,25.98,25.98,25.6753,25.6753,87524,0
PBPH.US,D,20260112,000000,25.663,25.74,25.5584,25.7035,74124,0
PBPH.US,D,20260113,000000,25.65,25.68,25.5496,25.6453,295470,0
PBPH.US,D,20260114,000000,25.76,25.91,25.73,25.8928,95303,0
PBPH.US,D,20260115,000000,25.7,25.7,25.44,25.525,63842,0
PBPH.US,D,20260116,000000,25.5516,25.68,25.5516,25.645,95458,0
PBPH.US,D,20260120,000000,25.27,25.5,25.25,25.4518,88622,0
PBPH.US,D,20260121,000000,25.64,25.83,25.61,25.8124,82133,0
PBPH.US,D,20260122,000000,25.89,26.08,25.89,26.0359,74568,0
PBPH.US,D,20260123,000000,26.09,26.11,25.9501,26.0597,73156,0
