<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYQ.US,D,20241010,000000,5.49,5.49,4.03,4.11,268400,0
SKYQ.US,D,20241011,000000,4.2,4.2,3.4,3.58,204067,0
SKYQ.US,D,20241014,000000,3.6,3.89,3.19,3.42,45627,0
SKYQ.US,D,20241015,000000,3.49,3.49,3.05,3.2031,32590,0
SKYQ.US,D,20241016,000000,3.2,3.61,3.1,3.5,124259,0
SKYQ.US,D,20241017,000000,3.6,4.2685,3.5,4.24,166982,0
SKYQ.US,D,20241018,000000,4.25,4.25,3.5,3.54,58928,0
SKYQ.US,D,20241021,000000,3.72,3.72,3.32,3.5201,89309,0
SKYQ.US,D,20241022,000000,3.77,3.77,3.05,3.21,116805,0
SKYQ.US,D,20241023,000000,3.2,3.25,2.85,2.9799,60837,0
SKYQ.US,D,20241024,000000,2.89,3.2229,2.7486,2.76,92245,0
SKYQ.US,D,20241025,000000,2.78,2.89,2.45,2.45,201320,0
SKYQ.US,D,20241028,000000,2.85,3,2.15,2.34,381643,0
SKYQ.US,D,20241029,000000,2.35,2.67,2.3,2.34,214283,0
SKYQ.US,D,20241030,000000,2.38,2.466,2.23,2.3,76217,0
SKYQ.US,D,20241031,000000,2.39,2.4533,2.25,2.3,83296,0
SKYQ.US,D,20241101,000000,2.37,2.3885,2.08,2.13,112687,0
SKYQ.US,D,20241104,000000,2.21,2.23,1.75,1.96,173168,0
SKYQ.US,D,20241105,000000,1.95,1.96,1.62,1.63,187610,0
SKYQ.US,D,20241106,000000,1.65,1.75,1.52,1.55,119188,0
SKYQ.US,D,20241107,000000,1.62,1.62,1.51,1.6,98518,0
SKYQ.US,D,20241108,000000,1.6,1.96,1.55,1.83,393009,0
SKYQ.US,D,20241111,000000,1.9,2.2,1.83,2.14,380918,0
SKYQ.US,D,20241112,000000,2.19,2.2608,1.9,1.95,203975,0
SKYQ.US,D,20241113,000000,1.93,2.08,1.878,1.94,122732,0
SKYQ.US,D,20241114,000000,2.1,2.11,1.92,1.98,253675,0
SKYQ.US,D,20241115,000000,2,2.05,1.86,1.9,114623,0
SKYQ.US,D,20241118,000000,1.93,2.05,1.66,1.7,152304,0
SKYQ.US,D,20241119,000000,1.73,1.73,1.39,1.42,267846,0
SKYQ.US,D,20241120,000000,1.44,1.44,1.11,1.16,228752,0
SKYQ.US,D,20241121,000000,1.13,1.24,1.1201,1.18,224466,0
SKYQ.US,D,20241122,000000,1.2,1.24,1.13,1.17,139119,0
SKYQ.US,D,20241125,000000,1.22,1.25,1.11,1.16,299469,0
SKYQ.US,D,20241126,000000,1.14,1.19,0.83,0.8303,496217,0
SKYQ.US,D,20241127,000000,0.872,0.9572,0.87,0.9,242992,0
SKYQ.US,D,20241129,000000,0.97,1.0942,0.94,1.05,348430,0
SKYQ.US,D,20241202,000000,1.07,1.09,0.98,0.983,174802,0
SKYQ.US,D,20241203,000000,0.99,1.0114,0.912,0.9272,153139,0
SKYQ.US,D,20241204,000000,0.91,0.919999,0.8201,0.8511,316052,0
SKYQ.US,D,20241205,000000,0.85,1.04,0.85,0.9299,447843,0
SKYQ.US,D,20241206,000000,0.95,1.04,0.87,0.91,260474,0
SKYQ.US,D,20241209,000000,0.93,0.93,0.875,0.8912,147757,0
SKYQ.US,D,20241210,000000,0.8912,1.04,0.8878,1.02,229193,0
SKYQ.US,D,20241211,000000,1.05,1.05,0.92,0.9733,143671,0
SKYQ.US,D,20241212,000000,0.9733,1.03,0.94,0.961401,179772,0
SKYQ.US,D,20241213,000000,0.98,0.98,0.92,0.942,83719,0
SKYQ.US,D,20241216,000000,0.95,0.98,0.91,0.9211,73669,0
SKYQ.US,D,20241217,000000,0.9,0.95,0.85,0.94,167972,0
SKYQ.US,D,20241218,000000,0.95,1.07,0.94,0.9848,334516,0
SKYQ.US,D,20241219,000000,1.02,1.02,0.93,0.9968,190338,0
SKYQ.US,D,20241220,000000,1.01,1.02,0.94,1.0137,105672,0
SKYQ.US,D,20241223,000000,1.03,1.2,1.02,1.14,400517,0
SKYQ.US,D,20241224,000000,1.14,1.15,1.09,1.14,74792,0
SKYQ.US,D,20241226,000000,1.15,1.17,1.02,1.09,147270,0
SKYQ.US,D,20241227,000000,1.13,1.13,0.962,1.03,93620,0
SKYQ.US,D,20241230,000000,1.03,1.305,1.02,1.28,358203,0
SKYQ.US,D,20241231,000000,1.25,1.26,1.0515,1.15,229184,0
SKYQ.US,D,20250102,000000,1.12,1.22,1.1,1.15,114810,0
SKYQ.US,D,20250103,000000,1.13,1.17,1,1.092,155981,0
SKYQ.US,D,20250106,000000,1.1,1.23,1.1,1.19,144745,0
SKYQ.US,D,20250107,000000,1.2,1.38,1.19,1.36,292498,0
SKYQ.US,D,20250108,000000,1.54,1.56,1.2801,1.45,2229089,0
SKYQ.US,D,20250110,000000,1.45,1.5343,1.37,1.39,333073,0
SKYQ.US,D,20250113,000000,1.38,1.38,1.16,1.16,179199,0
SKYQ.US,D,20250114,000000,1.16,1.25,1.12,1.23,94168,0
SKYQ.US,D,20250115,000000,1.23,1.25,1.16,1.22,82516,0
SKYQ.US,D,20250116,000000,1.22,1.39,1.22,1.38,256954,0
SKYQ.US,D,20250117,000000,1.37,1.44,1.25,1.25,210320,0
SKYQ.US,D,20250121,000000,1.27,1.35,1.1504,1.23,208421,0
SKYQ.US,D,20250122,000000,1.18,1.2366,1.13,1.14,115771,0
SKYQ.US,D,20250123,000000,1.12,1.17,1.1,1.1,150011,0
SKYQ.US,D,20250124,000000,1.1,1.18,1.05,1.1,86973,0
SKYQ.US,D,20250127,000000,1.12,1.12,1.06,1.09,46188,0
SKYQ.US,D,20250128,000000,1.1,1.15,1.0609,1.1,69608,0
SKYQ.US,D,20250129,000000,1.09,1.1,1.02,1.02,117012,0
SKYQ.US,D,20250130,000000,1.01,1.05,1,1.02,38648,0
SKYQ.US,D,20250131,000000,1.06,1.11,1.02,1.03,33940,0
SKYQ.US,D,20250203,000000,1.06,1.1185,1,1.01,70092,0
SKYQ.US,D,20250204,000000,1.03,1.14,0.9501,1.14,257971,0
SKYQ.US,D,20250205,000000,1.13,1.13,0.966,1.06,154460,0
SKYQ.US,D,20250206,000000,1.06,1.17,1.06,1.1343,64937,0
SKYQ.US,D,20250207,000000,1.14,1.16,1.07,1.08,58263,0
SKYQ.US,D,20250210,000000,1.14,1.14,1.06,1.1,33174,0
SKYQ.US,D,20250211,000000,1.07,1.11,1.046,1.085,86067,0
SKYQ.US,D,20250212,000000,1.11,1.11,1,1.02,87830,0
SKYQ.US,D,20250213,000000,1.04,1.04,0.95,0.9632,83608,0
SKYQ.US,D,20250214,000000,0.9714,0.974,0.86,0.87,174202,0
SKYQ.US,D,20250218,000000,0.87,0.96,0.87,0.93,37764,0
SKYQ.US,D,20250219,000000,0.95,0.9997,0.9,0.93,43063,0
SKYQ.US,D,20250220,000000,0.923,0.94,0.8875,0.9011,32819,0
SKYQ.US,D,20250221,000000,0.907501,0.91,0.86,0.8825,45725,0
SKYQ.US,D,20250224,000000,0.9,0.9,0.8337,0.834,48258,0
SKYQ.US,D,20250225,000000,0.8455,0.86,0.713,0.72,198984,0
SKYQ.US,D,20250226,000000,0.755,0.9032,0.7206,0.8253,73995,0
SKYQ.US,D,20250227,000000,0.888,0.89,0.7618,0.7721,52019,0
SKYQ.US,D,20250228,000000,0.75,0.76,0.6794,0.6999,102032,0
SKYQ.US,D,20250303,000000,0.7,0.758,0.7,0.7112,66020,0
SKYQ.US,D,20250304,000000,0.72,0.805,0.6839,0.7206,41347,0
SKYQ.US,D,20250305,000000,0.701,0.7099,0.6505,0.6801,52040,0
SKYQ.US,D,20250306,000000,0.68,0.718,0.6601,0.709,55684,0
SKYQ.US,D,20250307,000000,0.758,0.88,0.7316,0.76,18776,0
SKYQ.US,D,20250310,000000,0.846,0.846,0.72,0.720101,23946,0
SKYQ.US,D,20250311,000000,0.7462,0.7462,0.68,0.6821,42880,0
SKYQ.US,D,20250312,000000,0.7599,0.76,0.68,0.6867,55223,0
SKYQ.US,D,20250313,000000,0.739,0.748,0.6631,0.6706,43432,0
SKYQ.US,D,20250314,000000,0.68,0.72,0.68,0.71,62703,0
SKYQ.US,D,20250317,000000,0.701,0.735,0.691,0.7,24068,0
SKYQ.US,D,20250318,000000,0.704,0.729765,0.7001,0.729765,14525,0
SKYQ.US,D,20250319,000000,0.735,0.735,0.6851,0.7001,64928,0
SKYQ.US,D,20250320,000000,0.7,0.73,0.7,0.7263,26560,0
SKYQ.US,D,20250321,000000,0.7125,0.735,0.7125,0.714,9459,0
SKYQ.US,D,20250324,000000,0.71,0.71,0.68,0.7008,34698,0
SKYQ.US,D,20250325,000000,0.717,0.72,0.62,0.63,91456,0
SKYQ.US,D,20250326,000000,0.625,0.63,0.56,0.5968,77804,0
SKYQ.US,D,20250327,000000,0.6,0.621501,0.59,0.605,19305,0
SKYQ.US,D,20250328,000000,0.59,0.7,0.58,0.63,32943,0
SKYQ.US,D,20250331,000000,0.69,0.69,0.5603,0.5691,68864,0
SKYQ.US,D,20250401,000000,0.59,0.72,0.5603,0.6947,82698,0
SKYQ.US,D,20250402,000000,0.69,0.7,0.6,0.63,47370,0
SKYQ.US,D,20250403,000000,0.63,0.7,0.585,0.65,33523,0
SKYQ.US,D,20250404,000000,0.625,0.625,0.5603,0.581,56200,0
SKYQ.US,D,20250407,000000,0.56,0.581,0.48,0.5198,139153,0
SKYQ.US,D,20250408,000000,0.54,0.56,0.51,0.56,56662,0
SKYQ.US,D,20250409,000000,0.57,0.5799,0.522,0.5477,40987,0
SKYQ.US,D,20250410,000000,0.5749,0.735,0.5648,0.7299,301088,0
SKYQ.US,D,20250411,000000,0.711,0.74,0.64,0.6851,80047,0
SKYQ.US,D,20250414,000000,0.67,0.7,0.6371,0.66,46337,0
