<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSGY.US,D,20250708,000000,4.28,4.71,3.83,4.27,1732168,0
MSGY.US,D,20250709,000000,4,6.8,3.91,5.03,983815,0
MSGY.US,D,20250710,000000,4.29,5,4.23,4.53,72753,0
MSGY.US,D,20250711,000000,4.42,4.67,4.22,4.51,81752,0
MSGY.US,D,20250714,000000,4.45,4.65,4.23,4.24,64202,0
MSGY.US,D,20250715,000000,4.3936,5.2349,4.37,5.02,162048,0
MSGY.US,D,20250716,000000,5.36,5.9,5.03,5.8,101743,0
MSGY.US,D,20250717,000000,5.8,6,5.05,5.57,25093,0
MSGY.US,D,20250718,000000,5.76,7.5,5.4,6.41,131115,0
MSGY.US,D,20250721,000000,6.4,8,6.0001,7.7,266109,0
MSGY.US,D,20250722,000000,8.35,8.8,7.1,8.15,130724,0
MSGY.US,D,20250723,000000,7.95,10.88,7.405,9.81,499295,0
MSGY.US,D,20250724,000000,9.81,11,9.4,10.01,356087,0
MSGY.US,D,20250725,000000,10,10.445,9.5,9.85,72236,0
MSGY.US,D,20250728,000000,10.07,10.3,9.67,10.2,32283,0
MSGY.US,D,20250729,000000,10.15,10.21,9.6,10.03,205761,0
MSGY.US,D,20250730,000000,10,10.55,9.3,10.44,215360,0
MSGY.US,D,20250731,000000,10.1,12.1999,10.06,11.78,305054,0
MSGY.US,D,20250801,000000,11.12,11.7611,9.99,10.03,211792,0
MSGY.US,D,20250804,000000,9.81,10.7605,9.8,10.74,43569,0
MSGY.US,D,20250805,000000,10.23,11.0745,10.23,11.03,26176,0
MSGY.US,D,20250806,000000,10.69,11.3,10.2001,10.63,86191,0
MSGY.US,D,20250807,000000,10.31,11.6303,7.74,11.43,156187,0
MSGY.US,D,20250808,000000,11.2,12,10.89,12,397467,0
MSGY.US,D,20250811,000000,11.31,12,11.1768,11.96,75607,0
MSGY.US,D,20250812,000000,11.9,11.9,11.3,11.56,50640,0
MSGY.US,D,20250813,000000,11.7,11.7,11.19,11.33,121410,0
MSGY.US,D,20250814,000000,11.49,11.8181,11.2,11.5,137455,0
MSGY.US,D,20250815,000000,11.5,11.86,11.3,11.5,40467,0
MSGY.US,D,20250818,000000,11.41,11.6,11.41,11.53,7303,0
MSGY.US,D,20250819,000000,11.6,12.22,11.31,11.85,353834,0
MSGY.US,D,20250820,000000,12.04,12.16,11.62,11.76,78059,0
MSGY.US,D,20250821,000000,11.76,12.19,11.6,11.9,77223,0
MSGY.US,D,20250822,000000,12.15,12.15,11.77,11.9,32827,0
MSGY.US,D,20250825,000000,12,12.092,11.78,11.98,42793,0
MSGY.US,D,20250826,000000,12.1,12.5,11.77,12.5,74993,0
MSGY.US,D,20250827,000000,12.6,12.89,12,12.22,52160,0
MSGY.US,D,20250828,000000,12.09,13,11.6101,12.89,214580,0
MSGY.US,D,20250829,000000,12.89,13.37,11.8,13.37,429595,0
MSGY.US,D,20250902,000000,12.9,14.5994,12.3,13.3,265919,0
MSGY.US,D,20250903,000000,13.3,13.605,12.53,12.6,114116,0
MSGY.US,D,20250904,000000,12.6,18.68,12.5,17.32,184203,0
MSGY.US,D,20250905,000000,17.29,18.48,13.6296,13.9,152811,0
MSGY.US,D,20250908,000000,12.9,15.8979,12.9,13.48,112771,0
MSGY.US,D,20250909,000000,13.06,13.4526,12.1,13.26,48125,0
MSGY.US,D,20250910,000000,13.15,13.96,12.7,13.1,586666,0
MSGY.US,D,20250911,000000,13.14,13.7,12.96,13.56,683673,0
MSGY.US,D,20250912,000000,13.5,14.3,13.26,14.16,196969,0
MSGY.US,D,20250915,000000,14.16,14.59,13.9,14.15,191759,0
MSGY.US,D,20250916,000000,14.15,14.5,13.88,14.48,75964,0
MSGY.US,D,20250917,000000,14.03,15.38,13.8,14.4,692267,0
MSGY.US,D,20250918,000000,14.75,17.27,14.3,15.68,533649,0
MSGY.US,D,20250919,000000,15.5,16.27,15.46,16,69294,0
MSGY.US,D,20250922,000000,16,16.5,15.4,15.4,138710,0
MSGY.US,D,20250923,000000,15.72,16.4996,15.45,16.47,256091,0
MSGY.US,D,20250924,000000,16.3,17.3,16.19,16.72,45083,0
MSGY.US,D,20250925,000000,17.08,17.7,16.72,17.3,1594462,0
MSGY.US,D,20250926,000000,16.91,22.2,16.89,19.7,576725,0
MSGY.US,D,20250929,000000,19.3,19.84,18.5,19.62,1098321,0
MSGY.US,D,20250930,000000,19.7,20.45,19.32,20.45,1000894,0
MSGY.US,D,20251001,000000,20.34,20.79,20.1001,20.52,804977,0
MSGY.US,D,20251002,000000,20.45,21.34,2.6,2.97,5137761,0
MSGY.US,D,20251003,000000,2.42,2.6299,2.33,2.51,1913464,0
MSGY.US,D,20251006,000000,2.35,2.36,2,2,1082996,0
MSGY.US,D,20251007,000000,1.93,1.94,1.61,1.61,633374,0
MSGY.US,D,20251008,000000,1.53,1.5699,1.41,1.52,524979,0
MSGY.US,D,20251009,000000,1.55,1.78,1.55,1.62,470633,0
MSGY.US,D,20251010,000000,1.6,1.7399,1.5901,1.6,222760,0
MSGY.US,D,20251013,000000,1.59,1.64,1.51,1.56,99793,0
MSGY.US,D,20251014,000000,1.56,1.73,1.52,1.6,112181,0
MSGY.US,D,20251015,000000,1.78,1.78,1.62,1.66,140131,0
MSGY.US,D,20251016,000000,1.65,1.76,1.65,1.68,100347,0
MSGY.US,D,20251017,000000,1.67,1.81,1.66,1.69,161746,0
MSGY.US,D,20251020,000000,1.69,1.75,1.62,1.68,135067,0
MSGY.US,D,20251021,000000,1.66,1.75,1.66,1.68,46327,0
MSGY.US,D,20251022,000000,1.58,1.7,1.48,1.56,184198,0
MSGY.US,D,20251023,000000,1.55,1.68,1.55,1.59,48476,0
MSGY.US,D,20251024,000000,1.55,1.7,1.55,1.62,73521,0
MSGY.US,D,20251027,000000,1.54,1.66,1.51,1.53,159328,0
MSGY.US,D,20251028,000000,1.5,1.6,1.49,1.5,64396,0
MSGY.US,D,20251029,000000,1.5,1.59,1.5,1.53,69352,0
MSGY.US,D,20251030,000000,1.52,1.65,1.52,1.54,113195,0
MSGY.US,D,20251031,000000,1.51,1.65,1.51,1.58,45061,0
MSGY.US,D,20251103,000000,1.58,1.58,1.47,1.49,66222,0
MSGY.US,D,20251104,000000,1.42,1.55,1.4,1.45,34699,0
MSGY.US,D,20251105,000000,1.42,1.53,1.42,1.45,27219,0
MSGY.US,D,20251106,000000,1.44,1.55,1.41,1.42,13483,0
MSGY.US,D,20251107,000000,1.4,1.42,0.83,0.95,1943572,0
MSGY.US,D,20251110,000000,1.25,1.7,1.18,1.46,21094168,0
MSGY.US,D,20251111,000000,1.18,1.49,1.13,1.19,677142,0
MSGY.US,D,20251112,000000,1.21,1.45,1.21,1.35,280564,0
MSGY.US,D,20251113,000000,1.3,1.53,1.2943,1.37,226115,0
MSGY.US,D,20251114,000000,1.38,1.79,1.38,1.71,900149,0
MSGY.US,D,20251117,000000,1.71,1.87,1.6507,1.8,473009,0
MSGY.US,D,20251118,000000,1.71,2.16,1.7,2.08,461844,0
MSGY.US,D,20251119,000000,2.15,2.39,2,2.24,332198,0
MSGY.US,D,20251120,000000,2.24,2.429,2.02,2.23,214063,0
MSGY.US,D,20251121,000000,2.29,2.56,2.162,2.45,279563,0
MSGY.US,D,20251124,000000,2.48,2.64,2.38,2.55,117341,0
MSGY.US,D,20251125,000000,2.65,2.72,2.52,2.61,1114116,0
MSGY.US,D,20251126,000000,2.63,2.77,2.6201,2.745,516737,0
MSGY.US,D,20251128,000000,2.7,2.9399,2.62,2.69,1870206,0
MSGY.US,D,20251201,000000,2.74,2.86,2.64,2.86,370611,0
MSGY.US,D,20251202,000000,2.88,3.09,2.7501,2.9,1405948,0
MSGY.US,D,20251203,000000,2.84,2.8544,2.65,2.71,147700,0
MSGY.US,D,20251204,000000,2.74,2.89,2.66,2.81,1810221,0
MSGY.US,D,20251205,000000,2.8,2.85,2.76,2.83,272132,0
MSGY.US,D,20251208,000000,2.79,2.82,2.72,2.78,339640,0
MSGY.US,D,20251209,000000,2.76,2.8,2.66,2.74,528987,0
MSGY.US,D,20251210,000000,2.79,2.79,2.71,2.75,131320,0
MSGY.US,D,20251211,000000,2.89,3.525,2.68,2.73,2155688,0
MSGY.US,D,20251212,000000,2.8,2.8337,2.55,2.77,1755467,0
MSGY.US,D,20251215,000000,2.79,2.83,2.68,2.7,300985,0
MSGY.US,D,20251216,000000,2.7,2.74,2.6899,2.7,79721,0
MSGY.US,D,20251217,000000,2.68,2.78,2.68,2.72,92287,0
MSGY.US,D,20251218,000000,2.71,2.81,2.71,2.81,113299,0
MSGY.US,D,20251219,000000,2.75,2.86,2.71,2.74,1526045,0
MSGY.US,D,20251222,000000,2.68,2.735,2.68,2.72,71820,0
MSGY.US,D,20251223,000000,2.69,2.75,2.65,2.68,28339,0
MSGY.US,D,20251224,000000,2.7,2.7,2.6501,2.68,19112,0
MSGY.US,D,20251226,000000,2.68,2.703,2.67,2.68,7275,0
MSGY.US,D,20251229,000000,2.59,2.74,2.59,2.67,32727,0
MSGY.US,D,20251230,000000,2.67,2.71,2.67,2.685,11639,0
MSGY.US,D,20251231,000000,2.67,2.69,2.645,2.69,20243,0
MSGY.US,D,20260102,000000,2.6871,2.69,2.6601,2.69,5171,0
MSGY.US,D,20260105,000000,2.65,2.68,2.6,2.63,16909,0
MSGY.US,D,20260106,000000,2.51,2.7,2.51,2.67,38098,0
MSGY.US,D,20260107,000000,2.69,2.71,2.6115,2.7,44441,0
MSGY.US,D,20260108,000000,2.71,2.9,2.67,2.87,1281234,0
MSGY.US,D,20260109,000000,2.99,3.0395,2.75,2.86,1101065,0
MSGY.US,D,20260112,000000,2.87,3.05,2.29,2.85,1217693,0
MSGY.US,D,20260113,000000,2.75,2.99,2.7,2.95,2598484,0
MSGY.US,D,20260114,000000,3.015,3.12,2.99,3.06,230493,0
MSGY.US,D,20260115,000000,2.995,3.14,2.995,3.13,1883808,0
MSGY.US,D,20260116,000000,3.17,3.26,3.1301,3.24,154683,0
MSGY.US,D,20260120,000000,3.23,4.4,3.19,4.07,1759300,0
MSGY.US,D,20260121,000000,4.18,5.8999,4.08,5.4,463669,0
MSGY.US,D,20260122,000000,5.8,6.6,5.19,5.65,236814,0
MSGY.US,D,20260123,000000,5.6,5.79,5.47,5.77,2066490,0
