<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITHAU.US,D,20251212,000000,9.98,10,9.97,9.97,5882583,0
ITHAU.US,D,20251215,000000,9.98,9.99,9.965,9.97,659608,0
ITHAU.US,D,20251216,000000,9.98,9.99,9.94,9.96,205752,0
ITHAU.US,D,20251217,000000,9.97,9.97,9.9429,9.95,160104,0
ITHAU.US,D,20251218,000000,9.95,9.96,9.94,9.955,149498,0
ITHAU.US,D,20251219,000000,9.96,9.96,9.95,9.955,10637,0
ITHAU.US,D,20251222,000000,9.94,9.96,9.94,9.955,581077,0
ITHAU.US,D,20251223,000000,9.94,9.95,9.94,9.95,3793,0
ITHAU.US,D,20251224,000000,9.94,9.94,9.94,9.94,323,0
ITHAU.US,D,20251226,000000,9.94,9.95,9.94,9.95,4304,0
ITHAU.US,D,20251229,000000,9.97,9.98,9.94,9.97,52526,0
ITHAU.US,D,20251230,000000,10,10,9.96,9.98,2455,0
ITHAU.US,D,20251231,000000,9.96,9.975,9.95,9.975,9404,0
ITHAU.US,D,20260102,000000,9.96,9.96,9.96,9.96,1064,0
ITHAU.US,D,20260105,000000,9.96,9.96,9.96,9.96,1038,0
ITHAU.US,D,20260106,000000,9.965,9.98,9.96,9.97,12890,0
ITHAU.US,D,20260107,000000,9.96,9.96,9.96,9.96,1913,0
ITHAU.US,D,20260108,000000,9.96,10,9.96,10,766,0
ITHAU.US,D,20260109,000000,10,10,9.98,10,101641,0
ITHAU.US,D,20260112,000000,10,10,9.97,9.97,586,0
ITHAU.US,D,20260113,000000,9.97,10.01,9.97,10.01,6242,0
ITHAU.US,D,20260114,000000,10,10,9.97,9.99,1989,0
ITHAU.US,D,20260115,000000,10,10,10,10,5325,0
ITHAU.US,D,20260120,000000,9.99,9.995,9.99,9.995,7263,0
ITHAU.US,D,20260121,000000,9.99,10,9.99,9.9999,13498,0
ITHAU.US,D,20260122,000000,9.9934,9.995,9.99,9.99,43993,0
