<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMRI.US,D,20251211,000000,18.65,19.25,18.03,18.52,7068000,0
LMRI.US,D,20251212,000000,18.3,18.87,18.29,18.53,790573,0
LMRI.US,D,20251215,000000,18.78,19.45,18.27,18.52,712252,0
LMRI.US,D,20251216,000000,18.5,18.53,17.15,17.9,1163245,0
LMRI.US,D,20251217,000000,17.75,18,15.81,17.08,1126550,0
LMRI.US,D,20251218,000000,17,17.62,16.605,17.14,538084,0
LMRI.US,D,20251219,000000,17.11,18.02,16.9,17.74,439830,0
LMRI.US,D,20251222,000000,17.81,18,16.8,17.945,402420,0
LMRI.US,D,20251223,000000,17.93,18.45,17.335,18.26,352200,0
LMRI.US,D,20251224,000000,18.24,18.29,17.63,18.21,177885,0
LMRI.US,D,20251226,000000,18.23,18.45,17.75,18,310788,0
LMRI.US,D,20251229,000000,18,18.35,17.91,18.11,284800,0
LMRI.US,D,20251230,000000,18.05,18.69,17.6925,18.3,509258,0
LMRI.US,D,20251231,000000,18.31,18.58,18.21,18.5,520791,0
LMRI.US,D,20260102,000000,18.49,18.52,17.44,17.55,926949,0
LMRI.US,D,20260105,000000,17.53,17.69,16.51,16.83,698984,0
LMRI.US,D,20260106,000000,17,17.5,16.98,17.39,907338,0
LMRI.US,D,20260107,000000,17.36,17.67,17.065,17.3,676014,0
LMRI.US,D,20260108,000000,17.5,18.29,17.2,17.73,1418583,0
LMRI.US,D,20260109,000000,17.74,18.015,16.4,16.68,1303918,0
LMRI.US,D,20260112,000000,17,17.23,15.24,15.82,702114,0
LMRI.US,D,20260113,000000,15.78,17,15.67,16.02,983284,0
LMRI.US,D,20260114,000000,15.92,16.08,15.185,15.56,656700,0
LMRI.US,D,20260115,000000,15.33,15.88,14,15.43,536431,0
LMRI.US,D,20260116,000000,15.42,16.02,15.02,15.55,509466,0
LMRI.US,D,20260120,000000,15.55,15.78,14.7,14.78,418688,0
LMRI.US,D,20260121,000000,14.84,15.239999,14.71,15.13,279665,0
LMRI.US,D,20260122,000000,15.16,15.26,14.57,14.7,313901,0
LMRI.US,D,20260123,000000,14.72,15.5185,14.12,14.4,370430,0
