<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRMR.US,D,20251209,000000,25.08,25.12,24.9806,24.9806,1586125,0
PRMR.US,D,20251210,000000,24.982,25.19,24.958,25.1153,19382,0
PRMR.US,D,20251211,000000,24.99,25.2699,24.99,25.2423,43205,0
PRMR.US,D,20251212,000000,25.235,25.26,24.935,25.035,37233,0
PRMR.US,D,20251215,000000,25.02,25.02,24.8933,24.9173,220787,0
PRMR.US,D,20251216,000000,24.92,24.92,24.7405,24.8802,26990,0
PRMR.US,D,20251217,000000,24.87,24.88,24.6134,24.6134,31614,0
PRMR.US,D,20251218,000000,24.87,24.89,24.74,24.7438,8254,0
PRMR.US,D,20251219,000000,24.88,24.96,24.85,24.9563,57575,0
PRMR.US,D,20251222,000000,25.04,25.1,25.03,25.0878,14528,0
PRMR.US,D,20251223,000000,25.0825,25.15,25.03,25.1424,92819,0
PRMR.US,D,20251224,000000,25.14,25.2236,25.14,25.2236,84674,0
PRMR.US,D,20251226,000000,25.27,25.27,25.1601,25.209,21645,0
PRMR.US,D,20251229,000000,25.1432,25.16,25.09,25.1159,7116,0
PRMR.US,D,20251230,000000,25.072,25.19,24.98,25.0866,35585,0
PRMR.US,D,20251231,000000,25.07,25.07,24.9015,24.9015,8575,0
PRMR.US,D,20260102,000000,24.96,24.99,24.7649,24.8588,11885,0
PRMR.US,D,20260105,000000,25.07,25.08,24.99,25.0248,20312,0
PRMR.US,D,20260106,000000,25.07,25.22,25.07,25.195,12952,0
PRMR.US,D,20260107,000000,25.23,25.27,25.1,25.1125,10143,0
PRMR.US,D,20260108,000000,25.0235,25.1239,25.0136,25.0628,19482,0
PRMR.US,D,20260109,000000,25.1025,25.2046,25.0528,25.1661,6192,0
PRMR.US,D,20260112,000000,25.0538,25.165,25.0538,25.1536,12646,0
PRMR.US,D,20260113,000000,25.06,25.065,25.01,25.0257,21732,0
PRMR.US,D,20260114,000000,24.94,24.9599,24.78,24.8901,23905,0
PRMR.US,D,20260115,000000,24.99,25.05,24.85,24.8697,12819,0
PRMR.US,D,20260116,000000,24.796,24.87,24.74,24.8285,27118,0
PRMR.US,D,20260120,000000,24.505,24.5642,24.3331,24.3331,24961,0
PRMR.US,D,20260121,000000,24.53,24.63,24.4,24.5525,1736,0
PRMR.US,D,20260122,000000,24.77,24.81,24.6738,24.7161,8053,0
PRMR.US,D,20260123,000000,24.71,24.81,24.6935,24.745,37772,0
