<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMTX.US,D,20251215,000000,9.9,9.9,9.88,9.89,156802,0
MMTX.US,D,20251216,000000,9.88,9.88,9.88,9.88,504,0
MMTX.US,D,20251219,000000,9.89,9.89,9.89,9.89,2002,0
MMTX.US,D,20251222,000000,9.89,9.89,9.89,9.89,205404,0
MMTX.US,D,20251224,000000,9.89,9.89,9.89,9.89,359,0
MMTX.US,D,20251226,000000,9.9,9.9,9.9,9.9,109,0
MMTX.US,D,20251230,000000,9.9,9.9,9.9,9.9,110158,0
MMTX.US,D,20251231,000000,9.909,9.909,9.909,9.909,1150,0
MMTX.US,D,20260102,000000,9.8965,9.9,9.8965,9.9,715,0
MMTX.US,D,20260105,000000,9.91,9.93,9.895,9.91,6124,0
MMTX.US,D,20260106,000000,9.905,9.92,9.905,9.91,10008,0
MMTX.US,D,20260108,000000,9.93,9.93,9.93,9.93,178,0
MMTX.US,D,20260112,000000,9.92,9.925,9.92,9.925,7838,0
MMTX.US,D,20260113,000000,9.93,9.935,9.92,9.935,294548,0
MMTX.US,D,20260114,000000,9.935,9.94,9.93,9.94,869630,0
MMTX.US,D,20260115,000000,9.94,9.96,9.94,9.96,201310,0
MMTX.US,D,20260120,000000,9.945,9.945,9.945,9.945,604,0
MMTX.US,D,20260121,000000,9.945,9.95,9.94,9.94,3289,0
MMTX.US,D,20260122,000000,9.94,9.96,9.94,9.95,21954,0
MMTX.US,D,20260123,000000,9.95,9.96,9.95,9.96,749,0
