<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORIQ.US,D,20250909,000000,10,10.01,10,10,245203,0
ORIQ.US,D,20250911,000000,10,10,9.98,10,800190,0
ORIQ.US,D,20250912,000000,10,10,10,10,296,0
ORIQ.US,D,20250915,000000,10,10,10,10,2779,0
ORIQ.US,D,20250916,000000,10.01,10.03,10.01,10.01,514198,0
ORIQ.US,D,20250917,000000,10.02,10.02,10,10,556373,0
ORIQ.US,D,20250918,000000,10.02,10.02,10.01,10.01,211291,0
ORIQ.US,D,20250919,000000,10.02,10.035,10.01,10.02,294627,0
ORIQ.US,D,20250922,000000,10.09,10.09,10.01,10.01,13661,0
ORIQ.US,D,20250923,000000,10.01,10.02,10.01,10.01,12933,0
ORIQ.US,D,20250924,000000,10.02,10.02,10.01,10.015,15338,0
ORIQ.US,D,20250925,000000,10.02,10.02,10.015,10.015,1870,0
ORIQ.US,D,20250926,000000,10.02,10.03,10.02,10.03,2599,0
ORIQ.US,D,20250929,000000,10.03,10.07,10.02,10.04,80491,0
ORIQ.US,D,20250930,000000,10.04,10.05,10.04,10.05,103848,0
ORIQ.US,D,20251001,000000,10.05,10.05,10.03,10.03,32732,0
ORIQ.US,D,20251002,000000,10.01,10.05,10.01,10.05,5125,0
ORIQ.US,D,20251003,000000,10.01,10.05,10.01,10.03,78149,0
ORIQ.US,D,20251006,000000,10.02,10.05,10.02,10.05,20399,0
ORIQ.US,D,20251007,000000,10.049,10.05,10.04,10.05,7728,0
ORIQ.US,D,20251008,000000,10.03,10.06,10.03,10.06,248138,0
ORIQ.US,D,20251009,000000,10.06,10.08,10.06,10.06,11380,0
ORIQ.US,D,20251010,000000,10.07,10.09,10.07,10.08,43264,0
ORIQ.US,D,20251013,000000,10.07,10.1,10.07,10.1,642,0
ORIQ.US,D,20251015,000000,10.09,10.1,10.09,10.095,10542,0
ORIQ.US,D,20251017,000000,10.1,10.11,10.1,10.11,429,0
ORIQ.US,D,20251020,000000,10.1,10.11,10.1,10.11,328,0
ORIQ.US,D,20251021,000000,10.11,10.11,10.11,10.11,336,0
ORIQ.US,D,20251022,000000,10.11,10.12,10.11,10.11,4205,0
ORIQ.US,D,20251027,000000,10.12,10.12,10.1,10.1,4132,0
ORIQ.US,D,20251028,000000,10.12,10.12,10.12,10.12,105,0
ORIQ.US,D,20251029,000000,10.11,10.11,10.11,10.11,10235,0
ORIQ.US,D,20251030,000000,10.103,10.12,10.103,10.12,4416,0
ORIQ.US,D,20251031,000000,10.12,10.13,10.11,10.13,18276,0
ORIQ.US,D,20251103,000000,10.11,10.14,10.11,10.14,5957,0
ORIQ.US,D,20251104,000000,10.115,10.15,10.11,10.15,19894,0
ORIQ.US,D,20251105,000000,10.15,10.19,10.15,10.19,20940,0
ORIQ.US,D,20251106,000000,10.2,10.2,10.16,10.16,7189,0
ORIQ.US,D,20251107,000000,10.19,10.19,10.16,10.16,509,0
ORIQ.US,D,20251110,000000,10.19,10.19,10.16,10.16,357,0
ORIQ.US,D,20251111,000000,10.16,10.16,10.16,10.16,303,0
ORIQ.US,D,20251112,000000,10.16,10.18,10.16,10.18,50618,0
ORIQ.US,D,20251113,000000,10.18,10.18,10.18,10.18,134,0
ORIQ.US,D,20251114,000000,10.17,10.17,10.1611,10.1611,858,0
ORIQ.US,D,20251117,000000,10.18,10.18,10.18,10.18,124,0
ORIQ.US,D,20251118,000000,10.18,10.18,10.18,10.18,115,0
ORIQ.US,D,20251119,000000,10.18,10.18,10.18,10.18,104,0
ORIQ.US,D,20251120,000000,10.18,10.18,10.18,10.18,114,0
ORIQ.US,D,20251121,000000,10.18,10.18,10.18,10.18,113,0
ORIQ.US,D,20251124,000000,10.18,10.18,10.17,10.17,25202,0
ORIQ.US,D,20251125,000000,10.18,10.18,10.18,10.18,127,0
ORIQ.US,D,20251126,000000,10.18,10.18,10.18,10.18,102,0
ORIQ.US,D,20251128,000000,10.18,10.18,10.18,10.18,119,0
ORIQ.US,D,20251201,000000,10.18,10.18,10.18,10.18,400,0
ORIQ.US,D,20251202,000000,10.18,10.18,10.16,10.16,3766,0
ORIQ.US,D,20251205,000000,10.16,10.18,10.16,10.18,10869,0
ORIQ.US,D,20251208,000000,10.16,10.16,10.136,10.136,1301,0
ORIQ.US,D,20251209,000000,10.12,10.16,10.12,10.16,3270,0
ORIQ.US,D,20251210,000000,10.16,10.16,10.16,10.16,106,0
ORIQ.US,D,20251211,000000,10.16,10.16,10.16,10.16,232,0
ORIQ.US,D,20251215,000000,10.1401,10.1401,10.1401,10.1401,117,0
ORIQ.US,D,20251216,000000,10.15,10.16,10.12,10.15,43607,0
ORIQ.US,D,20251219,000000,10.12,10.12,10.11,10.12,59207,0
ORIQ.US,D,20251222,000000,10.11,10.11,10.11,10.11,202,0
ORIQ.US,D,20251223,000000,10.12,10.12,10.12,10.12,25001,0
