<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAAQU.US,D,20250429,000000,10.05,10.085,10.05,10.06,5030103,0
RAAQU.US,D,20250430,000000,10.08,10.12,10.07,10.11,865811,0
RAAQU.US,D,20250501,000000,10.12,10.14,10.05,10.1,567772,0
RAAQU.US,D,20250502,000000,10.095,10.12,10.06,10.06,315338,0
RAAQU.US,D,20250505,000000,10.05,10.05,10.04,10.05,104187,0
RAAQU.US,D,20250506,000000,10.03,10.05,10.03,10.05,3709,0
RAAQU.US,D,20250507,000000,10.05,10.05,10.05,10.05,472,0
RAAQU.US,D,20250508,000000,10.08,10.08,10.055,10.06,161845,0
RAAQU.US,D,20250509,000000,10.05,10.07,10.05,10.07,2811,0
RAAQU.US,D,20250512,000000,10.1,10.1,10.05,10.06,250323,0
RAAQU.US,D,20250513,000000,10.06,10.08,10.06,10.06,17936,0
RAAQU.US,D,20250514,000000,10.06,10.06,10.06,10.06,103187,0
RAAQU.US,D,20250515,000000,10.07,10.08,10.07,10.08,2138,0
RAAQU.US,D,20250516,000000,10.07,10.075,10.07,10.07,5962,0
RAAQU.US,D,20250519,000000,10.07,10.07,10.07,10.07,1186,0
RAAQU.US,D,20250520,000000,10.08,10.08,10.08,10.08,1683,0
RAAQU.US,D,20250521,000000,10.08,10.08,10.08,10.08,616,0
RAAQU.US,D,20250522,000000,10.09,10.09,10.08,10.08,1193,0
RAAQU.US,D,20250523,000000,10.09,10.09,10.08,10.08,51191,0
RAAQU.US,D,20250527,000000,10.07,10.08,10.07,10.08,15809,0
RAAQU.US,D,20250528,000000,10.07,10.09,10.07,10.08,7582,0
RAAQU.US,D,20250529,000000,10.08,10.09,10.07,10.07,10761,0
RAAQU.US,D,20250530,000000,10.09,10.12,10.09,10.12,271655,0
RAAQU.US,D,20250602,000000,10.18,10.2,10.14,10.2,142905,0
RAAQU.US,D,20250603,000000,10.26,10.26,10.25,10.25,20784,0
RAAQU.US,D,20250604,000000,10.25,10.29,10.19,10.275,149069,0
RAAQU.US,D,20250605,000000,10.25,10.29,10.25,10.25,664,0
RAAQU.US,D,20250606,000000,10.25,10.25,10.25,10.25,737,0
RAAQU.US,D,20250609,000000,10.29,10.29,10.29,10.29,300,0
RAAQU.US,D,20250611,000000,10.3841,10.3841,10.31,10.31,10733,0
RAAQU.US,D,20250612,000000,10.38,10.38,10.3,10.3,752,0
RAAQU.US,D,20250613,000000,10.31,10.31,10.31,10.31,288,0
RAAQU.US,D,20250616,000000,10.38,10.38,10.33,10.35,20494,0
RAAQU.US,D,20250617,000000,10.35,10.35,10.35,10.35,381,0
RAAQU.US,D,20250618,000000,10.39,10.51,10.39,10.51,5549,0
RAAQU.US,D,20250620,000000,10.49,10.49,10.41,10.41,598,0
RAAQU.US,D,20250623,000000,10.45,10.45,10.45,10.45,231,0
RAAQU.US,D,20250624,000000,10.45,10.464,10.45,10.45,679,0
RAAQU.US,D,20250625,000000,10.45,10.49,10.03,10.49,9973,0
RAAQU.US,D,20250626,000000,10.3,10.36,10.3,10.36,528,0
RAAQU.US,D,20250715,000000,10.3567,10.5526,10.195,10.3301,2938,0
RAAQU.US,D,20250729,000000,10.36,10.36,10.36,10.36,142,0
RAAQU.US,D,20250805,000000,10.36,10.36,10.36,10.36,177,0
RAAQU.US,D,20250815,000000,10.4,10.4,10.36,10.36,1500,0
RAAQU.US,D,20250903,000000,10.31,10.31,10.31,10.31,105,0
RAAQU.US,D,20250916,000000,10.28,10.5,10.28,10.5,4901,0
RAAQU.US,D,20250930,000000,10.29,10.29,10.29,10.29,50935,0
RAAQU.US,D,20251002,000000,10,11,9.2,10.4,35448,0
RAAQU.US,D,20251003,000000,10.8,10.82,10.3301,10.34,12992,0
RAAQU.US,D,20251006,000000,10.2,11,10.2,10.3,5515,0
RAAQU.US,D,20251007,000000,10.33,10.33,10.33,10.33,327,0
RAAQU.US,D,20251008,000000,10.31,10.5594,10.31,10.36,2482,0
RAAQU.US,D,20251009,000000,10.38,10.578,10.255,10.35,11808,0
RAAQU.US,D,20251010,000000,10.29,10.29,10.29,10.29,105,0
RAAQU.US,D,20251013,000000,10.26,10.3,10.24,10.3,843,0
RAAQU.US,D,20251014,000000,10.45,10.8,10.38,10.8,17526,0
RAAQU.US,D,20251015,000000,10.99,11.77,10.98,11,7432,0
RAAQU.US,D,20251016,000000,10.94,10.94,10.83,10.83,3330,0
RAAQU.US,D,20251017,000000,10.75,10.75,10.75,10.75,162,0
RAAQU.US,D,20251022,000000,10.71,10.85,10.7,10.7,1524,0
RAAQU.US,D,20251024,000000,10.8,10.8,10.8,10.8,699,0
RAAQU.US,D,20251027,000000,10.67,10.67,10.67,10.67,222,0
RAAQU.US,D,20251028,000000,10.66,10.66,10.66,10.66,111,0
RAAQU.US,D,20251029,000000,10.67,10.6987,10.67,10.6987,223,0
RAAQU.US,D,20251031,000000,10.65,10.65,10.65,10.65,219,0
RAAQU.US,D,20251105,000000,10.64,10.64,10.64,10.64,106,0
RAAQU.US,D,20251118,000000,10.57,10.57,10.57,10.57,110,0
RAAQU.US,D,20251120,000000,10.5,10.5,10.49,10.5,2790,0
RAAQU.US,D,20251201,000000,10.5,10.5,10.5,10.5,30000,0
RAAQU.US,D,20251209,000000,10.4,10.4,10.4,10.4,149,0
RAAQU.US,D,20260114,000000,10.4,10.5,10.4,10.5,1300,0
RAAQU.US,D,20260115,000000,11,11,10.5,10.97,77416,0
RAAQU.US,D,20260120,000000,11.1,11.1001,11.1,11.1,5900,0
RAAQU.US,D,20260121,000000,11.1,11.1,11.1,11.1,5000,0
RAAQU.US,D,20260122,000000,11.1,11.1001,10.888,11.1,7100,0
RAAQU.US,D,20260123,000000,11,11.1001,11,11.1,1960,0
