<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCGA.US,D,20250728,000000,10.71,11.66,10.66,10.739,199310,0
MCGA.US,D,20250729,000000,10.72,10.75,10.56,10.6,18952,0
MCGA.US,D,20250730,000000,10.6,10.6009,10.5,10.51,18779,0
MCGA.US,D,20250731,000000,10.5802,10.68,10.5,10.63,5657,0
MCGA.US,D,20250801,000000,10.45,10.58,10.45,10.54,15752,0
MCGA.US,D,20250804,000000,10.7038,11.3,10.56,11.02,506463,0
MCGA.US,D,20250805,000000,11.22,11.22,10.79,10.96,464443,0
MCGA.US,D,20250806,000000,11,11.24,10.9,10.95,155682,0
MCGA.US,D,20250807,000000,10.98,11.25,10.9,10.92,146669,0
MCGA.US,D,20250808,000000,10.95,10.95,10.85,10.9,198965,0
MCGA.US,D,20250811,000000,10.85,10.9881,10.63,10.67,217345,0
MCGA.US,D,20250812,000000,10.6342,10.87,10.6342,10.82,707861,0
MCGA.US,D,20250813,000000,10.8182,10.93,10.8,10.9,302197,0
MCGA.US,D,20250814,000000,10.85,10.94,10.85,10.92,166295,0
MCGA.US,D,20250815,000000,10.9,11,10.75,10.91,204486,0
MCGA.US,D,20250818,000000,10.935,10.935,10.76,10.87,48029,0
MCGA.US,D,20250819,000000,10.87,11,10.4788,10.59,239864,0
MCGA.US,D,20250820,000000,10.6495,10.6495,10.36,10.6,66608,0
MCGA.US,D,20250821,000000,10.46,10.602,10.4539,10.59,25600,0
MCGA.US,D,20250822,000000,10.59,10.655,10.565,10.59,34982,0
MCGA.US,D,20250825,000000,10.5175,10.9,10.5,10.66,166152,0
MCGA.US,D,20250826,000000,10.8,10.96,10.3,10.4,5689409,0
MCGA.US,D,20250827,000000,10.55,10.8181,10.5199,10.76,1872396,0
MCGA.US,D,20250828,000000,11.6,11.88,11.12,11.4,2672197,0
MCGA.US,D,20250829,000000,11.64,11.64,11.1,11.29,510974,0
MCGA.US,D,20250902,000000,11,11.03,10.67,10.67,1184106,0
MCGA.US,D,20250903,000000,10.86,10.996,10.71,10.92,793539,0
MCGA.US,D,20250904,000000,10.9,10.925,10.6,10.65,241360,0
MCGA.US,D,20250905,000000,10.7,10.89,10.4,10.82,412829,0
MCGA.US,D,20250908,000000,10.77,10.78,10.51,10.73,260800,0
MCGA.US,D,20250909,000000,10.84,10.84,10.43,10.52,448927,0
MCGA.US,D,20250910,000000,10.69,10.7,10.45,10.48,219398,0
MCGA.US,D,20250911,000000,10.48,10.59,10.39,10.44,464609,0
MCGA.US,D,20250912,000000,10.44,10.6075,10.44,10.46,251431,0
MCGA.US,D,20250915,000000,10.55,10.59,10.41,10.45,126166,0
MCGA.US,D,20250916,000000,10.46,10.6,10.41,10.58,126861,0
MCGA.US,D,20250917,000000,10.57,10.5879,10.4844,10.56,166495,0
MCGA.US,D,20250918,000000,10.65,10.7,10.56,10.67,392012,0
MCGA.US,D,20250919,000000,10.65,10.6995,10.6,10.68,110299,0
MCGA.US,D,20250922,000000,10.54,10.7,10.54,10.66,141814,0
MCGA.US,D,20250923,000000,10.59,10.675,10.56,10.67,188893,0
MCGA.US,D,20250924,000000,10.57,10.8,10.56,10.75,102793,0
MCGA.US,D,20250925,000000,10.7,10.7,10.65,10.69,185408,0
MCGA.US,D,20250926,000000,10.68,10.75,10.5901,10.75,118983,0
MCGA.US,D,20250929,000000,10.7,10.78,10.61,10.66,75320,0
MCGA.US,D,20250930,000000,10.57,10.68,10.57,10.66,61360,0
MCGA.US,D,20251001,000000,10.75,10.75,10.61,10.67,223412,0
MCGA.US,D,20251002,000000,10.65,10.67,10.62,10.67,112097,0
MCGA.US,D,20251003,000000,10.62,10.69,10.56,10.68,84287,0
MCGA.US,D,20251006,000000,10.67,10.7,10.5801,10.69,68939,0
MCGA.US,D,20251007,000000,10.68,10.7,10.6217,10.69,177056,0
MCGA.US,D,20251008,000000,10.65,10.81,10.65,10.75,230578,0
MCGA.US,D,20251009,000000,10.78,10.8,10.7,10.76,137302,0
MCGA.US,D,20251010,000000,10.7001,10.83,10.66,10.8,133085,0
MCGA.US,D,20251013,000000,10.71,10.7793,10.62,10.65,184467,0
MCGA.US,D,20251014,000000,10.6042,10.69,10.6,10.65,289968,0
MCGA.US,D,20251015,000000,10.69,10.69,10.62,10.62,124634,0
MCGA.US,D,20251016,000000,10.62,10.66,10.57,10.64,163421,0
MCGA.US,D,20251017,000000,10.55,10.6,10.45,10.54,211024,0
MCGA.US,D,20251020,000000,10.55,10.565,10.42,10.46,106494,0
MCGA.US,D,20251021,000000,10.44,10.47,10.4,10.47,171236,0
MCGA.US,D,20251022,000000,10.48,10.48,10.37,10.37,102580,0
MCGA.US,D,20251023,000000,10.42,10.45,10.38,10.42,23245,0
MCGA.US,D,20251024,000000,10.4,10.4308,10.38,10.4,35884,0
MCGA.US,D,20251027,000000,10.4,10.42,10.35,10.39,174456,0
MCGA.US,D,20251028,000000,10.44,10.46,10.4206,10.46,28168,0
MCGA.US,D,20251029,000000,10.45,10.46,10.42,10.42,35023,0
MCGA.US,D,20251030,000000,10.42,10.442,10.35,10.38,100421,0
MCGA.US,D,20251031,000000,10.44,10.44,10.35,10.35,26623,0
MCGA.US,D,20251103,000000,10.35,10.38,10.35,10.35,27592,0
MCGA.US,D,20251104,000000,10.35,10.36,10.25,10.27,100161,0
MCGA.US,D,20251105,000000,10.3,10.35,10.25,10.3,57575,0
MCGA.US,D,20251106,000000,10.31,10.3396,10.3,10.32,20355,0
MCGA.US,D,20251107,000000,10.3,10.35,10.28,10.31,85417,0
MCGA.US,D,20251110,000000,10.35,10.36,10.33,10.33,126604,0
MCGA.US,D,20251111,000000,10.36,10.36,10.3,10.305,36809,0
MCGA.US,D,20251112,000000,10.3,10.3,10.24,10.25,140092,0
MCGA.US,D,20251113,000000,10.25,10.255,10.18,10.18,182892,0
MCGA.US,D,20251114,000000,10.17,10.18,10.15,10.175,789764,0
MCGA.US,D,20251117,000000,10.18,10.18,10.1,10.11,284964,0
MCGA.US,D,20251118,000000,10.12,10.135,10.11,10.13,69851,0
MCGA.US,D,20251119,000000,10.13,10.131,10.12,10.12,112373,0
MCGA.US,D,20251120,000000,10.12,10.14,10.12,10.12,88650,0
MCGA.US,D,20251121,000000,10.12,10.13,10.11,10.125,124262,0
MCGA.US,D,20251124,000000,10.13,10.1356,10.12,10.12,95751,0
MCGA.US,D,20251125,000000,10.13,10.14,10.12,10.13,212715,0
MCGA.US,D,20251126,000000,10.14,10.14,10.13,10.13,178894,0
MCGA.US,D,20251128,000000,10.14,10.14,10.13,10.13,115401,0
MCGA.US,D,20251201,000000,10.13,10.13,10.11,10.125,385206,0
MCGA.US,D,20251202,000000,10.14,10.14,10.115,10.12,280790,0
MCGA.US,D,20251203,000000,10.12,10.13,10.1,10.11,86208,0
MCGA.US,D,20251204,000000,10.11,10.1298,10.11,10.12,276430,0
MCGA.US,D,20251205,000000,10.12,10.13,10.12,10.12,86497,0
MCGA.US,D,20251208,000000,10.13,10.13,10.12,10.12,30857,0
MCGA.US,D,20251209,000000,10.12,10.13,10.12,10.12,42738,0
MCGA.US,D,20251210,000000,10.12,10.14,10.12,10.13,82353,0
MCGA.US,D,20251211,000000,10.135,10.14,10.13,10.13,74563,0
MCGA.US,D,20251212,000000,10.13,10.1348,10.12,10.12,89029,0
MCGA.US,D,20251215,000000,10.13,10.14,10.115,10.12,141311,0
MCGA.US,D,20251216,000000,10.12,10.13,10.12,10.12,58686,0
MCGA.US,D,20251217,000000,10.12,10.129,10.12,10.12,16047,0
MCGA.US,D,20251218,000000,10.12,10.13,10.12,10.12,84815,0
MCGA.US,D,20251219,000000,10.12,10.13,10.12,10.12,12273,0
MCGA.US,D,20251222,000000,10.12,10.13,10.1,10.1,118433,0
MCGA.US,D,20251223,000000,10.11,10.115,10.1,10.11,49982,0
MCGA.US,D,20251224,000000,10.115,10.115,10.1,10.1,67210,0
MCGA.US,D,20251226,000000,10.1,10.125,10.1,10.12,48476,0
MCGA.US,D,20251229,000000,10.11,10.1255,10.11,10.11,90191,0
MCGA.US,D,20251230,000000,10.12,10.1375,10.12,10.13,424585,0
MCGA.US,D,20251231,000000,10.13,10.14,10.13,10.13,46003,0
MCGA.US,D,20260102,000000,10.14,10.15,10.135,10.14,40552,0
MCGA.US,D,20260105,000000,10.16,10.22,10.14,10.22,55400,0
MCGA.US,D,20260106,000000,10.185,10.1942,10.17,10.17,13062,0
MCGA.US,D,20260107,000000,10.13,10.1937,10.13,10.14,41769,0
MCGA.US,D,20260108,000000,10.175,10.175,10.14,10.14,5060,0
MCGA.US,D,20260109,000000,10.19,10.19,10.15,10.15,152178,0
MCGA.US,D,20260112,000000,10.1852,10.19,10.15,10.15,8715,0
MCGA.US,D,20260113,000000,10.17,10.1772,10.15,10.15,27741,0
MCGA.US,D,20260114,000000,10.15,10.174,10.15,10.15,18540,0
MCGA.US,D,20260115,000000,10.15,10.1548,10.14,10.14,24035,0
MCGA.US,D,20260116,000000,10.15,10.16,10.15,10.15,3244,0
MCGA.US,D,20260120,000000,10.15,10.176,10.14,10.15,82777,0
MCGA.US,D,20260121,000000,10.15,10.16,10.15,10.15,20067,0
MCGA.US,D,20260122,000000,10.15,10.16,10.15,10.15,12682,0
MCGA.US,D,20260123,000000,10.15,10.155,10.15,10.15,1696,0
