<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTMU.US,5,20251027,151000,7.88,7.88,7.88,7.88,200,0
FTMU.US,5,20251027,194500,7.87,7.87,7.87,7.87,392,0
FTMU.US,5,20251027,195500,7.871,7.871,7.871,7.871,150,0
FTMU.US,5,20251027,203000,7.87,7.8701,7.87,7.8701,1921,0
FTMU.US,5,20251027,203500,7.87,7.87,7.86,7.86,1159,0
FTMU.US,5,20251028,143000,7.88,7.88,7.8698,7.8698,7812,0
FTMU.US,5,20251028,151500,7.8702,7.8702,7.8702,7.8702,244,0
FTMU.US,5,20251028,153000,7.87,7.87,7.861,7.861,3500,0
FTMU.US,5,20251028,154000,7.87,7.8702,7.71,7.87,15467,0
FTMU.US,5,20251028,155000,7.86,7.86,7.86,7.86,1900,0
FTMU.US,5,20251028,155500,7.86,7.87,7.86,7.87,356,0
FTMU.US,5,20251028,160000,7.86,7.86,7.85,7.86,8731,0
FTMU.US,5,20251028,162500,7.86,7.86,7.86,7.86,100,0
FTMU.US,5,20251028,164000,7.86,7.86,7.86,7.86,200,0
FTMU.US,5,20251028,174500,7.86,7.86,7.86,7.86,48381,0
FTMU.US,5,20251028,182500,7.8403,7.86,7.8403,7.86,6661,0
FTMU.US,5,20251028,184000,7.85,7.85,7.84,7.84,4948,0
FTMU.US,5,20251028,185500,7.85,7.85,7.85,7.85,345,0
FTMU.US,5,20251028,191500,7.8408,7.8408,7.8408,7.8408,253,0
FTMU.US,5,20251028,192000,7.85,7.85,7.85,7.85,900,0
FTMU.US,5,20251028,192500,7.85,7.85,7.85,7.85,2264,0
FTMU.US,5,20251028,193000,7.8401,7.8401,7.8401,7.8401,3496,0
FTMU.US,5,20251028,202000,7.87,7.87,7.8699,7.8699,2200,0
FTMU.US,5,20251028,205000,7.85,7.85,7.85,7.85,200,0
FTMU.US,5,20251029,143000,7.84,7.845,7.83,7.845,1804,0
FTMU.US,5,20251029,150000,7.84,7.84,7.75,7.75,12800,0
FTMU.US,5,20251029,150500,7.8382,7.8382,7.8382,7.8382,3206,0
FTMU.US,5,20251029,151000,7.85,7.85,7.85,7.85,300,0
FTMU.US,5,20251029,151500,7.85,7.85,7.85,7.85,8171,0
FTMU.US,5,20251029,152000,7.85,7.85,7.85,7.85,100,0
FTMU.US,5,20251029,155500,7.85,7.85,7.85,7.85,3393,0
FTMU.US,5,20251029,160000,7.85,7.85,7.85,7.85,200,0
FTMU.US,5,20251029,161500,7.85,7.85,7.85,7.85,1441,0
FTMU.US,5,20251029,163500,7.855,7.869,7.85,7.85,1075,0
FTMU.US,5,20251029,165000,7.85,7.85,7.85,7.85,7048,0
FTMU.US,5,20251029,165500,7.84,7.85,7.83,7.85,4444,0
FTMU.US,5,20251029,170000,7.85,7.85,7.85,7.85,100,0
FTMU.US,5,20251029,171000,7.84,7.85,7.84,7.85,3897,0
FTMU.US,5,20251029,171500,7.85,7.85,7.8445,7.8445,5848,0
FTMU.US,5,20251029,172000,7.85,7.85,7.85,7.85,671,0
FTMU.US,5,20251029,175500,7.85,7.85,7.85,7.85,400,0
FTMU.US,5,20251029,180000,7.84,7.84,7.84,7.84,1000,0
FTMU.US,5,20251029,180500,7.85,7.85,7.85,7.85,2800,0
FTMU.US,5,20251029,183000,7.85,7.85,7.85,7.85,300,0
FTMU.US,5,20251029,185000,7.845,7.845,7.845,7.845,489,0
FTMU.US,5,20251029,193500,7.84,7.84,7.84,7.84,200,0
FTMU.US,5,20251029,194000,7.84,7.84,7.83,7.83,300,0
FTMU.US,5,20251029,195500,7.83,7.83,7.83,7.83,106861,0
FTMU.US,5,20251029,200500,7.83,7.83,7.82,7.83,2075,0
FTMU.US,5,20251029,203000,7.83,7.83,7.83,7.83,300,0
FTMU.US,5,20251029,203500,7.82,7.82,7.81,7.81,3839,0
FTMU.US,5,20251029,204500,7.8103,7.83,7.8103,7.83,400,0
FTMU.US,5,20251030,144000,7.81,7.815,7.801,7.81,4882,0
FTMU.US,5,20251030,150000,7.8207,7.8207,7.8207,7.8207,2151,0
FTMU.US,5,20251030,151500,7.83,7.83,7.83,7.83,250,0
FTMU.US,5,20251030,153500,7.825,7.83,7.825,7.825,2000,0
FTMU.US,5,20251030,155500,7.82,7.82,7.81,7.81,10909,0
FTMU.US,5,20251030,162500,7.825,7.825,7.82,7.82,4602,0
FTMU.US,5,20251030,164500,7.825,7.825,7.825,7.825,4031,0
FTMU.US,5,20251030,170000,7.82,7.82,7.82,7.82,2200,0
FTMU.US,5,20251030,172000,7.8102,7.83,7.8102,7.83,6841,0
FTMU.US,5,20251030,182000,7.82,7.82,7.82,7.82,100,0
FTMU.US,5,20251030,182500,7.83,7.83,7.83,7.83,400,0
FTMU.US,5,20251030,184000,7.83,7.83,7.83,7.83,400,0
FTMU.US,5,20251030,201500,7.83,7.83,7.83,7.83,2300,0
FTMU.US,5,20251030,202000,7.83,7.83,7.83,7.83,271,0
FTMU.US,5,20251030,205500,7.83,7.83,7.83,7.83,500,0
