<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACGR.US,5,20250829,181000,62.74,62.74,62.74,62.74,600,0
ACGR.US,5,20250829,200000,62.68,62.69,62.6544,62.6544,1600,0
ACGR.US,5,20250829,204500,62.66,62.66,62.6599,62.6599,624,0
ACGR.US,5,20250903,204500,62.42,62.42,62.41,62.41,800,0
ACGR.US,5,20250903,205000,62.41,62.41,62.365,62.365,1000,0
ACGR.US,5,20250904,205000,63.12,63.12,63.12,63.12,100,0
ACGR.US,5,20250905,191500,63.195,63.195,63.195,63.195,115,0
ACGR.US,5,20250910,191000,63.9456,63.9456,63.9456,63.9456,115,0
ACGR.US,5,20250911,210500,64.3128,64.3128,64.3128,64.3128,156,0
ACGR.US,5,20250917,212000,64.65,64.65,64.65,64.65,300,0
ACGR.US,5,20250918,180000,65.01,65.01,65.0099,65.0099,340,0
ACGR.US,5,20250923,205500,65.12,65.12,65.12,65.12,100,0
ACGR.US,5,20250924,174500,64.78,64.78,64.78,64.78,123,0
ACGR.US,5,20250930,160000,64.94,64.94,64.94,64.94,470,0
ACGR.US,5,20251003,165000,65.91,65.9101,65.91,65.9101,394,0
ACGR.US,5,20251009,214000,66.0215,66.0215,66.0215,66.0215,214,0
ACGR.US,5,20251013,191500,65.3548,65.3548,65.3548,65.3548,100,0
ACGR.US,5,20251021,153000,65.53,65.53,65.53,65.53,200,0
ACGR.US,5,20251021,203500,65.84,65.85,65.8244,65.825,2392,0
ACGR.US,5,20251023,183000,65.69,65.69,65.69,65.69,121,0
ACGR.US,5,20251024,203500,66.4,66.4,66.4,66.4,100,0
ACGR.US,5,20251024,204000,66.4,66.4,66.4,66.4,100,0
ACGR.US,5,20251024,204500,66.37,66.37,66.37,66.37,100,0
ACGR.US,5,20251024,205000,66.37,66.37,66.37,66.37,100,0
ACGR.US,5,20251024,205500,66.38,66.38,66.38,66.38,100,0
ACGR.US,5,20251027,145500,66.96,67.04,66.96,67.04,700,0
ACGR.US,5,20251027,174500,67.2034,67.2034,67.2034,67.2034,149,0
ACGR.US,5,20251028,182500,67.7198,67.72,67.7198,67.72,300,0
ACGR.US,5,20251030,155500,67.93,67.94,67.93,67.94,1468,0
ACGR.US,5,20251031,163500,67.66,67.66,67.63,67.63,4776,0
ACGR.US,5,20251031,203000,67.6805,67.6805,67.6805,67.6805,742,0
ACGR.US,5,20251031,205000,67.69,67.69,67.69,67.69,100,0
ACGR.US,5,20251103,155500,67.74,67.74,67.74,67.74,100,0
ACGR.US,5,20251104,161500,67.23,67.23,67.23,67.23,100,0
ACGR.US,5,20251105,164500,66.95,66.95,66.95,66.95,100,0
ACGR.US,5,20251105,165500,66.91,66.91,66.871,66.871,808,0
ACGR.US,5,20251105,170000,66.85,66.85,66.85,66.85,100,0
ACGR.US,5,20251106,183000,65.6525,65.6525,65.6525,65.6525,181,0
ACGR.US,5,20251107,161500,65.01,65.01,65.01,65.01,100,0
ACGR.US,5,20251117,213500,64.65,64.65,64.65,64.65,804,0
ACGR.US,5,20251120,192000,64.1749,64.1749,64.1749,64.1749,118,0
ACGR.US,5,20251121,162000,63.3,63.3,63.2999,63.2999,1184,0
ACGR.US,5,20251124,183500,65,65,65,65,371,0
ACGR.US,5,20251211,155500,66.15,66.15,66.15,66.15,46000,0
ACGR.US,5,20251215,192000,65.25,65.25,65.25,65.25,767,0
ACGR.US,5,20251216,174000,65.08,65.11,65.08,65.1099,624,0
ACGR.US,5,20251216,181000,65.26,65.26,65.26,65.26,100,0
ACGR.US,5,20251218,204000,64.97,64.97,64.97,64.97,100,0
ACGR.US,5,20251218,205000,65.03,65.03,65.03,65.03,100,0
ACGR.US,5,20251218,205500,65.02,65.02,65.02,65.02,100,0
ACGR.US,5,20251219,153500,65.37,65.37,65.3699,65.3699,200,0
ACGR.US,5,20251224,162000,66.69,66.69,66.69,66.69,759,0
ACGR.US,5,20251224,183500,66.826,66.826,66.826,66.826,100,0
ACGR.US,5,20251226,154000,66.95,66.95,66.95,66.95,3229,0
ACGR.US,5,20251230,211000,66.6,66.6,66.6,66.6,100,0
ACGR.US,5,20251231,154500,66.46,66.46,66.46,66.46,2000,0
ACGR.US,5,20260102,161000,66.32,66.32,66.32,66.32,100,0
ACGR.US,5,20260102,184000,65.63,65.63,65.63,65.63,761,0
ACGR.US,5,20260105,205500,65.875,65.875,65.875,65.875,1000,0
ACGR.US,5,20260107,163500,66.74,66.74,66.74,66.74,100,0
ACGR.US,5,20260107,181500,67.1284,67.1284,67.1284,67.1284,148,0
ACGR.US,5,20260108,170000,66.12,66.12,66.12,66.12,100,0
ACGR.US,5,20260108,175000,66.12,66.12,66.12,66.12,2986,0
ACGR.US,5,20260108,212000,65.94,65.94,65.94,65.94,100,0
ACGR.US,5,20260112,202500,66.72,66.72,66.72,66.72,360,0
ACGR.US,5,20260112,205000,66.73,66.73,66.73,66.73,100,0
ACGR.US,5,20260120,162000,64.13,64.13,64.13,64.13,100,0
ACGR.US,5,20260121,181000,63.65,63.65,63.65,63.65,500,0
ACGR.US,5,20260121,190000,63.65,63.65,63.65,63.65,400,0
ACGR.US,5,20260121,202500,63.94,63.94,63.94,63.94,100,0
ACGR.US,5,20260121,203000,64.1,64.1,64.1,64.1,100,0
ACGR.US,5,20260121,211500,64.45,64.45,64.45,64.45,104,0
ACGR.US,5,20260122,162500,64.55,64.55,64.55,64.55,100,0
ACGR.US,5,20260122,185500,64.74,64.74,64.74,64.74,400,0
ACGR.US,5,20260123,162000,64.94,64.94,64.94,64.94,100,0
ACGR.US,5,20260123,170000,65.3299,65.3299,65.3299,65.3299,100,0
