<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVSP.US,D,20241218,000000,24.8501,24.8501,23.5131,23.5131,650,0
DVSP.US,D,20241219,000000,23.68,23.71,23.4004,23.4004,1351,0
DVSP.US,D,20241220,000000,23.99,23.99,23.735,23.7697,762,0
DVSP.US,D,20241223,000000,23.86,24.065,23.86,24.0503,201,0
DVSP.US,D,20241224,000000,24.2402,24.4141,24.2402,24.4141,792,0
DVSP.US,D,20241226,000000,24.43,24.44,24.43,24.44,189,0
DVSP.US,D,20241227,000000,24.01,24.09,24.01,24.0266,263,0
DVSP.US,D,20241230,000000,23.51,23.6906,23.51,23.6906,138,0
DVSP.US,D,20241231,000000,23.54,23.54,23.5155,23.5155,514,0
DVSP.US,D,20250102,000000,23.561,23.561,23.3699,23.4383,732,0
DVSP.US,D,20250103,000000,23.645,23.88,23.645,23.8464,474,0
DVSP.US,D,20250106,000000,24.12,24.26,23.9985,23.9985,938,0
DVSP.US,D,20250107,000000,24.0784,24.0784,23.6634,23.6634,363,0
DVSP.US,D,20250108,000000,23.57,23.74,23.5,23.7025,592,0
DVSP.US,D,20250110,000000,23.34,23.34,23.1719,23.2624,811,0
DVSP.US,D,20250113,000000,23.08,23.3,23.08,23.2929,326,0
DVSP.US,D,20250114,000000,23.38,23.42,23.15,23.2974,620,0
DVSP.US,D,20250115,000000,23.7,23.91,23.67,23.8426,1165,0
DVSP.US,D,20250116,000000,23.875,23.875,23.7903,23.7903,221,0
DVSP.US,D,20250117,000000,23.96,24.1281,23.96,24.0567,799,0
DVSP.US,D,20250121,000000,24.15,24.3199,24.15,24.2881,929,0
DVSP.US,D,20250122,000000,24.38,24.52,24.38,24.4535,421,0
DVSP.US,D,20250123,000000,24.442,24.62,24.4,24.6179,6832,0
DVSP.US,D,20250124,000000,24.85,24.85,24.47,24.5381,1360,0
DVSP.US,D,20250127,000000,23.9,24.05,23.9,24.0252,561,0
DVSP.US,D,20250128,000000,23.97,24.34,23.97,24.3048,1305,0
DVSP.US,D,20250129,000000,24.22,24.24,24.1708,24.1708,642,0
DVSP.US,D,20250130,000000,24.25,24.39,24.25,24.342,4633,0
DVSP.US,D,20250131,000000,24.58,24.58,24.14,24.1842,5544,0
DVSP.US,D,20250203,000000,23.55,23.96,23.55,23.936,4348,0
DVSP.US,D,20250204,000000,24.15,24.1865,24.15,24.1865,3485,0
DVSP.US,D,20250205,000000,24.28,24.3034,24.26,24.3034,4018,0
DVSP.US,D,20250206,000000,24.41,24.4447,24.34,24.4253,8132,0
DVSP.US,D,20250207,000000,24.35,24.35,24.1007,24.1007,122,0
DVSP.US,D,20250210,000000,24.2912,24.35,24.2912,24.3253,4519,0
DVSP.US,D,20250211,000000,24.27,24.3396,24.22,24.3396,9931,0
DVSP.US,D,20250212,000000,24.16,24.27,24.16,24.2201,403,0
DVSP.US,D,20250213,000000,24.47,24.6612,24.47,24.6612,587,0
DVSP.US,D,20250214,000000,24.69,24.72,24.68,24.6963,1378,0
DVSP.US,D,20250218,000000,24.7,24.7017,24.7,24.7017,113,0
DVSP.US,D,20250219,000000,24.82,24.8304,24.82,24.8304,228,0
