<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTGL.US,D,20250715,000000,9.005,9.005,9.005,9.005,1,0
OTGL.US,D,20250716,000000,9.17,9.17,9.035,9.035,1144,0
OTGL.US,D,20250718,000000,9.32,9.73,9.1971,9.1971,255,0
OTGL.US,D,20250721,000000,9.41,9.41,9.015,9.015,493,0
OTGL.US,D,20250730,000000,9,9,8.9731,8.9731,1700,0
OTGL.US,D,20250808,000000,9.29,9.29,9.2501,9.2501,509,0
OTGL.US,D,20250822,000000,9.33,9.33,9.3113,9.3113,26002,0
OTGL.US,D,20250826,000000,9.29,9.29,9.24,9.2447,13816,0
OTGL.US,D,20250828,000000,9.47,9.48,9.4202,9.4202,4951,0
OTGL.US,D,20250829,000000,9.45,9.45,9.3897,9.3897,135,0
OTGL.US,D,20250902,000000,9.24,9.3375,9.24,9.3375,8698,0
OTGL.US,D,20250905,000000,9.53,9.53,9.5052,9.5052,15934,0
OTGL.US,D,20250908,000000,9.43,9.43,9.3987,9.3987,524,0
OTGL.US,D,20250909,000000,9.41,9.47,9.41,9.4224,6000,0
OTGL.US,D,20250910,000000,9.44,9.44,9.4123,9.4123,729,0
OTGL.US,D,20250911,000000,9.5109,9.525,9.5109,9.525,420,0
OTGL.US,D,20250918,000000,9.76,9.76,9.57,9.57,354,0
OTGL.US,D,20250922,000000,9.42,9.5655,9.42,9.5655,128,0
OTGL.US,D,20250923,000000,9.6,9.7883,9.6,9.6472,579,0
OTGL.US,D,20250924,000000,9.66,9.66,9.645,9.645,2203,0
OTGL.US,D,20250925,000000,9.48,9.5,9.4699,9.4699,7162,0
OTGL.US,D,20250929,000000,9.52,9.52,9.5153,9.5153,210,0
OTGL.US,D,20250930,000000,9.49,9.49,9.4852,9.4852,2003,0
OTGL.US,D,20251002,000000,9.42,9.42,9.33,9.358,52601,0
OTGL.US,D,20251003,000000,9.44,9.4498,9.4,9.4,510,0
OTGL.US,D,20251006,000000,9.45,9.45,9.3677,9.3677,132,0
OTGL.US,D,20251007,000000,9.37,9.37,9.2419,9.2419,13975,0
OTGL.US,D,20251008,000000,9.3028,9.38,9.3028,9.3472,1951,0
OTGL.US,D,20251009,000000,9.3499,9.3499,9.2829,9.2829,1006,0
OTGL.US,D,20251010,000000,9.28,9.28,9.1,9.1,22718,0
OTGL.US,D,20251014,000000,9.22,9.37,9.21,9.2486,10815,0
OTGL.US,D,20251015,000000,9.39,9.44,9.3535,9.3535,2311,0
OTGL.US,D,20251016,000000,9.37,9.38,9.37,9.38,113,0
OTGL.US,D,20251017,000000,9.34,9.44,9.34,9.375,7602,0
OTGL.US,D,20251020,000000,9.45,9.47,9.43,9.44,7725,0
OTGL.US,D,20251023,000000,9.39,9.5,9.39,9.5,1072,0
