<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DADS.US,D,20250805,000000,19.91,20,19.9069,19.95,36396,0
DADS.US,D,20250806,000000,19.86,20,19.86,19.9426,19919,0
DADS.US,D,20250807,000000,19.975,20,19.88,19.9841,13147,0
DADS.US,D,20250808,000000,19.96,19.99,19.86,19.91,10388,0
DADS.US,D,20250811,000000,20.05,20.07,19.99,19.99,19313,0
DADS.US,D,20250812,000000,20.02,20.065,20.02,20.065,28070,0
DADS.US,D,20250813,000000,20.1,20.1274,20.0544,20.1274,12909,0
DADS.US,D,20250814,000000,20.15,20.24,20.06,20.24,13362,0
DADS.US,D,20250815,000000,20.16,20.21,20.16,20.2,4447,0
DADS.US,D,20250818,000000,20.2,20.37,20.2,20.31,14833,0
DADS.US,D,20250819,000000,20.2,20.2,20.02,20.05,14741,0
DADS.US,D,20250820,000000,19.95,20.0522,19.95,20.0522,3005,0
DADS.US,D,20250821,000000,19.96,19.96,19.9,19.92,8214,0
DADS.US,D,20250822,000000,20.25,20.25,20.21,20.21,9148,0
DADS.US,D,20250825,000000,20.07,20.07,20.0346,20.0346,5537,0
DADS.US,D,20250826,000000,20.03,20.095,20.03,20.095,3374,0
DADS.US,D,20250827,000000,20.14,20.14,20.125,20.125,3070,0
DADS.US,D,20250828,000000,20.2016,20.24,20.2016,20.21,10686,0
DADS.US,D,20250829,000000,20.02,20.13,20.02,20.105,5875,0
DADS.US,D,20250902,000000,20.01,20.15,20.01,20.13,4505,0
DADS.US,D,20250903,000000,20.08,20.09,20.0384,20.05,3514,0
DADS.US,D,20250904,000000,19.925,19.973,19.925,19.96,1998,0
DADS.US,D,20250905,000000,20,20.035,19.9728,20.035,4370,0
DADS.US,D,20250908,000000,20.05,20.18,20.05,20.1592,14615,0
DADS.US,D,20250909,000000,20.16,20.3096,20.09,20.2943,10796,0
DADS.US,D,20250910,000000,20.5827,20.6397,20.54,20.54,5051,0
DADS.US,D,20250911,000000,20.64,20.65,20.6247,20.6247,1906,0
DADS.US,D,20250912,000000,20.631,20.755,20.6301,20.755,1058,0
DADS.US,D,20250915,000000,20.76,20.785,20.76,20.785,2283,0
DADS.US,D,20250916,000000,20.93,20.955,20.9052,20.955,3426,0
DADS.US,D,20250917,000000,20.942,21.0094,20.942,21.0094,2626,0
DADS.US,D,20250918,000000,21.23,21.26,21.18,21.22,3813,0
DADS.US,D,20250919,000000,21.21,21.2699,21.11,21.2343,4959,0
DADS.US,D,20250922,000000,21.17,21.34,21.17,21.32,918,0
DADS.US,D,20250923,000000,21.45,21.45,21.295,21.295,7724,0
DADS.US,D,20250924,000000,21.48,21.48,21.375,21.375,403,0
DADS.US,D,20250925,000000,21.1416,21.1416,21.035,21.035,3488,0
DADS.US,D,20250926,000000,21,21,20.99,20.99,3071,0
DADS.US,D,20250929,000000,21.1,21.275,21.1,21.275,1638,0
DADS.US,D,20250930,000000,21.27,21.27,21.22,21.25,5978,0
DADS.US,D,20251001,000000,21.3301,21.415,21.3301,21.415,278,0
DADS.US,D,20251002,000000,21.621,21.78,21.621,21.7,5423,0
DADS.US,D,20251003,000000,21.85,21.85,21.755,21.755,1216,0
DADS.US,D,20251006,000000,21.9434,22.04,21.9434,22.04,349,0
DADS.US,D,20251007,000000,21.873,21.915,21.873,21.915,451,0
DADS.US,D,20251008,000000,21.99,22.15,21.99,22.085,2839,0
DADS.US,D,20251009,000000,22.19,22.19,21.96,22.18,3396,0
DADS.US,D,20251010,000000,22.0792,22.0792,21.8441,21.8441,1410,0
DADS.US,D,20251013,000000,22.07,22.13,22.07,22.13,2600,0
DADS.US,D,20251014,000000,22.0483,22.2914,22.0483,22.2914,211,0
DADS.US,D,20251015,000000,22.33,22.4734,22.33,22.4734,1908,0
DADS.US,D,20251016,000000,22.1928,22.1928,21.9305,21.9305,2618,0
DADS.US,D,20251017,000000,21.8595,21.8595,21.8126,21.8126,393,0
DADS.US,D,20251020,000000,22.17,22.32,22.15,22.15,4782,0
DADS.US,D,20251021,000000,21.965,22.28,21.91,21.9431,5620,0
DADS.US,D,20251022,000000,21.289,21.405,21.15,21.405,8861,0
DADS.US,D,20251024,000000,21.94,21.96,21.89,21.96,9940,0
DADS.US,D,20251027,000000,22.26,22.26,22.2452,22.2452,1455,0
DADS.US,D,20251028,000000,22.5048,22.5048,22.2701,22.2701,356,0
DADS.US,D,20251029,000000,22.21,22.21,21.99,22.055,1419,0
DADS.US,D,20251030,000000,21.91,21.91,21.725,21.725,3094,0
DADS.US,D,20251031,000000,21.74,21.8884,21.74,21.8884,686,0
DADS.US,D,20251103,000000,21.869,21.93,21.86,21.93,847,0
DADS.US,D,20251104,000000,21.441,21.48,21.34,21.34,1485,0
DADS.US,D,20251105,000000,21.44,21.4627,21.3819,21.4627,7414,0
DADS.US,D,20251106,000000,21.4,21.4,21.061,21.061,789,0
DADS.US,D,20251107,000000,20.84,21.09,20.84,21.09,3868,0
DADS.US,D,20251110,000000,21.16,21.16,21.06,21.06,673,0
DADS.US,D,20251111,000000,20.666,20.666,20.59,20.59,9187,0
DADS.US,D,20251112,000000,20.617,20.617,20.3665,20.415,679,0
DADS.US,D,20251114,000000,19.74,19.74,19.525,19.525,549,0
DADS.US,D,20251117,000000,19.3361,19.3361,19.26,19.33,3535,0
DADS.US,D,20251118,000000,19.45,19.55,19.45,19.4815,12637,0
DADS.US,D,20251119,000000,19.47,19.47,19.31,19.31,1064,0
DADS.US,D,20251120,000000,19.56,19.56,19.077,19.077,176,0
DADS.US,D,20251121,000000,19.04,19.04,18.9715,19,1513,0
DADS.US,D,20251124,000000,19.34,19.385,19.34,19.385,1392,0
DADS.US,D,20251126,000000,19.8,19.86,19.8,19.86,3983,0
DADS.US,D,20251128,000000,20.14,20.14,20.0885,20.0885,1008,0
DADS.US,D,20251201,000000,19.9085,19.9085,19.872,19.872,304,0
DADS.US,D,20251202,000000,19.92,19.99,19.87,19.87,1549,0
DADS.US,D,20251203,000000,19.997,19.997,19.96,19.965,919,0
DADS.US,D,20251205,000000,19.88,19.96,19.88,19.9,1744,0
DADS.US,D,20251208,000000,19.98,20.01,19.98,19.9855,681,0
DADS.US,D,20251209,000000,20.31,20.31,20.22,20.22,828,0
DADS.US,D,20251210,000000,20.2,20.319,20.1922,20.1922,1105,0
DADS.US,D,20251212,000000,20.02,20.02,19.8641,19.8641,1100,0
DADS.US,D,20251215,000000,19.39,19.39,19.355,19.355,396,0
DADS.US,D,20251216,000000,19.3348,19.3577,19.3348,19.3577,138,0
DADS.US,D,20251217,000000,19.4299,19.4299,19.105,19.105,421,0
DADS.US,D,20251218,000000,19.2436,19.2436,19.175,19.175,568,0
DADS.US,D,20251219,000000,19.39,19.4706,19.39,19.4706,1359,0
DADS.US,D,20251222,000000,19.5995,19.5995,19.5352,19.5352,286,0
DADS.US,D,20251223,000000,19.48,19.48,19.47,19.47,923,0
DADS.US,D,20251224,000000,19.47,19.47,19.45,19.45,642,0
DADS.US,D,20251226,000000,19.4,19.4,19.345,19.345,1753,0
DADS.US,D,20251229,000000,19.15,19.15,19.11,19.11,2204,0
DADS.US,D,20251230,000000,19.1,19.14,19,19,1257,0
DADS.US,D,20251231,000000,18.935,18.94,18.935,18.94,246,0
DADS.US,D,20260102,000000,19.33,19.33,19.325,19.325,364,0
DADS.US,D,20260105,000000,19.74,19.74,19.705,19.705,378,0
DADS.US,D,20260106,000000,19.68,19.6914,19.68,19.6914,1507,0
DADS.US,D,20260107,000000,19.68,19.68,19.6,19.6,669,0
DADS.US,D,20260108,000000,19.51,19.6363,19.51,19.6363,682,0
DADS.US,D,20260112,000000,19.84,19.84,19.79,19.84,4360,0
DADS.US,D,20260113,000000,19.9898,20.045,19.94,20.045,1174,0
DADS.US,D,20260114,000000,20.2268,20.2578,20.22,20.2578,479,0
DADS.US,D,20260115,000000,20.3599,20.39,20.25,20.275,2081,0
DADS.US,D,20260116,000000,20.54,20.54,20.5,20.507,1667,0
DADS.US,D,20260120,000000,20.21,20.24,20.1248,20.1248,1536,0
DADS.US,D,20260122,000000,20.13,20.1301,20.125,20.125,328,0
DADS.US,D,20260123,000000,20.235,20.4,20.235,20.315,4116,0
