<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGLO.US,D,20250807,000000,20.12,20.12,19.8425,19.8425,5457,0
DGLO.US,D,20250808,000000,20.01,20.01,19.885,19.885,2004,0
DGLO.US,D,20250811,000000,19.81,19.8165,19.79,19.8165,200,0
DGLO.US,D,20250812,000000,20.27,20.2961,20.27,20.2961,212,0
DGLO.US,D,20250813,000000,20.3895,20.59,20.35,20.59,1427,0
DGLO.US,D,20250814,000000,20.68,20.68,20.31,20.3592,2600,0
DGLO.US,D,20250815,000000,20.17,20.17,20.1683,20.1683,356,0
DGLO.US,D,20250818,000000,20.16,20.2149,20.16,20.2149,577,0
DGLO.US,D,20250819,000000,20.69,20.69,20.288,20.288,435,0
DGLO.US,D,20250820,000000,21.1,21.1,20.1527,20.1527,867,0
DGLO.US,D,20250821,000000,20.14,20.1847,20.14,20.1847,1004,0
DGLO.US,D,20250911,000000,20.55,20.6531,20.55,20.6531,500,0
DGLO.US,D,20250916,000000,20.54,20.54,20.4739,20.4739,7711,0
DGLO.US,D,20250918,000000,20.41,20.5593,20.41,20.5593,1959,0
DGLO.US,D,20250923,000000,20.54,20.54,20.42,20.4487,2923,0
DGLO.US,D,20250924,000000,20.54,20.54,20.3201,20.3201,251,0
DGLO.US,D,20250929,000000,20.5035,20.5035,20.495,20.495,112,0
DGLO.US,D,20250930,000000,20.41,20.5663,20.41,20.5663,311,0
DGLO.US,D,20251001,000000,20.48,20.5654,20.48,20.5654,507,0
DGLO.US,D,20251002,000000,20.46,20.555,20.46,20.555,508,0
DGLO.US,D,20251009,000000,20.575,20.575,20.4298,20.4298,300,0
DGLO.US,D,20251015,000000,20.47,20.47,20.2011,20.2011,107,0
DGLO.US,D,20251016,000000,20.22,20.22,20.0929,20.0929,101,0
DGLO.US,D,20251017,000000,20.0476,20.0927,20.022,20.0927,413,0
DGLO.US,D,20251022,000000,20.436,20.436,20.2942,20.2942,1682,0
DGLO.US,D,20251023,000000,20.45,20.62,20.45,20.62,288,0
DGLO.US,D,20251024,000000,20.76,20.76,20.6619,20.6619,1068,0
DGLO.US,D,20251027,000000,20.73,20.73,20.6513,20.6513,202,0
DGLO.US,D,20251029,000000,20.53,20.53,20.26,20.3323,212,0
DGLO.US,D,20251030,000000,20.4,20.4,20.1404,20.1404,400,0
DGLO.US,D,20251031,000000,20.27,20.2754,20.27,20.2708,1007,0
DGLO.US,D,20251103,000000,20.14,20.24,20.1,20.2305,5812,0
DGLO.US,D,20251104,000000,20.1,20.105,20.1,20.105,183,0
DGLO.US,D,20251105,000000,20.05,20.0604,20.05,20.0604,205,0
DGLO.US,D,20251106,000000,20.06,20.06,19.95,19.955,1323,0
DGLO.US,D,20251112,000000,20.3,20.32,20.1508,20.1508,1251,0
DGLO.US,D,20251113,000000,20.14,20.14,19.88,19.88,201,0
DGLO.US,D,20251114,000000,19.88,19.93,19.86,19.9029,2984,0
DGLO.US,D,20251117,000000,19.79,19.85,19.5152,19.5152,7760,0
DGLO.US,D,20251124,000000,19.81,19.82,19.7854,19.7854,2585,0
DGLO.US,D,20251125,000000,20.14,20.14,20.0845,20.0845,393,0
DGLO.US,D,20251201,000000,20.38,20.38,20.205,20.205,353,0
DGLO.US,D,20251202,000000,20.2,20.2099,20.2,20.2099,494,0
DGLO.US,D,20251205,000000,20.558,20.5581,20.558,20.5581,203,0
DGLO.US,D,20251222,000000,20.71,20.71,20.6938,20.6938,206,0
DGLO.US,D,20251226,000000,20.66,20.6788,20.66,20.6788,502,0
DGLO.US,D,20251229,000000,20.75,20.75,20.6396,20.6396,402,0
DGLO.US,D,20251231,000000,20.57,20.57,20.3653,20.3653,608,0
DGLO.US,D,20260107,000000,21.14,21.14,20.9324,20.9324,2808,0
DGLO.US,D,20260112,000000,21.68,21.6961,21.68,21.6961,228,0
DGLO.US,D,20260113,000000,21.8299,21.8299,21.7599,21.7658,2707,0
DGLO.US,D,20260114,000000,21.8999,21.9,21.81,21.8906,6550,0
DGLO.US,D,20260122,000000,22.1599,22.18,22.1165,22.1165,1296,0
DGLO.US,D,20260123,000000,22.12,22.12,21.9984,22.0083,613,0
