<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYMI.US,D,20241018,000000,24.94,24.94,24.94,24.94,10,0
MYMI.US,D,20241021,000000,24.84,24.84,24.84,24.84,10,0
MYMI.US,D,20241022,000000,24.78,24.78,24.78,24.78,10,0
MYMI.US,D,20241023,000000,24.62,24.62,24.62,24.62,10,0
MYMI.US,D,20241024,000000,24.69,24.69,24.69,24.69,10,0
MYMI.US,D,20241025,000000,24.695,24.695,24.695,24.695,10,0
MYMI.US,D,20241028,000000,24.73,24.73,24.73,24.73,10,0
MYMI.US,D,20241029,000000,24.7099,24.7099,24.6756,24.6756,631,0
MYMI.US,D,20241030,000000,24.715,24.715,24.715,24.715,10,0
MYMI.US,D,20241031,000000,24.69,24.69,24.69,24.69,10,0
MYMI.US,D,20241104,000000,24.7,24.7,24.7,24.7,40,0
MYMI.US,D,20241105,000000,24.6945,24.6945,24.6945,24.6945,3,0
MYMI.US,D,20241106,000000,24.45,24.45,24.45,24.45,10,0
MYMI.US,D,20241107,000000,24.56,24.56,24.55,24.55,4215,0
MYMI.US,D,20241108,000000,24.75,24.75,24.75,24.75,3,0
MYMI.US,D,20241115,000000,24.7193,24.8,24.71,24.765,16580,0
MYMI.US,D,20241120,000000,24.81,24.88,24.81,24.815,2725,0
MYMI.US,D,20241121,000000,24.79,24.81,24.79,24.795,3581,0
MYMI.US,D,20241125,000000,24.91,24.91,24.88,24.8953,1981,0
MYMI.US,D,20241127,000000,25.0086,25.0086,24.9709,24.9709,400,0
MYMI.US,D,20241209,000000,24.98,24.98,24.97,24.97,1100,0
MYMI.US,D,20241211,000000,24.97,24.98,24.915,24.915,2936,0
MYMI.US,D,20241217,000000,24.81,24.82,24.785,24.785,4100,0
MYMI.US,D,20241220,000000,24.57,24.57,24.52,24.56,17963,0
MYMI.US,D,20241223,000000,24.55,24.56,24.51,24.53,1807,0
MYMI.US,D,20241226,000000,24.55,24.55,24.55,24.55,885,0
MYMI.US,D,20241227,000000,24.5492,24.63,24.54,24.55,4521,0
MYMI.US,D,20241231,000000,24.63,24.63,24.605,24.605,125,0
MYMI.US,D,20250102,000000,24.655,24.6599,24.645,24.645,300,0
MYMI.US,D,20250107,000000,24.5905,24.62,24.5905,24.615,2951,0
MYMI.US,D,20250108,000000,24.54,24.54,24.535,24.535,100,0
MYMI.US,D,20250110,000000,24.49,24.49,24.455,24.455,10247,0
MYMI.US,D,20250113,000000,24.42,24.42,24.41,24.41,212960,0
MYMI.US,D,20250114,000000,24.37,24.4,24.37,24.4,5386,0
MYMI.US,D,20250115,000000,24.51,24.51,24.5,24.5,181,0
MYMI.US,D,20250116,000000,24.48,24.48,24.465,24.465,100,0
MYMI.US,D,20250117,000000,24.55,24.56,24.53,24.54,4844,0
MYMI.US,D,20250121,000000,24.67,24.67,24.565,24.565,645,0
MYMI.US,D,20250122,000000,24.58,24.58,24.57,24.575,1500,0
MYMI.US,D,20250123,000000,24.5316,24.55,24.5316,24.55,298,0
MYMI.US,D,20250124,000000,24.565,24.565,24.565,24.565,400,0
