<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQDN.US,D,20250612,000000,40.0936,40.32,40.04,40.0936,674,0
QQDN.US,D,20250613,000000,40.979,41.14,40.76,41.1201,497,0
QQDN.US,D,20250616,000000,39.78,39.9474,39.78,39.9474,3450,0
QQDN.US,D,20250617,000000,40.13,40.58,40.13,40.5386,1192,0
QQDN.US,D,20250624,000000,38.9825,39.0536,38.9825,39.0536,230,0
QQDN.US,D,20250625,000000,38.4868,38.4868,38.4484,38.4484,338,0
QQDN.US,D,20250626,000000,38.06,38.06,37.39,37.5129,2609,0
QQDN.US,D,20250627,000000,36.58,37.5,36.58,36.9343,652,0
QQDN.US,D,20250630,000000,36.26,37.12,36.26,36.6174,1112,0
QQDN.US,D,20250701,000000,37.1801,38.04,36.9539,37.7813,1309,0
QQDN.US,D,20250702,000000,37.42,37.42,36.7424,36.7988,1331,0
QQDN.US,D,20250703,000000,36.2501,36.2501,35.945,36.0146,1785,0
QQDN.US,D,20250707,000000,36.52,36.7884,36.51,36.7884,2998,0
QQDN.US,D,20250708,000000,36.88,36.9231,36.88,36.9231,364,0
QQDN.US,D,20250709,000000,35.75,36.0925,35.75,35.9363,464,0
QQDN.US,D,20250710,000000,35.69,35.7329,35.69,35.7329,578,0
QQDN.US,D,20250711,000000,36.3,36.3,35.5444,35.5444,1033,0
QQDN.US,D,20250715,000000,34.72,34.8559,34.52,34.8559,1593,0
QQDN.US,D,20250716,000000,34.87,34.87,34.8128,34.8128,160,0
QQDN.US,D,20250717,000000,34.3396,34.3725,34.19,34.3725,1098,0
QQDN.US,D,20250718,000000,34.065,34.2184,34.065,34.2184,1597,0
QQDN.US,D,20250721,000000,33.85,33.85,33.57,33.8114,2071,0
QQDN.US,D,20250722,000000,34.07,34.86,34.07,34.3835,1776,0
QQDN.US,D,20250723,000000,34.29,34.3082,34.0001,34.0001,855,0
QQDN.US,D,20250724,000000,33.77,33.77,33.5767,33.5767,216,0
QQDN.US,D,20250725,000000,33.22,33.4285,33.2199,33.4285,284,0
QQDN.US,D,20250728,000000,33.15,33.15,32.9504,32.9504,745,0
QQDN.US,D,20250729,000000,32.8,33.2372,32.8,33.2372,1438,0
QQDN.US,D,20250730,000000,33.08,33.08,32.86,32.9813,1709,0
QQDN.US,D,20250731,000000,31.566,32.4844,31.53,32.4844,3853,0
QQDN.US,D,20250801,000000,33.54,34.4338,33.54,34.3294,2869,0
QQDN.US,D,20250804,000000,32.99,32.99,32.91,32.918,829,0
QQDN.US,D,20250805,000000,33.02,33.425,33.02,33.425,934,0
QQDN.US,D,20250808,000000,31.16,31.17,30.9059,30.9537,2916,0
QQDN.US,D,20250811,000000,30.78,31.1409,30.5799,31.1409,1062,0
QQDN.US,D,20250812,000000,30.6,30.94,30.3041,30.3041,719,0
QQDN.US,D,20250813,000000,30.0506,30.85,30.02,30.5315,2142,0
QQDN.US,D,20250814,000000,30.43,30.48,30.2,30.2303,1216,0
QQDN.US,D,20250818,000000,30.8595,30.99,30.6594,30.6594,936,0
QQDN.US,D,20250819,000000,31.34,31.95,31.34,31.8751,6582,0
QQDN.US,D,20250820,000000,32.44,33.32,32.44,32.5591,2563,0
QQDN.US,D,20250821,000000,32.85,32.935,32.6,32.879,1491,0
QQDN.US,D,20250822,000000,32.5,32.5,31.5731,31.5731,1592,0
QQDN.US,D,20250825,000000,31.6052,31.6052,31.04,31.3739,1071,0
QQDN.US,D,20250826,000000,31.5552,31.5552,31.1273,31.1273,223,0
QQDN.US,D,20250827,000000,31,31,30.9439,30.9439,349,0
