<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFLO.US,D,20250626,000000,25.4128,25.42,25.37,25.4128,410687,0
IFLO.US,D,20250630,000000,25.63,25.6936,25.63,25.6936,120,0
IFLO.US,D,20250703,000000,25.949,25.949,25.9275,25.9275,522,0
IFLO.US,D,20250710,000000,25.8184,25.9261,25.8184,25.9261,413,0
IFLO.US,D,20250715,000000,25.42,25.4382,25.42,25.4382,387009,0
IFLO.US,D,20250722,000000,25.8,25.8427,25.8,25.8427,390156,0
IFLO.US,D,20250724,000000,26.58,26.58,26.5033,26.5033,380003,0
IFLO.US,D,20250725,000000,26.43,26.43,26.3824,26.3824,109,0
IFLO.US,D,20250730,000000,26.0286,26.0286,25.8959,25.8959,122,0
IFLO.US,D,20250731,000000,25.7999,25.7999,25.7008,25.7008,391,0
IFLO.US,D,20250806,000000,26.24,26.24,26.23,26.23,240002,0
IFLO.US,D,20250807,000000,26.4016,26.4452,26.4016,26.4452,213395,0
IFLO.US,D,20250813,000000,26.82,26.88,26.82,26.88,215003,0
IFLO.US,D,20250815,000000,26.97,26.99,26.97,26.99,205703,0
IFLO.US,D,20250818,000000,27,27,26.9785,26.9785,202498,0
IFLO.US,D,20250819,000000,27.15,27.15,27.0873,27.0873,404,0
IFLO.US,D,20250822,000000,27.41,27.52,27.41,27.5013,112201,0
IFLO.US,D,20250825,000000,27.244,27.244,27.1939,27.1939,366,0
IFLO.US,D,20250827,000000,27.16,27.2,27.16,27.1694,508,0
IFLO.US,D,20250902,000000,27.08,27.12,26.964,27.0803,182140,0
IFLO.US,D,20250903,000000,27.1084,27.1084,27.105,27.105,1400,0
IFLO.US,D,20250905,000000,27.46,27.46,27.28,27.3528,110627,0
IFLO.US,D,20250908,000000,27.52,27.665,27.52,27.665,235,0
IFLO.US,D,20250910,000000,27.58,27.585,27.58,27.585,108785,0
IFLO.US,D,20250911,000000,27.83,27.85,27.8244,27.8244,109192,0
IFLO.US,D,20250915,000000,27.8261,27.8308,27.8261,27.8308,1623,0
IFLO.US,D,20250916,000000,27.938,27.965,27.938,27.965,100,0
IFLO.US,D,20250917,000000,27.89,27.89,27.7884,27.7884,102,0
IFLO.US,D,20250918,000000,27.89,27.89,27.8744,27.8744,118,0
IFLO.US,D,20250919,000000,27.7,27.75,27.66,27.695,3124,0
IFLO.US,D,20250923,000000,27.92,27.92,27.79,27.79,90438,0
IFLO.US,D,20250924,000000,27.72,27.72,27.6824,27.6824,738,0
IFLO.US,D,20250925,000000,27.48,27.53,27.469,27.469,91397,0
IFLO.US,D,20250930,000000,27.53,27.5831,27.53,27.5831,211,0
IFLO.US,D,20251001,000000,27.72,27.72,27.7,27.7093,91040,0
IFLO.US,D,20251002,000000,27.6199,27.6451,27.6199,27.6451,208,0
IFLO.US,D,20251003,000000,27.8623,27.8623,27.8523,27.8523,288,0
IFLO.US,D,20251006,000000,27.91,27.91,27.9,27.905,597,0
IFLO.US,D,20251007,000000,27.72,27.72,27.6775,27.6775,209,0
IFLO.US,D,20251008,000000,27.65,27.65,27.5901,27.5901,496,0
IFLO.US,D,20251010,000000,26.9,26.9,26.6785,26.6785,715,0
IFLO.US,D,20251013,000000,26.86,26.94,26.8496,26.94,332,0
IFLO.US,D,20251014,000000,26.91,27.02,26.91,27.02,979,0
IFLO.US,D,20251015,000000,27.19,27.19,27.1873,27.1873,408,0
IFLO.US,D,20251016,000000,27.27,27.37,27.27,27.2994,1230,0
IFLO.US,D,20251017,000000,27.3384,27.3384,27.32,27.3289,4732,0
IFLO.US,D,20251020,000000,27.45,27.45,27.44,27.44,178,0
IFLO.US,D,20251021,000000,27.2,27.232,27.2,27.232,216,0
IFLO.US,D,20251022,000000,27.3498,27.36,27.3325,27.3523,542,0
IFLO.US,D,20251023,000000,27.52,27.585,27.52,27.585,398,0
IFLO.US,D,20251024,000000,27.63,27.63,27.59,27.595,985,0
IFLO.US,D,20251027,000000,27.6701,27.71,27.6701,27.68,880,0
IFLO.US,D,20251028,000000,27.52,27.645,27.52,27.585,5807,0
IFLO.US,D,20251029,000000,27.49,27.49,27.385,27.385,625,0
IFLO.US,D,20251030,000000,27.32,27.45,27.32,27.3812,214,0
IFLO.US,D,20251031,000000,27.32,27.32,27.27,27.295,686,0
IFLO.US,D,20251103,000000,27.29,27.3257,27.27,27.3257,857,0
IFLO.US,D,20251104,000000,27.04,27.12,27.04,27.065,1149,0
IFLO.US,D,20251105,000000,27.31,27.37,27.31,27.365,1641,0
IFLO.US,D,20251106,000000,27.22,27.245,27.22,27.245,166,0
IFLO.US,D,20251107,000000,27.09,27.3432,27.09,27.3432,4463,0
IFLO.US,D,20251110,000000,27.49,27.665,27.49,27.665,519,0
IFLO.US,D,20251111,000000,27.9,27.9,27.8776,27.8776,219,0
IFLO.US,D,20251112,000000,28.07,28.0704,28.07,28.0704,403,0
IFLO.US,D,20251113,000000,28.16,28.16,27.97,27.975,721,0
IFLO.US,D,20251117,000000,27.9,27.9,27.56,27.6268,554,0
IFLO.US,D,20251118,000000,27.28,27.4256,27.28,27.4256,255,0
IFLO.US,D,20251119,000000,27.39,27.43,27.2875,27.2875,1047,0
IFLO.US,D,20251120,000000,27.39,27.39,26.8668,26.8668,2401,0
IFLO.US,D,20251121,000000,27.3,27.38,27.29,27.3293,77364,0
IFLO.US,D,20251124,000000,27.34,27.4344,27.34,27.4344,1935,0
IFLO.US,D,20251201,000000,28.15,28.15,28.0257,28.0257,362,0
IFLO.US,D,20251203,000000,27.955,28.11,27.955,28.1057,90444,0
IFLO.US,D,20251204,000000,28.25,28.25,28.2062,28.2062,280,0
IFLO.US,D,20251209,000000,28.09,28.09,28.0787,28.0787,193,0
IFLO.US,D,20251210,000000,28.1181,28.3418,28.1181,28.3418,321,0
IFLO.US,D,20251211,000000,28.35,28.59,28.35,28.4982,3039,0
IFLO.US,D,20251212,000000,28.54,28.54,28.3661,28.3661,1365,0
IFLO.US,D,20251215,000000,28.72,28.72,28.535,28.535,504,0
IFLO.US,D,20251216,000000,28.51,28.51,28.3285,28.3285,1313,0
IFLO.US,D,20251217,000000,28.34,28.34,28.2,28.2078,722,0
IFLO.US,D,20251218,000000,28.38,28.38,28.235,28.235,2396,0
IFLO.US,D,20251219,000000,28.38,28.41,28.3659,28.3659,2619,0
IFLO.US,D,20251223,000000,28.64,28.64,28.63,28.63,862,0
IFLO.US,D,20251224,000000,28.605,28.605,28.6,28.6,582,0
IFLO.US,D,20251226,000000,28.67,28.67,28.64,28.64,1152,0
IFLO.US,D,20251229,000000,28.58,28.58,28.55,28.555,723,0
IFLO.US,D,20251231,000000,28.52,28.52,28.4837,28.4837,313,0
IFLO.US,D,20260102,000000,28.6,28.68,28.6,28.6477,2881,0
IFLO.US,D,20260106,000000,28.86,28.86,28.825,28.825,607,0
IFLO.US,D,20260108,000000,28.86,28.91,28.86,28.91,642,0
IFLO.US,D,20260109,000000,29.18,29.18,29.1218,29.1323,1336,0
IFLO.US,D,20260112,000000,29.28,29.315,29.28,29.315,2785,0
IFLO.US,D,20260113,000000,29.14,29.24,29.14,29.1946,1545,0
IFLO.US,D,20260114,000000,29.3,29.42,29.3,29.3827,19034,0
IFLO.US,D,20260115,000000,29.22,29.27,29.2,29.2,664,0
IFLO.US,D,20260116,000000,29.29,29.29,29.195,29.2112,42242,0
IFLO.US,D,20260120,000000,29.04,29.145,28.96,29.145,3560,0
IFLO.US,D,20260121,000000,29.325,29.3808,29.325,29.3808,1796,0
IFLO.US,D,20260122,000000,29.59,29.59,29.5598,29.5598,2470,0
IFLO.US,D,20260123,000000,29.75,29.85,29.75,29.85,721,0
