<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOLT.US,D,20250320,000000,14.42,14.85,13.67,13.8668,95314,0
SOLT.US,D,20250321,000000,13.49,14.17,13.16,13.9107,79741,0
SOLT.US,D,20250324,000000,17.23,17.54,16.7201,17.07,150278,0
SOLT.US,D,20250325,000000,17.55,18.083,17.1001,17.59,194077,0
SOLT.US,D,20250326,000000,17.3,17.4068,15.31,15.6883,142958,0
SOLT.US,D,20250327,000000,15.56,16.14,15.2011,15.92,116509,0
SOLT.US,D,20250328,000000,14.15,14.2,13.59,13.71,204084,0
SOLT.US,D,20250331,000000,12.91,13.35,12.4496,12.85,194021,0
SOLT.US,D,20250401,000000,13.31,13.71,12.71,13.16,136242,0
SOLT.US,D,20250402,000000,12.81,14.07,12.81,13.9995,277283,0
SOLT.US,D,20250403,000000,10.3,10.6892,9.9699,10.5826,322563,0
SOLT.US,D,20250404,000000,10.53,12.0518,10.37,11.91,237941,0
SOLT.US,D,20250407,000000,8.03,10.0474,7.736737,8.6876,346884,0
SOLT.US,D,20250408,000000,9.65,9.65,8.24,8.3294,228732,0
SOLT.US,D,20250409,000000,8.43,11.06,8.43,10.7555,440294,0
SOLT.US,D,20250410,000000,9.77,9.9675,8.86,9.38,97314,0
SOLT.US,D,20250411,000000,10.71,11.179,10.58,11.0074,144074,0
SOLT.US,D,20250414,000000,13.37,13.52,12.34,12.86,291412,0
SOLT.US,D,20250415,000000,13.23,13.55,12.1002,12.23,234785,0
SOLT.US,D,20250416,000000,11.69,13.31,11.6,13.0654,270573,0
SOLT.US,D,20250417,000000,13.31,13.7622,12.75,13.14,141720,0
SOLT.US,D,20250421,000000,14.25,14.52,13.25,13.82,248309,0
SOLT.US,D,20250422,000000,14.88,15.83,14.8,15.34,324084,0
SOLT.US,D,20250423,000000,17.19,17.38,16.215,16.61,281464,0
SOLT.US,D,20250424,000000,16.15,16.9121,16.0001,16.79,195316,0
SOLT.US,D,20250425,000000,17.13,17.73,16.5108,16.71,260568,0
SOLT.US,D,20250428,000000,16.38,16.38,15.4,16.0146,218891,0
SOLT.US,D,20250429,000000,15.84,16.41,15.7,16.2,203603,0
SOLT.US,D,20250430,000000,14.86,15.499,14.27,15.36,245167,0
SOLT.US,D,20250501,000000,16.81,17.159,16.305,16.38,229959,0
SOLT.US,D,20250502,000000,16.44,16.6995,15.8,15.91,149477,0
SOLT.US,D,20250505,000000,15.03,15.63,14.8872,15.5,166947,0
SOLT.US,D,20250506,000000,14.48,15.2076,14.46,15.13,173811,0
SOLT.US,D,20250507,000000,15.52,15.72,15.11,15.31,88332,0
SOLT.US,D,20250508,000000,17.329,18.94,17.1,18.47,484130,0
SOLT.US,D,20250509,000000,21.05,21.4586,20.08,21.12,493073,0
SOLT.US,D,20250512,000000,22.39,23.473,20.3391,20.89,520032,0
SOLT.US,D,20250513,000000,21.94,24.17,21.18,23.68,487982,0
SOLT.US,D,20250514,000000,22.98,23.3391,21.32,22.33,389021,0
SOLT.US,D,20250515,000000,20.85,21.65,19.75,20.385,619479,0
