<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPAG.US,D,20250818,000000,99.8043,99.85,99.8043,99.82,2392,0
CPAG.US,D,20250819,000000,99.989,100.0143,99.98,100.0109,2480,0
CPAG.US,D,20250820,000000,100.09,100.15,100.04,100.06,13001,0
CPAG.US,D,20250821,000000,99.96,99.96,99.81,99.855,463,0
CPAG.US,D,20250822,000000,100.21,100.3659,100.21,100.3659,300,0
CPAG.US,D,20250825,000000,100.203,100.31,100.165,100.2279,12708,0
CPAG.US,D,20250826,000000,100.18,100.3501,100.18,100.3501,521,0
CPAG.US,D,20250827,000000,100.2,100.4355,100.2,100.4355,440,0
CPAG.US,D,20250828,000000,100.5797,100.5797,100.5651,100.5651,193,0
CPAG.US,D,20250829,000000,100.42,100.47,100.42,100.4416,998,0
CPAG.US,D,20250902,000000,100.18,100.1955,100.11,100.1955,948,0
CPAG.US,D,20250903,000000,100.23,100.53,100.23,100.5147,13981,0
CPAG.US,D,20250904,000000,100.779,100.895,100.779,100.895,302,0
CPAG.US,D,20250905,000000,101.47,101.485,101.355,101.355,1573,0
CPAG.US,D,20250908,000000,101.66,101.725,101.66,101.725,1993,0
CPAG.US,D,20250909,000000,101.605,101.61,101.515,101.515,1158,0
CPAG.US,D,20250910,000000,101.74,101.74,101.725,101.725,5211,0
CPAG.US,D,20250911,000000,101.9,101.9139,101.9,101.9139,5406,0
CPAG.US,D,20250912,000000,101.78,101.7907,101.6268,101.7907,2596,0
CPAG.US,D,20250915,000000,101.98,101.98,101.9611,101.9611,209,0
CPAG.US,D,20250917,000000,102.009,102.009,101.82,101.845,792,0
CPAG.US,D,20250918,000000,101.565,101.565,101.55,101.5553,754,0
CPAG.US,D,20250919,000000,101.61,101.61,101.49,101.5623,1516,0
CPAG.US,D,20250922,000000,101.4599,101.4599,101.4169,101.4169,2143,0
CPAG.US,D,20250925,000000,101.2354,101.265,101.195,101.265,547,0
CPAG.US,D,20250930,000000,101.55,101.58,101.4546,101.4546,428,0
CPAG.US,D,20251001,000000,101.5956,101.705,101.5956,101.705,223,0
CPAG.US,D,20251003,000000,101.79,101.7901,101.6958,101.6958,5303,0
CPAG.US,D,20251006,000000,101.66,101.66,101.475,101.475,262,0
CPAG.US,D,20251007,000000,101.74,101.74,101.655,101.655,116,0
CPAG.US,D,20251008,000000,101.8,101.8,101.665,101.665,5114,0
CPAG.US,D,20251009,000000,101.57,101.57,101.5399,101.555,3203,0
CPAG.US,D,20251010,000000,101.82,101.9647,101.82,101.9647,1252,0
CPAG.US,D,20251013,000000,101.98,102.1334,101.97,102.1334,2732,0
CPAG.US,D,20251014,000000,102.135,102.2875,102.1299,102.2875,632,0
CPAG.US,D,20251015,000000,102.4041,102.4041,102.255,102.255,1427,0
CPAG.US,D,20251016,000000,102.25,102.63,102.25,102.6134,4010,0
CPAG.US,D,20251017,000000,102.47,102.495,102.47,102.495,173,0
CPAG.US,D,20251020,000000,102.569,102.64,102.5565,102.635,1758,0
CPAG.US,D,20251021,000000,102.81,102.8135,102.7445,102.7445,534,0
CPAG.US,D,20251022,000000,102.72,102.7599,102.65,102.75,2587,0
CPAG.US,D,20251024,000000,102.6101,102.6654,102.6101,102.6654,3879,0
CPAG.US,D,20251030,000000,102.13,102.13,102.08,102.1208,2955,0
CPAG.US,D,20251103,000000,101.97,101.97,101.919,101.9411,742,0
CPAG.US,D,20251104,000000,101.979,102.085,101.979,101.985,2014,0
CPAG.US,D,20251105,000000,101.76,101.76,101.645,101.6687,3595,0
