<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLOW.US,D,20240710,000000,25.6453,25.6453,25.6453,25.6453,1,0
GLOW.US,D,20240711,000000,25.558,25.57,25.558,25.5617,421,0
GLOW.US,D,20240712,000000,25.7131,25.7131,25.7131,25.7131,10,0
GLOW.US,D,20240715,000000,25.72,25.72,25.6479,25.6479,179,0
GLOW.US,D,20240716,000000,25.77,25.838,25.74,25.838,1062,0
GLOW.US,D,20240717,000000,25.5872,25.5872,25.5872,25.5872,2,0
GLOW.US,D,20240718,000000,25.46,25.46,25.3344,25.3344,227,0
GLOW.US,D,20240719,000000,25.19,25.23,25.1718,25.1718,1350,0
GLOW.US,D,20240722,000000,25.35,25.4225,25.3499,25.4225,3800,0
GLOW.US,D,20240723,000000,25.42,25.42,25.3475,25.3475,3000,0
GLOW.US,D,20240724,000000,25.09,25.09,24.9245,24.9245,10850,0
GLOW.US,D,20240725,000000,24.9798,25,24.7784,24.7784,4202,0
GLOW.US,D,20240726,000000,25.13,25.13,25.01,25.0463,5100,0
GLOW.US,D,20240729,000000,25.1,25.12,25.065,25.0672,7226,0
GLOW.US,D,20240730,000000,25,25.03,24.97,25.0097,7998,0
GLOW.US,D,20240731,000000,25.43,25.43,25.383,25.383,200,0
GLOW.US,D,20240801,000000,25.1808,25.1808,24.96,24.9822,3954,0
GLOW.US,D,20240802,000000,24.5188,24.5188,24.5188,24.5188,50,0
GLOW.US,D,20240805,000000,23.86,23.89,23.82,23.8498,1122,0
GLOW.US,D,20240806,000000,24.0499,24.0499,24.0499,24.0499,20,0
GLOW.US,D,20240807,000000,23.9503,23.9503,23.9503,23.9503,20,0
GLOW.US,D,20240808,000000,24.4503,24.4503,24.4503,24.4503,20,0
GLOW.US,D,20240809,000000,24.5681,24.5681,24.5681,24.5681,20,0
GLOW.US,D,20240812,000000,24.5363,24.5363,24.5363,24.5363,20,0
GLOW.US,D,20240813,000000,24.9681,24.9681,24.9681,24.9681,20,0
GLOW.US,D,20240814,000000,25.0581,25.0581,25.0581,25.0581,20,0
GLOW.US,D,20240815,000000,25.3794,25.3794,25.3794,25.3794,20,0
GLOW.US,D,20240816,000000,25.4979,25.4979,25.4979,25.4979,20,0
GLOW.US,D,20240819,000000,25.7603,25.7603,25.7603,25.7603,20,0
GLOW.US,D,20240820,000000,25.7219,25.7219,25.7219,25.7219,20,0
GLOW.US,D,20240821,000000,25.8744,25.8744,25.8744,25.8744,20,0
GLOW.US,D,20240822,000000,25.6522,25.6522,25.6522,25.6522,6,0
GLOW.US,D,20240823,000000,26.0276,26.0276,26.0276,26.0276,20,0
GLOW.US,D,20240826,000000,25.9085,25.9085,25.9085,25.9085,3,0
GLOW.US,D,20240827,000000,26.0065,26.0065,26.0065,26.0065,6,0
GLOW.US,D,20240828,000000,25.8834,25.8834,25.8834,25.8834,6,0
GLOW.US,D,20240829,000000,25.8838,25.8838,25.8838,25.8838,6,0
GLOW.US,D,20240830,000000,26.0744,26.0744,26.0744,26.0744,6,0
GLOW.US,D,20240903,000000,25.81,25.81,25.6359,25.6359,403,0
GLOW.US,D,20240904,000000,25.6,25.635,25.6,25.635,200,0
GLOW.US,D,20240905,000000,25.55,25.5581,25.55,25.5581,198,0
GLOW.US,D,20240906,000000,25.1252,25.1252,25.1252,25.1252,55,0
GLOW.US,D,20240909,000000,25.4215,25.4215,25.4215,25.4215,3,0
GLOW.US,D,20240910,000000,25.45,25.4637,25.4363,25.4637,1500,0
GLOW.US,D,20240911,000000,25.6461,25.6461,25.6461,25.6461,3,0
GLOW.US,D,20240912,000000,25.8119,25.8119,25.8119,25.8119,110,0
GLOW.US,D,20240913,000000,25.92,25.94,25.92,25.9302,1012,0
GLOW.US,D,20240916,000000,26.081,26.081,26.081,26.081,2,0
GLOW.US,D,20240917,000000,25.9746,25.9746,25.9746,25.9746,11,0
GLOW.US,D,20240918,000000,25.8941,25.8941,25.8941,25.8941,24,0
GLOW.US,D,20240919,000000,26.2887,26.2887,26.2887,26.2887,3,0
GLOW.US,D,20240920,000000,26.2149,26.2149,26.2149,26.2149,1,0
GLOW.US,D,20240923,000000,26.3144,26.3144,26.3144,26.3144,1,0
GLOW.US,D,20240924,000000,26.3917,26.3917,26.3917,26.3917,1,0
GLOW.US,D,20240925,000000,26.2674,26.2674,26.2674,26.2674,1,0
GLOW.US,D,20240926,000000,26.6285,26.6285,26.6285,26.6285,1,0
GLOW.US,D,20240927,000000,26.5326,26.5326,26.5326,26.5326,1,0
GLOW.US,D,20241001,000000,26.378,26.378,26.378,26.378,112,0
GLOW.US,D,20241002,000000,26.3882,26.3882,26.3882,26.3882,1,0
GLOW.US,D,20241003,000000,26.2263,26.2263,26.2263,26.2263,1,0
GLOW.US,D,20241004,000000,26.4413,26.4413,26.4413,26.4413,62,0
GLOW.US,D,20241007,000000,26.2188,26.2188,26.2188,26.2188,26,0
GLOW.US,D,20241008,000000,26.2802,26.2802,26.2802,26.2802,33,0
GLOW.US,D,20241009,000000,26.3807,26.3807,26.3807,26.3807,6,0
GLOW.US,D,20241010,000000,26.3093,26.3093,26.3093,26.3093,30,0
GLOW.US,D,20241011,000000,26.465,26.465,26.465,26.465,9,0
GLOW.US,D,20241014,000000,26.6094,26.6094,26.6094,26.6094,6,0
GLOW.US,D,20241015,000000,26.3585,26.3585,26.3585,26.3585,3,0
GLOW.US,D,20241016,000000,26.44,26.505,26.44,26.505,3110,0
GLOW.US,D,20241017,000000,26.5089,26.56,26.4573,26.4573,13052,0
GLOW.US,D,20241018,000000,26.61,26.61,26.5755,26.5755,150,0
GLOW.US,D,20241021,000000,26.3652,26.3652,26.3574,26.3574,100,0
GLOW.US,D,20241022,000000,26.27,26.33,26.25,26.3026,2900,0
GLOW.US,D,20241023,000000,26.0754,26.0754,26.0754,26.0754,1102,0
GLOW.US,D,20241024,000000,26.15,26.1649,26.15,26.1649,216,0
GLOW.US,D,20241025,000000,26.3,26.3,26.0798,26.0798,6325,0
GLOW.US,D,20241028,000000,26.2178,26.2178,26.2178,26.2178,17,0
GLOW.US,D,20241029,000000,26.23,26.23,26.203,26.203,200,0
GLOW.US,D,20241030,000000,26.17,26.17,26.1005,26.1005,400,0
GLOW.US,D,20241031,000000,25.9474,25.9474,25.8175,25.8175,1745,0
GLOW.US,D,20241104,000000,25.8281,25.8281,25.8281,25.8281,100,0
GLOW.US,D,20241105,000000,26.02,26.1318,26.02,26.1318,4319,0
GLOW.US,D,20241106,000000,26.4752,26.4752,26.4619,26.4619,123,0
