<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRUD.US,D,20250821,000000,24.59,24.62,24.5571,24.5571,433,0
TRUD.US,D,20250825,000000,25.27,25.37,25.27,25.3213,424,0
TRUD.US,D,20250828,000000,25.42,25.52,25.42,25.5049,315,0
TRUD.US,D,20250829,000000,25.2,25.2006,25.175,25.2006,742,0
TRUD.US,D,20250902,000000,24.9219,25,24.78,24.9913,41364,0
TRUD.US,D,20250903,000000,25.06,25.21,25.06,25.0906,1874,0
TRUD.US,D,20250904,000000,25.485,25.6643,25.485,25.6643,376,0
TRUD.US,D,20250905,000000,25.83,25.83,25.6192,25.6192,346,0
TRUD.US,D,20250908,000000,25.83,25.83,25.7735,25.7735,310,0
TRUD.US,D,20250909,000000,25.69,25.83,25.69,25.7995,317,0
TRUD.US,D,20250910,000000,25.58,25.58,25.36,25.3985,2187,0
TRUD.US,D,20250911,000000,25.7794,25.8334,25.7794,25.8334,240,0
TRUD.US,D,20250912,000000,25.97,25.97,25.94,25.9647,656,0
TRUD.US,D,20250915,000000,26.47,26.47,26.245,26.245,545,0
TRUD.US,D,20250916,000000,26.48,26.49,26.44,26.473,2101,0
TRUD.US,D,20250917,000000,26.3094,26.3559,26.3094,26.3559,734,0
TRUD.US,D,20250918,000000,26.435,26.435,26.2584,26.2584,1659,0
TRUD.US,D,20250919,000000,26.43,26.43,26.3519,26.3519,2065,0
TRUD.US,D,20250922,000000,26.47,26.49,26.2564,26.2564,3374,0
TRUD.US,D,20250923,000000,26.07,26.07,25.84,25.8587,37292,0
TRUD.US,D,20250924,000000,26.09,26.09,26.085,26.085,1415,0
TRUD.US,D,20250925,000000,25.79,25.8,25.601,25.6685,65934,0
TRUD.US,D,20250926,000000,26.02,26.025,26.02,26.025,939,0
TRUD.US,D,20250929,000000,26.1,26.1656,26.04,26.1656,962,0
TRUD.US,D,20250930,000000,25.925,26.0319,25.925,26.0319,444,0
TRUD.US,D,20251001,000000,26.05,26.28,26.05,26.1969,3448,0
TRUD.US,D,20251002,000000,26.05,26.06,26.015,26.015,1680,0
TRUD.US,D,20251003,000000,25.9253,25.9253,25.7846,25.7846,358,0
TRUD.US,D,20251006,000000,25.83,26.1,25.83,26.0741,1071,0
TRUD.US,D,20251007,000000,25.88,25.88,25.6824,25.6824,7523,0
TRUD.US,D,20251008,000000,25.74,25.93,25.74,25.8444,3707,0
TRUD.US,D,20251009,000000,25.5825,25.7845,25.56,25.7845,69744,0
TRUD.US,D,20251010,000000,25.85,25.85,24.9571,24.9571,352885,0
TRUD.US,D,20251013,000000,25.42,25.5121,25.4,25.5121,2939,0
TRUD.US,D,20251014,000000,25.32,25.61,25.29,25.4564,5750,0
TRUD.US,D,20251015,000000,25.68,25.68,25.4698,25.4698,564,0
TRUD.US,D,20251016,000000,25.555,25.555,25.08,25.2451,20795,0
TRUD.US,D,20251017,000000,25.33,25.48,25.3,25.4121,2340,0
TRUD.US,D,20251020,000000,25.54,25.6749,25.54,25.6749,2098,0
TRUD.US,D,20251021,000000,25.85,26.0812,25.85,26.0316,1866,0
TRUD.US,D,20251022,000000,25.73,25.82,25.655,25.7444,3173,0
TRUD.US,D,20251023,000000,25.59,25.9363,25.59,25.9363,2185,0
TRUD.US,D,20251024,000000,26.02,26.02,25.9114,25.9114,1264,0
TRUD.US,D,20251027,000000,26.2662,26.3956,26.2662,26.3108,1756,0
TRUD.US,D,20251028,000000,26.3995,26.51,26.394,26.394,6025,0
TRUD.US,D,20251029,000000,26.4,26.4,26.2408,26.2408,1277,0
TRUD.US,D,20251030,000000,25.9025,25.969,25.5959,25.5959,33606,0
