<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIXI.US,D,20250808,000000,19.0555,19.61,19.0555,19.0555,3852,0
VIXI.US,D,20250811,000000,18.97,19.38,18.81,19.2709,3123,0
VIXI.US,D,20250812,000000,18.71,18.71,18.07,18.07,4223,0
VIXI.US,D,20250813,000000,17.89,18.05,17.8386,17.8386,15762,0
VIXI.US,D,20250814,000000,18.45,18.45,17.8858,17.8858,3422,0
VIXI.US,D,20250815,000000,17.96,18.0356,17.88,18.0356,1011,0
VIXI.US,D,20250818,000000,17.8,17.8498,17.6099,17.6168,2089,0
VIXI.US,D,20250819,000000,17.5,18.2,17.46,18.1365,5749,0
VIXI.US,D,20250820,000000,18.255,18.6299,18.16,18.1644,2723,0
VIXI.US,D,20250821,000000,18.4905,18.72,18.28,18.4794,14233,0
VIXI.US,D,20250822,000000,18.18,18.18,16.8344,16.8344,6395,0
VIXI.US,D,20250825,000000,17.14,17.15,16.75,17.003,3172,0
VIXI.US,D,20250826,000000,17.04,17.08,16.7963,16.7963,1535,0
VIXI.US,D,20250827,000000,16.83,16.98,16.7165,16.7782,2908,0
VIXI.US,D,20250828,000000,16.61,16.61,16.525,16.525,506,0
VIXI.US,D,20250829,000000,16.61,17.14,16.61,17.0426,5044,0
VIXI.US,D,20250902,000000,18.42,18.42,17.7559,17.7559,8006,0
VIXI.US,D,20250903,000000,17.7,17.7,17.15,17.2147,2535,0
VIXI.US,D,20250904,000000,16.99,16.99,16.4392,16.4392,2359,0
VIXI.US,D,20250905,000000,16.01,17.02,16.01,16.6628,1203,0
VIXI.US,D,20250908,000000,16.33,16.33,16.18,16.2706,4025,0
VIXI.US,D,20250909,000000,16.33,16.38,16.061,16.061,2945,0
VIXI.US,D,20250910,000000,15.61,15.9341,15.61,15.9319,3919,0
VIXI.US,D,20250911,000000,15.55,15.55,15.3601,15.3601,927,0
VIXI.US,D,20250912,000000,15.24,15.4,15.19,15.3396,7417,0
VIXI.US,D,20250915,000000,15.13,15.365,15.13,15.365,1285,0
VIXI.US,D,20250916,000000,15.5648,15.6614,15.5,15.6614,3959,0
VIXI.US,D,20250917,000000,15.7,15.7,15.1,15.2982,11999,0
VIXI.US,D,20250918,000000,15.07,15.1662,14.93,15.1662,7370,0
VIXI.US,D,20250919,000000,15.1,15.34,15.0294,15.0294,9769,0
VIXI.US,D,20250922,000000,15.1694,15.1694,14.99,15.1325,7645,0
VIXI.US,D,20250923,000000,15,15.708,15,15.4681,6672,0
VIXI.US,D,20250924,000000,15.45,15.69,15.4076,15.4076,3967,0
VIXI.US,D,20250925,000000,15.96,15.96,15.51,15.6509,5165,0
VIXI.US,D,20250926,000000,15.34,15.61,15.0006,15.0006,5184,0
VIXI.US,D,20250929,000000,14.94,15.15,14.89,15.0884,1846,0
VIXI.US,D,20250930,000000,15.185,15.2,14.9093,14.9093,2700,0
VIXI.US,D,20251001,000000,15.04,15.04,14.885,14.885,832,0
VIXI.US,D,20251002,000000,15.08,15.08,14.91,15.0377,526,0
VIXI.US,D,20251003,000000,15.05,15.05,14.8551,14.9932,22443,0
VIXI.US,D,20251006,000000,14.769,14.95,14.7578,14.7578,2898,0
VIXI.US,D,20251007,000000,14.93,15.23,14.93,15.1796,2194,0
VIXI.US,D,20251008,000000,14.98,14.98,14.8832,14.8957,827,0
VIXI.US,D,20251009,000000,14.8,15.135,14.68,14.9019,9942,0
VIXI.US,D,20251010,000000,14.97,17.43,14.8796,17.3483,29357,0
VIXI.US,D,20251013,000000,16.07,16.15,15.6,15.825,15058,0
VIXI.US,D,20251014,000000,17.09,17.5,15.89,16.4511,20754,0
VIXI.US,D,20251015,000000,15.68,17,15.68,16.5315,14388,0
VIXI.US,D,20251016,000000,16.35,18.475,16.35,18.3743,14685,0
VIXI.US,D,20251017,000000,18.19,18.4,16.6455,16.6455,9761,0
VIXI.US,D,20251020,000000,15.7,15.7,14.9529,14.9529,6337,0
VIXI.US,D,20251021,000000,15.2,15.34,14.69,14.8162,15186,0
VIXI.US,D,20251022,000000,14.4624,15.761,14.4624,15.1135,6067,0
VIXI.US,D,20251023,000000,15.06,15.1,14.7468,14.7468,3654,0
VIXI.US,D,20251024,000000,14.5,14.5,14.23,14.3316,6430,0
VIXI.US,D,20251027,000000,13.73,13.86,13.6887,13.6887,2524,0
VIXI.US,D,20251028,000000,13.7,13.995,13.7,13.9474,17080,0
VIXI.US,D,20251029,000000,13.95,14.1226,13.8,14.1226,32500,0
VIXI.US,D,20251030,000000,14.2206,14.523,14.02,14.523,19909,0
VIXI.US,D,20251031,000000,14.23,14.78,14.1094,14.5043,8983,0
