<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMDU.US,D,20250821,000000,19.539,19.539,19.3975,19.3975,397,0
AMDU.US,D,20250822,000000,19.46,20.44,19.41,20.3442,9043,0
AMDU.US,D,20250825,000000,19.215,19.7883,19.215,19.7883,1507,0
AMDU.US,D,20250826,000000,20.5,20.51,19.87,20.1194,12826,0
AMDU.US,D,20250827,000000,20.09,20.2579,20.09,20.2579,2144,0
AMDU.US,D,20250828,000000,20.5,20.74,20.5,20.7039,1290,0
AMDU.US,D,20250829,000000,19.3,19.3,19.21,19.2334,1305,0
AMDU.US,D,20250902,000000,18.35,19.1541,18.35,19.1541,6675,0
AMDU.US,D,20250903,000000,18.8,19.07,18.7307,18.9943,3691,0
AMDU.US,D,20250904,000000,18.62,19.0131,18.62,19.0131,3979,0
AMDU.US,D,20250905,000000,16.52,16.96,16.36,16.5009,3529,0
AMDU.US,D,20250908,000000,16.41,16.82,16.41,16.6536,40637,0
AMDU.US,D,20250909,000000,16.99,17.4849,16.84,17.4849,7977,0
AMDU.US,D,20250910,000000,18.685,18.685,17.87,18.0116,6054,0
AMDU.US,D,20250911,000000,17.5,17.5,17.1432,17.1432,2853,0
AMDU.US,D,20250912,000000,17.27,17.81,17.14,17.796,9015,0
AMDU.US,D,20250915,000000,17.65,18.319,17.65,18.2966,7809,0
AMDU.US,D,20250916,000000,18.29,18.38,18.08,18.19,11601,0
AMDU.US,D,20250917,000000,17.78,17.78,17.05,17.7194,15379,0
AMDU.US,D,20250918,000000,16.04,17.52,16.04,17.4787,21512,0
AMDU.US,D,20250919,000000,17.2,17.86,17.13,17.4559,10829,0
AMDU.US,D,20250922,000000,18.12,18.31,17.82,17.8572,8179,0
AMDU.US,D,20250923,000000,17.91,18.495,17.81,18.035,30076,0
AMDU.US,D,20250924,000000,18.34,18.49,17.83,17.8861,36903,0
AMDU.US,D,20250925,000000,17.06,17.9677,16.8405,17.9677,8166,0
AMDU.US,D,20250926,000000,17.97,17.9793,17.34,17.8397,3337,0
AMDU.US,D,20250929,000000,18.3,18.575,18.11,18.1275,8992,0
AMDU.US,D,20250930,000000,17.8,18.2429,17.8,18.2429,7998,0
AMDU.US,D,20251001,000000,18.1992,18.47,18.04,18.47,9274,0
AMDU.US,D,20251002,000000,19.13,19.52,19.075,19.3026,9325,0
AMDU.US,D,20251003,000000,19.35,19.35,18,18.2134,13194,0
AMDU.US,D,20251006,000000,30.91,30.91,25.669,25.669,38707,0
AMDU.US,D,20251007,000000,28.47,29.03,27.31,27.7188,56838,0
AMDU.US,D,20251008,000000,27.76,32.0649,27.5958,32.0649,37197,0
AMDU.US,D,20251009,000000,32.2,33,30.7,31.3191,16296,0
AMDU.US,D,20251010,000000,31.32,31.395,26.35,26.8053,58244,0
AMDU.US,D,20251013,000000,28.34,28.8188,27.04,27.2458,11237,0
AMDU.US,D,20251014,000000,27.697,29.1,27.45,27.6146,51235,0
AMDU.US,D,20251015,000000,28.1799,31.52,28.022,31.4538,57272,0
AMDU.US,D,20251016,000000,31.66,31.84,30.35,30.3866,19182,0
AMDU.US,D,20251017,000000,29.83,30.32,29.08,29.9195,23129,0
AMDU.US,D,20251020,000000,30.98,32.3,30.4465,31.7516,21681,0
AMDU.US,D,20251021,000000,31.9,31.9,30.8,31.2264,17561,0
AMDU.US,D,20251022,000000,30.27,30.86,28.03,28.8955,35835,0
AMDU.US,D,20251023,000000,28.79,30.2699,28.67,29.7426,10416,0
AMDU.US,D,20251024,000000,32.57,33.34,32.51,33.2698,21901,0
AMDU.US,D,20251027,000000,35.25,35.44,33.56,35.3537,23674,0
AMDU.US,D,20251028,000000,35.3,36.4,34.94,35.0017,42768,0
AMDU.US,D,20251029,000000,35.82,36.527,34.235,35.9053,26869,0
