<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHPD.US,D,20250806,000000,20.45,20.45,19.36,19.5328,12515,0
SHPD.US,D,20250807,000000,19.56,20.3,19.37,20.0298,45577,0
SHPD.US,D,20250808,000000,20.324,20.3599,20.2293,20.2293,1028,0
SHPD.US,D,20250811,000000,20.24,20.5103,20.05,20.5103,1567,0
SHPD.US,D,20250812,000000,20.47,20.5,20.2451,20.2451,2118,0
SHPD.US,D,20250813,000000,20.13,20.1329,20.13,20.1329,464,0
SHPD.US,D,20250814,000000,21.1,21.11,20.95,20.95,20293,0
SHPD.US,D,20250815,000000,21.01,21.3513,21.01,21.3513,467,0
SHPD.US,D,20250818,000000,21.35,21.35,21.0974,21.0974,760,0
SHPD.US,D,20250820,000000,21.9,22.369,21.89,22.0128,29734,0
SHPD.US,D,20250821,000000,22.17,22.334,22.0206,22.1131,4122,0
SHPD.US,D,20250822,000000,22.18,22.21,21.091,21.2,27150,0
SHPD.US,D,20250904,000000,21.47,21.47,20.8056,20.8056,307,0
SHPD.US,D,20250905,000000,20.57,20.5793,20.57,20.5793,311,0
SHPD.US,D,20250908,000000,20.54,20.73,20.54,20.6839,353,0
SHPD.US,D,20250911,000000,20.76,20.8129,20.68,20.8129,1419,0
SHPD.US,D,20250912,000000,21.08,21.15,21.06,21.0841,7595,0
SHPD.US,D,20250916,000000,20.59,20.59,20.5435,20.5435,516,0
SHPD.US,D,20250917,000000,20.5,20.5465,20.4,20.4614,3054,0
SHPD.US,D,20250918,000000,20.2,20.21,19.83,19.848,1768,0
SHPD.US,D,20250919,000000,19.82,19.82,19.575,19.6796,3518,0
SHPD.US,D,20250922,000000,19.72,19.84,19.1,19.2023,7042,0
SHPD.US,D,20250923,000000,19.4,20.03,19.4,20.015,1305,0
SHPD.US,D,20250924,000000,19.8,20.18,19.8,20.1591,8522,0
SHPD.US,D,20250925,000000,20.85,20.95,20.7,20.926,5780,0
SHPD.US,D,20250926,000000,21.405,21.405,21.369,21.3956,299,0
SHPD.US,D,20250929,000000,21.01,21.2,19.9901,20.0431,5547,0
SHPD.US,D,20250930,000000,20.02,20.48,20.02,20.093,2358,0
SHPD.US,D,20251001,000000,19.78,19.96,19.78,19.96,178,0
SHPD.US,D,20251002,000000,19.991,20.089,19.7484,19.7484,791,0
SHPD.US,D,20251003,000000,18.88,18.88,18.3134,18.4757,26551,0
SHPD.US,D,20251006,000000,17.7,18.26,17.7,18.0825,5515,0
SHPD.US,D,20251007,000000,17.807269,18.46,17.807269,18.45,11088,0
SHPD.US,D,20251008,000000,17.93,18.031,17.76,17.8891,4914,0
SHPD.US,D,20251009,000000,17.92,18.2675,17.92,18.1576,4004,0
SHPD.US,D,20251010,000000,18.18,19.6,18.18,19.5903,12584,0
SHPD.US,D,20251013,000000,19.2501,19.44,19.25,19.2508,15391,0
SHPD.US,D,20251014,000000,19.68,19.68,19.19,19.3472,5743,0
SHPD.US,D,20251015,000000,18.74,18.94,18.74,18.91,9951,0
SHPD.US,D,20251016,000000,18.28,18.9066,18,18.9066,4563,0
SHPD.US,D,20251017,000000,19.12,19.12,18.71,18.731,6939,0
SHPD.US,D,20251020,000000,18.06,18.07,17.9225,17.9225,2429,0
SHPD.US,D,20251021,000000,18.21,18.29,17.94,18.155,2883,0
SHPD.US,D,20251022,000000,18.15,18.36,18.12,18.2172,9359,0
SHPD.US,D,20251023,000000,17.72,17.93,17.66,17.685,10668,0
SHPD.US,D,20251024,000000,17.2,17.31,16.9,17.05,4116,0
SHPD.US,D,20251027,000000,16.82,16.94,16.75,16.8404,13169,0
SHPD.US,D,20251028,000000,16.87,17.03,16.35,16.4706,13632,0
SHPD.US,D,20251029,000000,16.38,16.4786,16.26,16.4786,11148,0
SHPD.US,D,20251030,000000,16.78,16.9798,16.7,16.9798,9672,0
SHPD.US,D,20251031,000000,16.54,17.08,16.54,16.9592,12827,0
SHPD.US,D,20251103,000000,16.81,17.32,16.62,17.011,9979,0
SHPD.US,D,20251104,000000,18.07,18.2741,17.06,18.2741,44820,0
