<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMLI.US,D,20250612,000000,24.71,25.009,24.6459,24.6459,466,0
KMLI.US,D,20250613,000000,24.6413,24.85,24.6413,24.6484,1282,0
KMLI.US,D,20250616,000000,25.16,26.465,25.16,26.34,4370,0
KMLI.US,D,20250617,000000,26.34,26.8,24.79,25.02,9083,0
KMLI.US,D,20250618,000000,24.75,25.35,24.58,25.27,5487,0
KMLI.US,D,20250620,000000,25.8,26.96,24.76,25.32,23407,0
KMLI.US,D,20250623,000000,25.36,26.42,24.75,26.31,29374,0
KMLI.US,D,20250624,000000,27.08,28.335,26.88,27.91,35326,0
KMLI.US,D,20250625,000000,28.1,28.555,28,28.165,8659,0
KMLI.US,D,20250626,000000,28.33,28.79,28.33,28.57,1771,0
KMLI.US,D,20250627,000000,28.95,28.95,27.9022,28.65,3769,0
KMLI.US,D,20250630,000000,28.88,29.7,28.6652,29.7,4571,0
KMLI.US,D,20250701,000000,29.46,29.46,26.84,27.16,9594,0
KMLI.US,D,20250702,000000,26.7604,27.5,25.17,26.5,18677,0
KMLI.US,D,20250703,000000,27.07,27.4652,27.07,27.41,5534,0
KMLI.US,D,20250707,000000,27.09,27.13,26.48,27.09,1861,0
KMLI.US,D,20250708,000000,26.2388,26.55,26.14,26.55,1187,0
KMLI.US,D,20250709,000000,26.52,27.13,26.52,27.13,253,0
KMLI.US,D,20250710,000000,25.54,25.54,24,25,6998,0
KMLI.US,D,20250711,000000,24.76,24.9427,24.455,24.63,1956,0
KMLI.US,D,20250714,000000,25.02,25.02,24.47,24.47,1691,0
KMLI.US,D,20250715,000000,24.535,24.8,24.4941,24.62,9385,0
KMLI.US,D,20250716,000000,25.03,25.03,24.7426,24.8906,1425,0
KMLI.US,D,20250717,000000,24.631,24.853,23.75,23.7721,8616,0
KMLI.US,D,20250718,000000,24.3632,25.2664,24.3632,25.0455,6201,0
KMLI.US,D,20250721,000000,24.51,24.6022,24.2928,24.3005,3613,0
KMLI.US,D,20250722,000000,24.5904,24.7599,24.3868,24.3943,3129,0
KMLI.US,D,20250723,000000,24.39,24.53,24.25,24.5287,2338,0
KMLI.US,D,20250724,000000,24.43,24.5192,24.35,24.5192,419,0
