<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VHCPU.US,D,20251218,000000,10.03,10.04,10.02,10.035,5854900,0
VHCPU.US,D,20251219,000000,10.035,10.06,10.03,10.035,224421,0
VHCPU.US,D,20251222,000000,10.04,10.05,10.03,10.035,863973,0
VHCPU.US,D,20251223,000000,10.05,10.05,10.03,10.05,149906,0
VHCPU.US,D,20251224,000000,10.03,10.05,10.03,10.05,16973,0
VHCPU.US,D,20251226,000000,10.035,10.035,10.035,10.035,337,0
VHCPU.US,D,20251229,000000,10.05,10.05,10.02,10.02,2830,0
VHCPU.US,D,20251231,000000,10.0201,10.021,10.0201,10.021,747,0
VHCPU.US,D,20260102,000000,10.05,10.05,10.05,10.05,101,0
VHCPU.US,D,20260105,000000,10.02,10.04,10.02,10.04,3403,0
VHCPU.US,D,20260106,000000,10.04,10.06,10.04,10.06,179051,0
VHCPU.US,D,20260107,000000,10.05,10.05,10.04,10.04,3646,0
VHCPU.US,D,20260108,000000,10.04,10.04,10.03,10.04,17225,0
VHCPU.US,D,20260109,000000,10.04,10.04,10.03,10.03,2131,0
VHCPU.US,D,20260112,000000,10.0301,10.035,10.0301,10.035,2476,0
VHCPU.US,D,20260113,000000,10.04,10.06,10.04,10.05,216166,0
VHCPU.US,D,20260114,000000,10.02,10.04,10.02,10.03,6854,0
VHCPU.US,D,20260115,000000,10.02,10.035,10.02,10.03,740,0
VHCPU.US,D,20260116,000000,10.04,10.045,10.03,10.03,19198,0
VHCPU.US,D,20260120,000000,10.03,10.04,10.03,10.035,43031,0
VHCPU.US,D,20260121,000000,10.03,10.04,10.02,10.02,157020,0
VHCPU.US,D,20260122,000000,10.03,10.08,10.03,10.04,193457,0
VHCPU.US,D,20260123,000000,10.04,10.05,10.02,10.05,58270,0
