<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLXN.US,D,20250708,000000,24.9899,24.9899,24.9899,24.9899,43,0
FLXN.US,D,20250709,000000,24.945,24.945,24.945,24.945,15,0
FLXN.US,D,20250710,000000,25.05,25.05,24.99,25.0199,4412,0
FLXN.US,D,20250714,000000,25,25,24.985,24.985,200,0
FLXN.US,D,20250730,000000,25.125,25.125,25.1097,25.1097,100,0
FLXN.US,D,20250731,000000,25.19,25.2,25.15,25.15,1280879,0
FLXN.US,D,20250801,000000,25.11,25.11,25.0405,25.085,2855,0
FLXN.US,D,20250804,000000,25.1574,25.19,25.1574,25.19,1240,0
FLXN.US,D,20250805,000000,25.14,25.19,25.14,25.185,1451,0
FLXN.US,D,20250806,000000,25.1619,25.23,25.1619,25.23,1393,0
FLXN.US,D,20250807,000000,25.2694,25.2694,25.1601,25.1999,1662,0
FLXN.US,D,20250808,000000,25.2283,25.2299,25.2,25.2299,787,0
FLXN.US,D,20250811,000000,25.2252,25.26,25.2,25.2299,1536,0
FLXN.US,D,20250812,000000,25.247,25.28,25.247,25.2799,861,0
FLXN.US,D,20250813,000000,25.355,25.36,25.3317,25.352,1536,0
FLXN.US,D,20250814,000000,25.295,25.305,25.27,25.305,1110,0
FLXN.US,D,20250815,000000,25.3025,25.34,25.3025,25.305,1053,0
FLXN.US,D,20250818,000000,25.3024,25.3599,25.27,25.305,1526,0
FLXN.US,D,20250819,000000,25.27,25.29,25.26,25.285,2205,0
FLXN.US,D,20250820,000000,25.26,25.3099,25.25,25.285,3119,0
FLXN.US,D,20250821,000000,25.26,25.26,25.2251,25.2251,654,0
FLXN.US,D,20250822,000000,25.255,25.29,25.255,25.29,714,0
FLXN.US,D,20250825,000000,25.2869,25.3032,25.25,25.275,2462,0
FLXN.US,D,20250826,000000,25.2814,25.3242,25.27,25.3242,1949,0
FLXN.US,D,20250827,000000,25.37,25.37,25.35,25.35,1065,0
FLXN.US,D,20250828,000000,25.33,25.37,25.32,25.37,2040,0
FLXN.US,D,20250829,000000,25.38,25.38,25.3335,25.3335,1020,0
FLXN.US,D,20250902,000000,25.245,25.2599,25.2089,25.245,2417,0
FLXN.US,D,20250903,000000,25.31,25.345,25.31,25.32,2047,0
FLXN.US,D,20250904,000000,25.35,25.4427,25.35,25.4427,2251,0
FLXN.US,D,20250905,000000,25.46,25.4795,25.42,25.46,1384,0
FLXN.US,D,20250908,000000,25.4878,25.495,25.4401,25.4699,1017,0
FLXN.US,D,20250909,000000,25.4,25.46,25.3901,25.4448,2940,0
FLXN.US,D,20250910,000000,25.4612,25.4877,25.46,25.4663,666,0
FLXN.US,D,20250911,000000,25.565,25.565,25.52,25.5599,1487,0
FLXN.US,D,20250912,000000,25.5506,25.5506,25.52,25.5499,1149,0
FLXN.US,D,20250915,000000,25.57,25.615,25.56,25.615,999,0
FLXN.US,D,20250916,000000,25.605,25.639,25.5948,25.6099,1757,0
FLXN.US,D,20250917,000000,25.61,25.61,25.57,25.5749,1674,0
FLXN.US,D,20250918,000000,25.5901,25.68,25.5901,25.635,1895,0
FLXN.US,D,20250919,000000,25.6303,25.67,25.6203,25.645,1028,0
FLXN.US,D,20250922,000000,25.6458,25.68,25.63,25.6699,1302,0
FLXN.US,D,20250923,000000,25.66,25.7099,25.6511,25.655,1498,0
FLXN.US,D,20250924,000000,25.63,25.67,25.6109,25.64,36103,0
FLXN.US,D,20250925,000000,25.575,25.5958,25.55,25.5749,2275,0
FLXN.US,D,20250926,000000,25.6,25.605,25.58,25.605,1598,0
FLXN.US,D,20250929,000000,25.656,25.656,25.62,25.65,941,0
FLXN.US,D,20250930,000000,25.6,25.635,25.6,25.635,1489,0
FLXN.US,D,20251001,000000,25.6469,25.685,25.63,25.685,2002,0
FLXN.US,D,20251002,000000,25.66,25.6899,25.66,25.6899,1970,0
FLXN.US,D,20251003,000000,25.69,25.72,25.66,25.6749,1786,0
FLXN.US,D,20251006,000000,25.6972,25.6997,25.66,25.6932,1660,0
FLXN.US,D,20251007,000000,25.71,25.71,25.6515,25.6599,2578,0
FLXN.US,D,20251008,000000,25.665,25.7,25.62,25.62,1179,0
FLXN.US,D,20251009,000000,25.53,25.535,25.5051,25.535,1547,0
FLXN.US,D,20251010,000000,25.4056,25.4056,25.3205,25.3205,730,0
FLXN.US,D,20251013,000000,25.45,25.5099,25.44,25.5099,1617,0
FLXN.US,D,20251014,000000,25.45,25.94,25.39,25.56,1353,0
FLXN.US,D,20251015,000000,25.6473,25.655,25.59,25.63,1860,0
FLXN.US,D,20251016,000000,25.635,25.635,25.35,25.53,1099,0
FLXN.US,D,20251017,000000,25.5251,25.6139,25.5239,25.6139,772,0
FLXN.US,D,20251020,000000,25.6884,25.69,25.68,25.69,1176,0
FLXN.US,D,20251021,000000,25.705,25.74,25.675,25.675,2091,0
FLXN.US,D,20251022,000000,25.6353,25.6399,25.6353,25.6399,431,0
FLXN.US,D,20251023,000000,25.6207,25.7,25.6207,25.6849,639,0
FLXN.US,D,20251024,000000,25.75,25.76,25.72,25.76,1378,0
FLXN.US,D,20251027,000000,25.7917,25.83,25.77,25.8249,2975,0
FLXN.US,D,20251028,000000,25.7806,25.818,25.7806,25.815,1537,0
FLXN.US,D,20251029,000000,25.81,25.8201,25.7299,25.7299,1485,0
FLXN.US,D,20251030,000000,25.7,25.73,25.6649,25.6649,1034,0
FLXN.US,D,20251031,000000,25.7056,25.7056,25.6506,25.6775,790,0
FLXN.US,D,20251103,000000,25.67,25.67,25.6001,25.6081,1725,0
FLXN.US,D,20251104,000000,25.5838,25.5838,25.54,25.555,1485,0
FLXN.US,D,20251105,000000,25.6051,25.6299,25.59,25.6163,1891,0
FLXN.US,D,20251106,000000,25.56,25.56,25.5,25.5589,3280,0
FLXN.US,D,20251107,000000,25.47,25.54,25.455,25.54,1526,0
FLXN.US,D,20251110,000000,25.675,25.7498,25.675,25.7498,883,0
FLXN.US,D,20251111,000000,25.72,25.7699,25.72,25.7699,5437,0
FLXN.US,D,20251112,000000,25.7,25.77,25.7,25.7348,1684,0
FLXN.US,D,20251113,000000,25.64,25.64,25.535,25.535,2270,0
FLXN.US,D,20251114,000000,25.53,25.5999,25.53,25.562,3427,0
FLXN.US,D,20251117,000000,25.5249,25.59,25.435,25.4399,2222,0
FLXN.US,D,20251118,000000,25.3442,25.4355,25.3442,25.4183,1634,0
FLXN.US,D,20251119,000000,25.4919,25.52,25.405,25.4493,3182,0
FLXN.US,D,20251120,000000,25.65,25.65,25.327,25.327,2858,0
FLXN.US,D,20251121,000000,25.38,25.53,25.38,25.4558,1277,0
FLXN.US,D,20251124,000000,25.68,25.7119,25.66,25.7119,2634,0
FLXN.US,D,20251125,000000,25.86,25.8848,25.83,25.8848,1788,0
FLXN.US,D,20251126,000000,25.8809,25.95,25.8809,25.9348,1468,0
FLXN.US,D,20251128,000000,25.9686,26,25.95,25.95,1724,0
FLXN.US,D,20251201,000000,25.88,25.905,25.88,25.9048,1300,0
FLXN.US,D,20251202,000000,25.9285,25.97,25.88,25.9349,1443,0
FLXN.US,D,20251203,000000,25.9845,26.015,25.96,25.998,1714,0
FLXN.US,D,20251204,000000,25.9732,26.01,25.94,25.9952,4354,0
FLXN.US,D,20251205,000000,26.0167,26.0167,25.97,26.0035,1593,0
FLXN.US,D,20251208,000000,25.9666,25.9666,25.92,25.9452,1502,0
FLXN.US,D,20251209,000000,25.9531,25.96,25.91,25.93,163275,0
FLXN.US,D,20251210,000000,25.9206,26.03,25.92,26.03,2288,0
FLXN.US,D,20251211,000000,26.03,26.04,26.0112,26.0252,2998,0
FLXN.US,D,20251212,000000,25.9686,26.0095,25.96,25.9751,2844,0
FLXN.US,D,20251215,000000,25.985,25.9874,25.92,25.9852,1909,0
FLXN.US,D,20251216,000000,25.9701,26,25.95,25.9952,2905,0
FLXN.US,D,20251217,000000,25.9201,25.97,25.9201,25.95,2328,0
FLXN.US,D,20251218,000000,26.045,26.07,26.02,26.035,2510,0
FLXN.US,D,20251219,000000,26.03,26.065,26.0201,26.05,1712,0
FLXN.US,D,20251222,000000,26.031,26.051,26.01,26.051,3065,0
FLXN.US,D,20251223,000000,26.065,26.09,26.05,26.0802,3372,0
FLXN.US,D,20251224,000000,25.3655,25.41,25.3319,25.385,4528,0
FLXN.US,D,20251226,000000,25.41,25.4398,25.39,25.39,1551,0
FLXN.US,D,20251229,000000,25.37,25.395,25.37,25.395,1015,0
FLXN.US,D,20251230,000000,25.413,25.415,25.38,25.4142,1261,0
FLXN.US,D,20251231,000000,25.4,25.4,25.37,25.37,1611,0
FLXN.US,D,20260102,000000,25.36,25.4,25.34,25.3802,1776,0
FLXN.US,D,20260105,000000,25.46,25.48,25.4213,25.465,1785,0
FLXN.US,D,20260106,000000,25.4992,25.5099,25.47,25.5,3370,0
FLXN.US,D,20260107,000000,25.505,25.54,25.5001,25.5001,6278,0
FLXN.US,D,20260108,000000,25.46,25.52,25.46,25.4952,1904,0
FLXN.US,D,20260109,000000,25.56,25.56,25.51,25.536,1917,0
FLXN.US,D,20260112,000000,25.49,25.5402,25.49,25.5402,2547,0
FLXN.US,D,20260113,000000,25.51,25.58,25.51,25.55,4462,0
FLXN.US,D,20260114,000000,25.56,25.56,25.5101,25.55,1187,0
FLXN.US,D,20260115,000000,25.57,25.58,25.5548,25.5548,3483,0
FLXN.US,D,20260116,000000,25.58,25.59,25.56,25.5748,2741,0
FLXN.US,D,20260120,000000,25.52,25.53,25.48,25.4949,4002,0
FLXN.US,D,20260121,000000,25.61,25.61,25.5419,25.6099,1696,0
FLXN.US,D,20260122,000000,25.61,25.66,25.61,25.6299,1465,0
FLXN.US,D,20260123,000000,25.66,25.66,25.6052,25.6099,1347,0
