<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGGG.US,D,20250627,000000,25.86,26.125,25.84,26.0676,71852,0
CGGG.US,D,20250630,000000,26.17,26.25,26.13,26.2444,36995,0
CGGG.US,D,20250701,000000,26.095,26.16,25.84,25.9403,10794,0
CGGG.US,D,20250702,000000,26.01,26.1457,26.01,26.1457,34714,0
CGGG.US,D,20250703,000000,26.47,26.4904,26.46,26.4615,63347,0
CGGG.US,D,20250707,000000,26.39,26.39,26.25,26.3176,4965,0
CGGG.US,D,20250708,000000,26.29,26.31,26.24,26.2644,7372,0
CGGG.US,D,20250709,000000,26.54,26.585,26.44,26.585,23936,0
CGGG.US,D,20250710,000000,26.62,26.69,26.44,26.6492,22825,0
CGGG.US,D,20250711,000000,26.58,26.64,26.53,26.58,22294,0
CGGG.US,D,20250714,000000,26.61,26.74,26.61,26.72,19449,0
CGGG.US,D,20250715,000000,26.89,26.94,26.7423,26.7423,14874,0
CGGG.US,D,20250716,000000,26.772,26.87,26.67,26.87,4015,0
CGGG.US,D,20250717,000000,27,27.13,26.95,27.0993,26897,0
CGGG.US,D,20250718,000000,27.195,27.195,27.03,27.0689,18328,0
CGGG.US,D,20250721,000000,27.19,27.25,27.14,27.14,1336,0
CGGG.US,D,20250722,000000,26.84,27.0506,26.84,27.0461,14992,0
CGGG.US,D,20250723,000000,27.1,27.2606,27.08,27.2606,56812,0
CGGG.US,D,20250724,000000,27.37,27.49,27.35,27.4122,4525,0
CGGG.US,D,20250725,000000,27.53,27.65,27.5,27.6042,21889,0
CGGG.US,D,20250728,000000,27.71,27.71,27.61,27.6653,13874,0
CGGG.US,D,20250729,000000,27.74,27.74,27.43,27.4571,13118,0
CGGG.US,D,20250730,000000,27.75,27.89,27.66,27.7484,10620,0
CGGG.US,D,20250731,000000,28.24,28.24,27.79,27.8244,21640,0
CGGG.US,D,20250801,000000,27.3399,27.45,27.04,27.1729,34477,0
CGGG.US,D,20250804,000000,27.43,27.7714,27.43,27.7714,8242,0
CGGG.US,D,20250805,000000,27.7,27.79,27.42,27.4526,17149,0
CGGG.US,D,20250806,000000,27.43,27.62,27.43,27.5985,10298,0
CGGG.US,D,20250807,000000,27.73,27.79,27.3243,27.489,40470,0
CGGG.US,D,20250808,000000,27.5838,27.670669,27.52,27.5576,14064,0
CGGG.US,D,20250811,000000,27.48,27.65,27.4363,27.4363,10842,0
CGGG.US,D,20250812,000000,27.62,27.8951,27.6,27.8951,4362,0
CGGG.US,D,20250813,000000,27.93,27.93,27.7,27.8579,13281,0
CGGG.US,D,20250814,000000,27.77,27.88,27.76,27.8603,3113,0
CGGG.US,D,20250815,000000,27.74,27.82,27.6483,27.7165,7667,0
CGGG.US,D,20250818,000000,27.67,27.73,27.61,27.705,12647,0
CGGG.US,D,20250819,000000,27.63,27.63,27.29,27.32,37703,0
