<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESSC.US,D,20251001,000000,25.01,25.098,24.99,25.066,4458,0
ESSC.US,D,20251002,000000,25.0178,25.1032,24.98,25.1032,5000,0
ESSC.US,D,20251003,000000,25.45,25.45,25.2708,25.2708,2894,0
ESSC.US,D,20251006,000000,25.42,25.44,25.2745,25.2745,2723,0
ESSC.US,D,20251007,000000,25.27,25.27,24.955,24.9651,2910,0
ESSC.US,D,20251008,000000,25.11,25.2651,25.11,25.2651,182,0
ESSC.US,D,20251009,000000,25.14,25.175,25.103,25.1196,2155,0
ESSC.US,D,20251010,000000,25.235,25.28,24.394,24.394,14696,0
ESSC.US,D,20251013,000000,24.75,24.7866,24.75,24.7866,119,0
ESSC.US,D,20251014,000000,24.745,25.1432,24.745,25.1432,757,0
ESSC.US,D,20251015,000000,25.47,25.47,25.3394,25.42,4817,0
ESSC.US,D,20251016,000000,25.34,25.34,24.94,24.9688,829,0
ESSC.US,D,20251017,000000,24.93,24.94,24.79,24.9175,3344,0
ESSC.US,D,20251021,000000,25.6099,25.6099,25.5499,25.5499,301,0
ESSC.US,D,20251022,000000,25.04,25.2319,25.04,25.2319,831,0
ESSC.US,D,20251023,000000,25.47,25.47,25.434,25.434,663,0
ESSC.US,D,20251024,000000,25.81,25.82,25.7616,25.7616,1237,0
ESSC.US,D,20251027,000000,25.93,25.93,25.8832,25.8832,200,0
ESSC.US,D,20251029,000000,25.3199,25.3199,25.2862,25.2862,363,0
ESSC.US,D,20251030,000000,25.2779,25.2779,25.1758,25.1758,2536,0
ESSC.US,D,20251031,000000,25.27,25.3361,25.27,25.3361,2441,0
ESSC.US,D,20251103,000000,25.19,25.2293,25.19,25.2293,1756,0
ESSC.US,D,20251104,000000,25.02,25.02,24.896,24.896,1738,0
ESSC.US,D,20251105,000000,24.9466,25.1759,24.9466,25.1759,329,0
ESSC.US,D,20251106,000000,24.87,24.87,24.6357,24.6357,1181,0
ESSC.US,D,20251107,000000,24.51,24.7,24.51,24.6746,1045,0
ESSC.US,D,20251110,000000,24.92,25.1499,24.9199,25.0696,875,0
ESSC.US,D,20251111,000000,24.99,25.16,24.99,25.1389,3963,0
ESSC.US,D,20251112,000000,25.33,25.33,25.18,25.1862,5872,0
ESSC.US,D,20251113,000000,24.7028,24.7028,24.515,24.5356,20751,0
ESSC.US,D,20251114,000000,24.7358,24.74,24.6582,24.6582,1028,0
ESSC.US,D,20251117,000000,24.62,24.62,24.1787,24.1787,1346,0
ESSC.US,D,20251118,000000,24.11,24.3621,24.11,24.2684,1268,0
ESSC.US,D,20251119,000000,24.2513,24.2855,24.23,24.2855,704,0
ESSC.US,D,20251120,000000,20.63,24.69,20.63,23.9815,1294,0
ESSC.US,D,20251121,000000,24.83,24.83,24.8055,24.8055,816,0
ESSC.US,D,20251124,000000,25.05,25.1436,25.05,25.1436,1410,0
ESSC.US,D,20251125,000000,25.66,25.7,25.66,25.7,286,0
ESSC.US,D,20251126,000000,25.87,25.8804,25.86,25.8804,491,0
