<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPRE.US,D,20251217,000000,14.47,14.5,13.96,14.1,8806462,0
BPRE.US,D,20251218,000000,14.11,15.68,14.07,15.5,5789693,0
BPRE.US,D,20251219,000000,15.78,16.98,15.25,16.71,3776621,0
BPRE.US,D,20251222,000000,16.725,17.3,15.87,16.16,2443221,0
BPRE.US,D,20251223,000000,15.91,16.19,15.5101,15.54,2856864,0
BPRE.US,D,20251224,000000,15.44,16.0527,15.17,16,1464817,0
BPRE.US,D,20251226,000000,15.75,15.99,15.41,15.85,1479231,0
BPRE.US,D,20251229,000000,15.65,15.81,15.04,15.18,3148849,0
BPRE.US,D,20251230,000000,15.11,15.27,14.92,15,3222836,0
BPRE.US,D,20251231,000000,14.9,15.05,14.82,15,2663698,0
BPRE.US,D,20260102,000000,15.22,15.51,15.0201,15.45,952850,0
BPRE.US,D,20260105,000000,15.45,15.54,15.06,15.14,1176832,0
BPRE.US,D,20260106,000000,15.14,15.35,14.77,14.92,1643270,0
BPRE.US,D,20260107,000000,15.05,15.1,14.6615,14.71,1417724,0
BPRE.US,D,20260108,000000,14.67,15.36,14.65,15.36,1220701,0
BPRE.US,D,20260109,000000,15.33,15.8,15.15,15.76,1257613,0
BPRE.US,D,20260112,000000,15.74,15.92,15.44,15.84,822924,0
BPRE.US,D,20260113,000000,15.97,16.16,15.75,15.98,826968,0
BPRE.US,D,20260114,000000,15.81,16.22,15.81,16.1,816062,0
BPRE.US,D,20260115,000000,16.05,16.48,16.05,16.35,1286001,0
BPRE.US,D,20260116,000000,16.2001,16.479,15.9501,16.13,1014633,0
BPRE.US,D,20260120,000000,16.1226,16.23,15.6001,15.72,869999,0
BPRE.US,D,20260121,000000,15.74,15.82,15.4,15.56,1310970,0
BPRE.US,D,20260122,000000,15.64,15.7099,15.2,15.31,1537860,0
BPRE.US,D,20260123,000000,15.35,15.76,15.2,15.65,1168563,0
